source;APs;original NL;original LTL;Spot LTL;lifted_LTL
warehouse.jsonl;"['""search(bird)""', '""search(hair-drier)""', '""pickup(pizza)""']";If search the bird holds and search the hair-drier holds next, then pickup the pizza holds in the step after that.;"G ( ""search(bird)"" & X ""search(hair-drier)"" -> X X ""pickup(pizza)"" )";"G((""search(bird)"" & X""search(hair-drier)"") -> XX""pickup(pizza)"")";G((ap_0 & Xap_1) -> XXap_2)
warehouse.jsonl;"['idle', '""search(bottle)""']";Once search the bottle has occurred, idle will never occur again.;"G ( ""search(bottle)"" -> X G ! ""idle"" )";"G(""search(bottle)"" -> XG!idle)";G(ap_1 -> XG!ap_0)
warehouse.jsonl;"['get_help', '""search(parking_meter)""']";Once search the parking_meter has occurred, get_help will never occur again.;"G ( ""search(parking_meter)"" -> X G ! ""get_help"" )";"G(""search(parking_meter)"" -> XG!get_help)";G(ap_1 -> XG!ap_0)
warehouse.jsonl;"['idle', '""pickup(vase)""']";Either idle happens infinitely often, or pickup the vase happens in the next step.;"G F ""idle"" | X ""pickup(vase)""";"GFidle | X""pickup(vase)""";GFap_0 | Xap_1
warehouse.jsonl;"['idle', '""deliver(fork,loading_dock)""', '""search(umbrella)""']";If deliver the fork to the loading_dock holds, then in the next step idle persists until searching for the umbrella holds, or else idle holds forever.;"""deliver(fork,loading_dock)"" -> X ( ( ""idle"" U ""search(umbrella)"" ) | G ""idle"" )";"""deliver(fork,loading_dock)"" -> X((idle U ""search(umbrella)"") | Gidle)";ap_1 -> X((ap_0 U ap_2) | Gap_0)
warehouse.jsonl;['idle'];This controller must eventually, avoid standing by.;"F ( ! ""idle"" )";F!idle;F!ap_0
warehouse.jsonl;"['idle', '""pickup(bear)""', '""search(toothbrush)""']";Whenever search the toothbrush and pickup the bear are equal, pickup the bear and idle aring equal as well.;"G ( ( ""search(toothbrush)"" <-> ""pickup(bear)"" ) -> ( ""pickup(bear)"" <-> ""idle"" ) )";"G((""pickup(bear)"" <-> ""search(toothbrush)"") -> (idle <-> ""pickup(bear)""))";G((ap_1 <-> ap_2) -> (ap_0 <-> ap_1))
warehouse.jsonl;"['idle', '""search(snowboard)""', '""pickup(truck)""']";If every search the snowboard is eventually followed by pickup the truck, then idle must occur infinitely often.;"G ( ""search(snowboard)"" -> F ""pickup(truck)"" ) -> G F ""idle""";"G(""search(snowboard)"" -> F""pickup(truck)"") -> GFidle";G(ap_1 -> Fap_2) -> GFap_0
warehouse.jsonl;"['get_help', '""pickup(broccoli)""']";Pick up the broccoli and get_help never coincide, yet one of them is always true.;"G ( ! ( ""pickup(broccoli)"" & ""get_help"" ) ) & G ( ""pickup(broccoli)"" | ""get_help"" )";"G!(get_help & ""pickup(broccoli)"") & G(get_help | ""pickup(broccoli)"")";G!(ap_0 & ap_1) & G(ap_0 | ap_1)
warehouse.jsonl;"['idle', '""deliver(fire_hydrant,shelf)""']";Idle and deliver the fire_hydrant to the shelf will each happen at some point.;"F ""idle"" & F ""deliver(fire_hydrant,shelf)""";"Fidle & F""deliver(fire_hydrant,shelf)""";Fap_0 & Fap_1
warehouse.jsonl;"['""pickup(cup)""', '""pickup(truck)""']";Whenever pickup the cup holds, from the next step onwards pickup the truck will eventually hold.;"G ( ""pickup(cup)"" -> X F ""pickup(truck)"" )";"G(""pickup(cup)"" -> XF""pickup(truck)"")";G(ap_0 -> XFap_1)
warehouse.jsonl;"['""deliver(cow,loading_dock)""', '""pickup(toothbrush)""']";Transport the cow to the loading_dock and pickup the toothbrush will each happen at some point.;"F ""deliver(cow,loading_dock)"" & F ""pickup(toothbrush)""";"F""deliver(cow,loading_dock)"" & F""pickup(toothbrush)""";Fap_0 & Fap_1
warehouse.jsonl;"['idle', '""deliver(bird,loading_dock)""', '""search(orange)""']";If idle holds and deliver the bird to the loading_dock holds next, then search the orange holds in the step after that.;"G ( ""idle"" & X ""deliver(bird,loading_dock)"" -> X X ""search(orange)"" )";"G((idle & X""deliver(bird,loading_dock)"") -> XX""search(orange)"")";G((ap_0 & Xap_1) -> XXap_2)
warehouse.jsonl;['idle'];From some point onwards, idle never occurs again.;"F G ! ""idle""";FG!idle;FG!ap_0
warehouse.jsonl;"['""deliver(traffic_light,shelf)""', '""pickup(elephant)""']";The robot must always have either deliver the traffic_light to the shelf or pickup the elephant.;"G ( ""deliver(traffic_light,shelf)"" | ""pickup(elephant)"" )";"G(""deliver(traffic_light,shelf)"" | ""pickup(elephant)"")";G(ap_0 | ap_1)
warehouse.jsonl;"['""pickup(apple)""']";From some point onwards, pickup the apple never occurs again.;"F G ! ""pickup(apple)""";"FG!""pickup(apple)""";FG!ap_0
warehouse.jsonl;"['get_help', '""search(bench)""', '""pickup(traffic_light)""']";Whenever get_help and search the bench are equal, search the bench and pickup the traffic_light are equal as well.;"G ( ( ""get_help"" <-> ""search(bench)"" ) -> ( ""search(bench)"" <-> ""pickup(traffic_light)"" ) )";"G((get_help <-> ""search(bench)"") -> (""pickup(traffic_light)"" <-> ""search(bench)""))";G((ap_0 <-> ap_1) -> (ap_2 <-> ap_1))
warehouse.jsonl;"['idle', '""deliver(surfboard,loading_dock)""']";Idle must hold until handing over the surfboard to the loading_dock does, or else idle holds forever.;"( ""idle"" U ""deliver(surfboard,loading_dock)"" ) | G ""idle""";"(idle U ""deliver(surfboard,loading_dock)"") | Gidle";(ap_0 U ap_1) | Gap_0
warehouse.jsonl;"['""pickup(bowl)""']";Retrieve the bowl should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""pickup(bowl)"" & X ""pickup(bowl)"" ) )";"!G!(""pickup(bowl)"" & X""pickup(bowl)"")";!G!(ap_0 & Xap_0)
warehouse.jsonl;"['""pickup(kite)""']";From some point onwards, pickup the kite never occurs again.;"F G ! ""pickup(kite)""";"FG!""pickup(kite)""";FG!ap_0
warehouse.jsonl;"['""pickup(cow)""']";The system must eventually, avoid picking up the cow.;"F ( ! ""pickup(cow)"" )";"F!""pickup(cow)""";F!ap_0
warehouse.jsonl;"['""search(cell_phone)""', '""deliver(skis,shelf)""']";Every search the cell_phone is directly followed by droping off the skis to the shelf in the next step.;"G ( ""search(cell_phone)"" -> X ""deliver(skis,shelf)"" )";"G(""search(cell_phone)"" -> X""deliver(skis,shelf)"")";G(ap_0 -> Xap_1)
warehouse.jsonl;"['get_help', 'idle', '""search(donut)""']";If get_help holds and idle holds next, then search the donut holds in the step after that.;"G ( ""get_help"" & X ""idle"" -> X X ""search(donut)"" )";"G((get_help & Xidle) -> XX""search(donut)"")";G((ap_0 & Xap_1) -> XXap_2)
warehouse.jsonl;"['get_help', '""deliver(car,loading_dock)""', '""deliver(potted_plant,shelf)""']";Whenever neither deliver the car to the loading_dock nor deliver the potted_plant to the shelf holds, get_help eventually holds.;"G ( ! ( ""deliver(car,loading_dock)"" & ""deliver(potted_plant,shelf)"" ) -> F ""get_help"" )";"G(!(""deliver(car,loading_dock)"" & ""deliver(potted_plant,shelf)"") -> Fget_help)";G(!(ap_1 & ap_2) -> Fap_0)
warehouse.jsonl;"['""search(train)""', '""deliver(bicycle,loading_dock)""']";Whenever search the train holds, eventually deliver the bicycle to the loading_dock will hold.;"G ( ""search(train)"" -> F ""deliver(bicycle,loading_dock)"" )";"G(""search(train)"" -> F""deliver(bicycle,loading_dock)"")";G(ap_0 -> Fap_1)
warehouse.jsonl;"['""deliver(stop_sign,loading_dock)""', '""search(skateboard)""']";Search for the skateboard and deliver the stop_sign to the loading_dock are mutually exclusive at all times.;"G ! ( ""search(skateboard)"" & ""deliver(stop_sign,loading_dock)"" )";"G!(""deliver(stop_sign,loading_dock)"" & ""search(skateboard)"")";G!(ap_0 & ap_1)
warehouse.jsonl;"['""deliver(sheep,loading_dock)""']";Hand over the sheep to the loading_dock holds at all times.;"G ""deliver(sheep,loading_dock)""";"G""deliver(sheep,loading_dock)""";Gap_0
warehouse.jsonl;"['idle', '""deliver(fork,loading_dock)""', '""deliver(bowl,shelf)""']";Whenever deliver the fork to the loading_dock and idle are equal, idle and deliver the bowl to the shelf are equal as well.;"G ( ( ""deliver(fork,loading_dock)"" <-> ""idle"" ) -> ( ""idle"" <-> ""deliver(bowl,shelf)"" ) )";"G((""deliver(fork,loading_dock)"" <-> idle) -> (""deliver(bowl,shelf)"" <-> idle))";G((ap_1 <-> ap_0) -> (ap_2 <-> ap_0))
warehouse.jsonl;"['get_help', '""deliver(hair-drier,shelf)""']";The system must Eventually, both get_help and deliver the hair-drier to the shelf hold simultaneously.;"F ( ""get_help"" & ""deliver(hair-drier,shelf)"" )";"F(""deliver(hair-drier,shelf)"" & get_help)";F(ap_1 & ap_0)
warehouse.jsonl;"['""pickup(bus)""']";From some point onwards, pickup the bus never occurs again.;"F G ! ""pickup(bus)""";"FG!""pickup(bus)""";FG!ap_0
warehouse.jsonl;"['idle', '""deliver(suitcase,loading_dock)""']";Whenever idle holds, eventually deliver the suitcase to the loading_dock will hold.;"G ( ""idle"" -> F ""deliver(suitcase,loading_dock)"" )";"G(idle -> F""deliver(suitcase,loading_dock)"")";G(ap_0 -> Fap_1)
warehouse.jsonl;"['get_help', '""search(parking_meter)""']";The system must eventually search the parking_meter or get_help.;"F ( ""search(parking_meter)"" | ""get_help"" )";"F(get_help | ""search(parking_meter)"")";F(ap_0 | ap_1)
warehouse.jsonl;"['""search(fork)""', '""deliver(bus,loading_dock)""']";Whenever search the fork holds, deliver the bus to the loading_dock holds as well.;"G ( ""search(fork)"" -> ""deliver(bus,loading_dock)"" )";"G(""search(fork)"" -> ""deliver(bus,loading_dock)"")";G(ap_0 -> ap_1)
warehouse.jsonl;"['get_help', 'idle', '""search(elephant)""']";If idle holds and search the elephant holds next, then get_help holds in the step after that.;"G ( ""idle"" & X ""search(elephant)"" -> X X ""get_help"" )";"G((idle & X""search(elephant)"") -> XXget_help)";G((ap_1 & Xap_2) -> XXap_0)
warehouse.jsonl;"['""search(truck)""']";Find the truck should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""search(truck)"" & X ""search(truck)"" ) )";"!G!(""search(truck)"" & X""search(truck)"")";!G!(ap_0 & Xap_0)
warehouse.jsonl;"['get_help', '""deliver(tennis_racket,loading_dock)""', '""deliver(cat,shelf)""']";If deliver the tennis_racket to the loading_dock holds and get_help holds next, then deliver the cat to the shelf holds in the step after that.;"G ( ""deliver(tennis_racket,loading_dock)"" & X ""get_help"" -> X X ""deliver(cat,shelf)"" )";"G((""deliver(tennis_racket,loading_dock)"" & Xget_help) -> XX""deliver(cat,shelf)"")";G((ap_1 & Xap_0) -> XXap_2)
warehouse.jsonl;"['""search(surfboard)""']";The system must eventually, avoid search the surfboard.;"F ( ! ""search(surfboard)"" )";"F!""search(surfboard)""";F!ap_0
warehouse.jsonl;"['""pickup(scissors)""']";Retrieve the scissors should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""pickup(scissors)"" & X ""pickup(scissors)"" ) )";"!G!(""pickup(scissors)"" & X""pickup(scissors)"")";!G!(ap_0 & Xap_0)
warehouse.jsonl;"['""search(frisbee)""', '""deliver(dining_table,loading_dock)""']";Locate the frisbee and deliver the dining_table to the loading_dock will each happen at some point.;"F ""search(frisbee)"" & F ""deliver(dining_table,loading_dock)""";"F""search(frisbee)"" & F""deliver(dining_table,loading_dock)""";Fap_0 & Fap_1
warehouse.jsonl;"['get_help', '""pickup(potted_plant)""']";Globally, if get_help occurs then finally pickup the potted_plant happens.;"G ( ""get_help"" -> F ""pickup(potted_plant)"" )";"G(get_help -> F""pickup(potted_plant)"")";G(ap_0 -> Fap_1)
warehouse.jsonl;['idle'];Stand by should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""idle"" & X ""idle"" ) )";!G!(idle & Xidle);!G!(ap_0 & Xap_0)
warehouse.jsonl;"['""pickup(person)""']";You must pickup the person should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""pickup(person)"" & X ""pickup(person)"" ) )";"!G!(""pickup(person)"" & X""pickup(person)"")";!G!(ap_0 & Xap_0)
warehouse.jsonl;"['get_help', '""search(tv_monitor)""', '""search(refrigerator)""']";If get_help holds, then in the next step search the tv_monitor persists until searching for the refrigerator holds, or else search the tv_monitor holds forever.;"""get_help"" -> X ( ( ""search(tv_monitor)"" U ""search(refrigerator)"" ) | G ""search(tv_monitor)"" )";"get_help -> X((""search(tv_monitor)"" U ""search(refrigerator)"") | G""search(tv_monitor)"")";ap_0 -> X((ap_1 U ap_2) | Gap_1)
warehouse.jsonl;"['""pickup(cell_phone)""']";This controller must eventually, avoid pickuping the cell_phone.;"F ( ! ""pickup(cell_phone)"" )";"F!""pickup(cell_phone)""";F!ap_0
warehouse.jsonl;"['""pickup(microwave)""', '""pickup(traffic_light)""']";You must eventually pickup the microwave or pickup the traffic_light.;"F ( ""pickup(microwave)"" | ""pickup(traffic_light)"" )";"F(""pickup(microwave)"" | ""pickup(traffic_light)"")";F(ap_0 | ap_1)
warehouse.jsonl;['get_help'];Our agent must eventually, avoid geting help.;"F ( ! ""get_help"" )";F!get_help;F!ap_0
warehouse.jsonl;"['idle', '""pickup(book)""', '""pickup(zebra)""']";Whenever pickup the book and idle are equal, idle and pickup the zebra are equal as well.;"G ( ( ""pickup(book)"" <-> ""idle"" ) -> ( ""idle"" <-> ""pickup(zebra)"" ) )";"G((idle <-> ""pickup(book)"") -> (idle <-> ""pickup(zebra)""))";G((ap_0 <-> ap_1) -> (ap_0 <-> ap_2))
warehouse.jsonl;"['get_help', 'idle', '""pickup(fire_hydrant)""']";If pickup the fire_hydrant holds, then in the next step get_help persists until idle holds, or else get_help holds forever.;"""pickup(fire_hydrant)"" -> X ( ( ""get_help"" U ""idle"" ) | G ""get_help"" )";"""pickup(fire_hydrant)"" -> X((get_help U idle) | Gget_help)";ap_2 -> X((ap_0 U ap_1) | Gap_0)
warehouse.jsonl;"['idle', '""search(sheep)""', '""search(oven)""']";Whenever search the sheep and idle are equal, idle and search the oven are equal as well.;"G ( ( ""search(sheep)"" <-> ""idle"" ) -> ( ""idle"" <-> ""search(oven)"" ) )";"G((idle <-> ""search(sheep)"") -> (idle <-> ""search(oven)""))";G((ap_0 <-> ap_1) -> (ap_0 <-> ap_2))
warehouse.jsonl;"['get_help', '""search(hair-drier)""']";If search the hair-drier happens infinitely often, then so does get_help.;"G F ""search(hair-drier)"" -> G F ""get_help""";"GF""search(hair-drier)"" -> GFget_help";GFap_1 -> GFap_0
warehouse.jsonl;"['""pickup(elephant)""']";From some point onwards, pickup the elephant never occurs again.;"F G ! ""pickup(elephant)""";"FG!""pickup(elephant)""";FG!ap_0
warehouse.jsonl;"['""deliver(bowl,shelf)""', '""deliver(donut,loading_dock)""']";In this task, deliver the donut to the loading_dock, then deliver the bowl to the shelf.;"( ""deliver(donut,loading_dock)"" U ""deliver(bowl,shelf)"" )";"""deliver(donut,loading_dock)"" U ""deliver(bowl,shelf)""";ap_1 U ap_0
warehouse.jsonl;"['""search(umbrella)""', '""pickup(sports_ball)""', '""deliver(toaster,shelf)""']";If every pickup the sports_ball is eventually followed by delivering the toaster to the shelf, then search the umbrella must occur infinitely often.;"G ( ""pickup(sports_ball)"" -> F ""deliver(toaster,shelf)"" ) -> G F ""search(umbrella)""";"G(""pickup(sports_ball)"" -> F""deliver(toaster,shelf)"") -> GF""search(umbrella)""";G(ap_1 -> Fap_2) -> GFap_0
warehouse.jsonl;"['""search(toilet)""']";This controller must eventually, avoid search the toilet.;"F ( ! ""search(toilet)"" )";"F!""search(toilet)""";F!ap_0
warehouse.jsonl;"['""deliver(bicycle,loading_dock)""']";Deliver the bicycle to the loading_dock should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""deliver(bicycle,loading_dock)"" & X ""deliver(bicycle,loading_dock)"" ) )";"!G!(""deliver(bicycle,loading_dock)"" & X""deliver(bicycle,loading_dock)"")";!G!(ap_0 & Xap_0)
warehouse.jsonl;"['get_help', 'idle', '""search(toilet)""']";If every idle is eventually followed by looking for the toilet, then get_help must occur infinitely often.;"G ( ""idle"" -> F ""search(toilet)"" ) -> G F ""get_help""";"G(idle -> F""search(toilet)"") -> GFget_help";G(ap_1 -> Fap_2) -> GFap_0
warehouse.jsonl;['idle'];Wait should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""idle"" & X ""idle"" ) )";!G!(idle & Xidle);!G!(ap_0 & Xap_0)
warehouse.jsonl;"['get_help', '""deliver(suitcase,shelf)""']";Either deliver the suitcase to the shelf happens infinitely often, or get_help happens in the next step.;"G F ""deliver(suitcase,shelf)"" | X ""get_help""";"GF""deliver(suitcase,shelf)"" | Xget_help";GFap_1 | Xap_0
warehouse.jsonl;"['""deliver(refrigerator,loading_dock)""', '""pickup(hair-drier)""', '""pickup(tv_monitor)""']";If every deliver the refrigerator to the loading_dock is eventually followed by pickup the hair-drier, then pickup the tv_monitor must occur infinitely often.;"G ( ""deliver(refrigerator,loading_dock)"" -> F ""pickup(hair-drier)"" ) -> G F ""pickup(tv_monitor)""";"G(""deliver(refrigerator,loading_dock)"" -> F""pickup(hair-drier)"") -> GF""pickup(tv_monitor)""";G(ap_0 -> Fap_1) -> GFap_2
warehouse.jsonl;"['get_help', '""pickup(zebra)""']";Whenever pickup the zebra holds, from the next step onwards get_help will eventually hold.;"G ( ""pickup(zebra)"" -> X F ""get_help"" )";"G(""pickup(zebra)"" -> XFget_help)";G(ap_1 -> XFap_0)
warehouse.jsonl;"['""deliver(parking_meter,loading_dock)""', '""deliver(giraffe,loading_dock)""']";Once deliver the parking_meter to the loading_dock has occurred, deliver the giraffe to the loading_dock will never occur again.;"G ( ""deliver(parking_meter,loading_dock)"" -> X G ! ""deliver(giraffe,loading_dock)"" )";"G(""deliver(parking_meter,loading_dock)"" -> XG!""deliver(giraffe,loading_dock)"")";G(ap_0 -> XG!ap_1)
warehouse.jsonl;"['""pickup(carrot)""', '""search(skis)""']";Whenever pickup the carrot holds, search the skis holds as well.;"G ( ""pickup(carrot)"" -> ""search(skis)"" )";"G(""pickup(carrot)"" -> ""search(skis)"")";G(ap_0 -> ap_1)
warehouse.jsonl;"['""pickup(aeroplane)""', '""pickup(hot_dog)""']";The robot must eventually pickup the hot_dog and pickup the aeroplane.;"F ( ""pickup(hot_dog)"" & ""pickup(aeroplane)"" )";"F(""pickup(aeroplane)"" & ""pickup(hot_dog)"")";F(ap_0 & ap_1)
warehouse.jsonl;"['""pickup(truck)""', '""pickup(carrot)""', '""deliver(boat,loading_dock)""']";If pickup the carrot holds and pickup the truck holds next, then deliver the boat to the loading_dock holds in the step after that.;"G ( ""pickup(carrot)"" & X ""pickup(truck)"" -> X X ""deliver(boat,loading_dock)"" )";"G((""pickup(carrot)"" & X""pickup(truck)"") -> XX""deliver(boat,loading_dock)"")";G((ap_1 & Xap_0) -> XXap_2)
warehouse.jsonl;['idle'];Stand by holds at all times.;"G ""idle""";Gidle;Gap_0
warehouse.jsonl;"['get_help', '""search(sheep)""']";Request assistance and search the sheep are mutually exclusive at all times.;"G ! ( ""get_help"" & ""search(sheep)"" )";"G!(get_help & ""search(sheep)"")";G!(ap_0 & ap_1)
warehouse.jsonl;"['idle', '""search(laptop)""']";You must Please idle and then search the laptop.;"( ""idle"" U ""search(laptop)"" )";"idle U ""search(laptop)""";ap_0 U ap_1
warehouse.jsonl;['get_help'];Get help holds at all times.;"G ""get_help""";Gget_help;Gap_0
warehouse.jsonl;['get_help'];Request assistance holds at all times.;"G ""get_help""";Gget_help;Gap_0
warehouse.jsonl;"['""search(frisbee)""', '""deliver(giraffe,loading_dock)""', '""search(laptop)""']";Whenever deliver the giraffe to the loading_dock and search the laptop are equal, search the laptop and search the frisbee are equal as well.;"G ( ( ""deliver(giraffe,loading_dock)"" <-> ""search(laptop)"" ) -> ( ""search(laptop)"" <-> ""search(frisbee)"" ) )";"G((""deliver(giraffe,loading_dock)"" <-> ""search(laptop)"") -> (""search(frisbee)"" <-> ""search(laptop)""))";G((ap_1 <-> ap_2) -> (ap_0 <-> ap_2))
warehouse.jsonl;"['idle', '""deliver(cow,loading_dock)""', '""search(mouse)""']";If idle holds, then in the next step deliver the cow to the loading_dock persists until searching the mouse holds, or else deliver the cow to the loading_dock holds forever.;"""idle"" -> X ( ( ""deliver(cow,loading_dock)"" U ""search(mouse)"" ) | G ""deliver(cow,loading_dock)"" )";"idle -> X((""deliver(cow,loading_dock)"" U ""search(mouse)"") | G""deliver(cow,loading_dock)"")";ap_0 -> X((ap_1 U ap_2) | Gap_1)
warehouse.jsonl;"['""search(scissors)""']";From some point onwards, search the scissors never occurs again.;"F G ! ""search(scissors)""";"FG!""search(scissors)""";FG!ap_0
warehouse.jsonl;"['""pickup(bench)""', '""pickup(dog)""', '""pickup(backpack)""']";If pickup the bench holds and pickup the dog holds next, then pickup the backpack holds in the step after that.;"G ( ""pickup(bench)"" & X ""pickup(dog)"" -> X X ""pickup(backpack)"" )";"G((""pickup(bench)"" & X""pickup(dog)"") -> XX""pickup(backpack)"")";G((ap_0 & Xap_1) -> XXap_2)
