source;APs;original NL;original LTL;Spot LTL;lifted_LTL
navi.jsonl;"['""get_to(flag)""', '""journey_by(flag)""']";whenever get_to flag or at any time journey_by flag;"F ( ""get_to(flag)"" ) | F ( ""journey_by(flag)"" )";"F""get_to(flag)"" | F""journey_by(flag)""";Fap_0 | Fap_1
navi.jsonl;"['""reach(house)""', '""go_to(apple_trashcan)""']";reach house and repeatedly go_to apple trashcan;"""reach(house)"" & G ( F ( ""go_to(apple_trashcan)"" ) )";"""reach(house)"" & GF""go_to(apple_trashcan)""";ap_0 & GFap_1
navi.jsonl;"['""travel_to(trash_can)""', '""make_your_way(flag)""']";when possible travel_to trash can and when possible make_your_way flag;"F ( ""travel_to(trash_can)"" ) & F ( ""make_your_way(flag)"" )";"F""travel_to(trash_can)"" & F""make_your_way(flag)""";Fap_0 & Fap_1
navi.jsonl;"['""venture_towards(house)""', '""venture_to(house)""']";venture_towards house and at some time venture_to house;"""venture_towards(house)"" & F ( ""venture_to(house)"" )";"""venture_towards(house)"" & F""venture_to(house)""";ap_0 & Fap_1
navi.jsonl;"['""contact(flag)""', '""seize(orange)""']";at any time contact flag and at any time seize orange;"F ( ""contact(flag)"" ) & F ( ""seize(orange)"" )";"F""contact(flag)"" & F""seize(orange)""";Fap_0 & Fap_1
navi.jsonl;"['let_go', '""proceed_to(tree)""']";never let_go and at any time proceed_to tree;"G ( ! ( ""let_go"" ) ) & F ( ""proceed_to(tree)"" )";"G!let_go & F""proceed_to(tree)""";G!ap_0 & Fap_1
navi.jsonl;"['""go_to(home)""', '""get_hold_of(orange)""']";at some time go_to home or when possible get_hold_of orange;"F ( ""go_to(home)"" ) | F ( ""get_hold_of(orange)"" )";"F""go_to(home)"" | F""get_hold_of(orange)""";Fap_0 | Fap_1
navi.jsonl;"['""take(orange)""', '""go_to(waste_basket)""']";repeatedly go_to waste basket or take orange;"G ( F ( ""go_to(waste_basket)"" ) ) | ""take(orange)""";"""take(orange)"" | GF""go_to(waste_basket)""";ap_0 | GFap_1
navi.jsonl;"['""go_to(orange)""', '""get_hold(orange)""']";at some time get_hold orange and go_to orange;"F ( ""get_hold(orange)"" ) & ""go_to(orange)""";"""go_to(orange)"" & F""get_hold(orange)""";ap_0 & Fap_1
navi.jsonl;"['""move_to(trashcan)""', '""grab(flag)""']";move_to trashcan or at any time grab flag;"""move_to(trashcan)"" | F ( ""grab(flag)"" )";"""move_to(trashcan)"" | F""grab(flag)""";ap_0 | Fap_1
navi.jsonl;"['""go_visit(flag)""', '""secure(pear)""']";go_visit flag and whenever secure pear;"""go_visit(flag)"" & F ( ""secure(pear)"" )";"""go_visit(flag)"" & F""secure(pear)""";ap_0 & Fap_1
navi.jsonl;"['""tax(apple)""', '""have_possession_of(apple)""']";at any time tax apple or at any time have_possession_of apple;"F ( ""tax(apple)"" ) | F ( ""have_possession_of(apple)"" )";"F""tax(apple)"" | F""have_possession_of(apple)""";Fap_0 | Fap_1
navi.jsonl;"['""secure(pear)""', '""scoop_up(pear)""']";at any time secure pear and whenever scoop_up pear;"F ( ""secure(pear)"" ) & F ( ""scoop_up(pear)"" )";"F""secure(pear)"" & F""scoop_up(pear)""";Fap_0 & Fap_1
navi.jsonl;"['""drop(pear)""', '""move_near(tree)""']";whenever move_near tree or drop pear;"F ( ""move_near(tree)"" ) | ""drop(pear)""";"""drop(pear)"" | F""move_near(tree)""";ap_0 | Fap_1
navi.jsonl;"['""gather(orange)""', '""go_by(tree)""']";gather orange or at any time go_by tree;"""gather(orange)"" | F ( ""go_by(tree)"" )";"""gather(orange)"" | F""go_by(tree)""";ap_0 | Fap_1
navi.jsonl;"['""go_visit(flag)""', '""obtain(orange)""']";go_visit flag or at some time obtain orange;"""go_visit(flag)"" | F ( ""obtain(orange)"" )";"""go_visit(flag)"" | F""obtain(orange)""";ap_0 | Fap_1
navi.jsonl;"['""move_to(house)""', '""set_out_to(house)""']";move_to house and when possible set_out_to house;"""move_to(house)"" & F ( ""set_out_to(house)"" )";"""move_to(house)"" & F""set_out_to(house)""";ap_0 & Fap_1
navi.jsonl;"['""drop(pear)""', '""advance_to(tree)""']";drop pear or advance_to tree;"""drop(pear)"" | ""advance_to(tree)""";"""advance_to(tree)"" | ""drop(pear)""";ap_1 | ap_0
navi.jsonl;"['""get_hold_of(orange)""', '""grasp(orange)""']";grasp orange or at any time get_hold_of orange;"""grasp(orange)"" | F ( ""get_hold_of(orange)"" )";"""grasp(orange)"" | F""get_hold_of(orange)""";ap_1 | Fap_0
navi.jsonl;"['""visit(tree)""', '""steal(apple)""']";visit tree or at some time steal apple;"""visit(tree)"" | F ( ""steal(apple)"" )";"""visit(tree)"" | F""steal(apple)""";ap_0 | Fap_1
navi.jsonl;"['""obtain(pear)""', '""be_near(tree)""']";when possible be_near tree or at some time obtain pear;"F ( ""be_near(tree)"" ) | F ( ""obtain(pear)"" )";"F""be_near(tree)"" | F""obtain(pear)""";Fap_1 | Fap_0
navi.jsonl;"['""venture_to(flag)""', '""go_to(pear)""']";at any time venture_to flag until repeatedly go_to pear;"F ( ""venture_to(flag)"" ) U G ( F ( ""go_to(pear)"" ) )";"F""venture_to(flag)"" U GF""go_to(pear)""";Fap_0 U GFap_1
navi.jsonl;"['""stop_by(flag)""', '""capture(pear)""']";at any time capture pear and stop_by flag;"F ( ""capture(pear)"" ) & ""stop_by(flag)""";"""stop_by(flag)"" & F""capture(pear)""";ap_0 & Fap_1
navi.jsonl;"['""stop_by(trash_can)""', '""get_close(flag)""']";at any time stop_by trash can and when possible get_close flag;"F ( ""stop_by(trash_can)"" ) & F ( ""get_close(flag)"" )";"F""stop_by(trash_can)"" & F""get_close(flag)""";Fap_0 & Fap_1
navi.jsonl;"['""walk_near(flag)""', '""move_forward(trash_can)""']";at some time walk_near flag or at any time move_forward trash can;"F ( ""walk_near(flag)"" ) | F ( ""move_forward(trash_can)"" )";"F""walk_near(flag)"" | F""move_forward(trash_can)""";Fap_0 | Fap_1
navi.jsonl;"['""go_by(waste_bin)""', '""withhold(apple)""']";when possible withhold apple and go_by waste bin;"F ( ""withhold(apple)"" ) & ""go_by(waste_bin)""";"""go_by(waste_bin)"" & F""withhold(apple)""";ap_0 & Fap_1
navi.jsonl;"['""drop(orange)""', '""walk_near(flag)""']";at any time walk_near flag or drop orange;"F ( ""walk_near(flag)"" ) | ""drop(orange)""";"""drop(orange)"" | F""walk_near(flag)""";ap_0 | Fap_1
navi.jsonl;"['""put_in(bucket)""', '""have(apple)""']";put_in bucket until always have apple;"""put_in(bucket)"" U G ( ""have(apple)"" )";"""put_in(bucket)"" U G""have(apple)""";ap_0 U Gap_1
navi.jsonl;"['""go_to(apple_trashcan)""', '""make_to(flag)""']";repeatedly go_to apple trashcan until at any time make_to flag;"G ( F ( ""go_to(apple_trashcan)"" ) ) U F ( ""make_to(flag)"" )";"GF""go_to(apple_trashcan)"" U F""make_to(flag)""";GFap_0 U Fap_1
navi.jsonl;"['""hold(pear)""', '""grab(pear)""']";hold pear and at any time grab pear;"""hold(pear)"" & F ( ""grab(pear)"" )";"""hold(pear)"" & F""grab(pear)""";ap_0 & Fap_1
navi.jsonl;"['""approach(flag)""', '""touch(tree)""']";whenever touch tree and at some time approach flag;"F ( ""touch(tree)"" ) & F ( ""approach(flag)"" )";"F""touch(tree)"" & F""approach(flag)""";Fap_1 & Fap_0
navi.jsonl;"['""go_by(tree)""', '""go_near(pear)""']";at some time go_by tree and whenever go_near pear;"F ( ""go_by(tree)"" ) & F ( ""go_near(pear)"" )";"F""go_by(tree)"" & F""go_near(pear)""";Fap_0 & Fap_1
navi.jsonl;"['""stop_by(flag)""', '""obtain(apple)""']";stop_by flag or at any time obtain apple;"""stop_by(flag)"" | F ( ""obtain(apple)"" )";"""stop_by(flag)"" | F""obtain(apple)""";ap_0 | Fap_1
navi.jsonl;"['""venture_towards(house)""', '""go_by(waste_bin)""']";go_by waste bin or venture_towards house;"""go_by(waste_bin)"" | ""venture_towards(house)""";"""go_by(waste_bin)"" | ""venture_towards(house)""";ap_1 | ap_0
navi.jsonl;"['""move_near(tree)""', '""go_to(orange_bin)""']";at some time move_near tree and go_to orange bin;"F ( ""move_near(tree)"" ) & ""go_to(orange_bin)""";"""go_to(orange_bin)"" & F""move_near(tree)""";ap_1 & Fap_0
navi.jsonl;"['""secure(apple)""', '""reach(flag)""']";secure apple until at any time reach flag;"""secure(apple)"" U F ( ""reach(flag)"" )";"""secure(apple)"" U F""reach(flag)""";ap_0 U Fap_1
navi.jsonl;"['""grab(flag)""', '""make_way(waste_basket)""']";at some time make_way waste basket and at some time grab flag;"F ( ""make_way(waste_basket)"" ) & F ( ""grab(flag)"" )";"F""make_way(waste_basket)"" & F""grab(flag)""";Fap_1 & Fap_0
navi.jsonl;"['""have(apple)""', '""go_by(trash_can)""']";if forever have apple , forever go_by trash can;"G ( ""have(apple)"" ) -> G ( ""go_by(trash_can)"" )";"G""have(apple)"" -> G""go_by(trash_can)""";Gap_0 -> Gap_1
navi.jsonl;"['""get_hold(orange)""', '""go_to(house)""']";whenever get_hold orange or at some time go_to house;"F ( ""get_hold(orange)"" ) | F ( ""go_to(house)"" )";"F""get_hold(orange)"" | F""go_to(house)""";Fap_0 | Fap_1
navi.jsonl;"['""travel_to(tree)""', '""let_go(orange)""']";travel_to tree or never let_go orange;"""travel_to(tree)"" | G ( ! ( ""let_go(orange)"" ) )";"""travel_to(tree)"" | G!""let_go(orange)""";ap_0 | G!ap_1
navi.jsonl;"['""drop(orange)""', '""seize(orange)""']";drop orange or at any time seize orange;"""drop(orange)"" | F ( ""seize(orange)"" )";"""drop(orange)"" | F""seize(orange)""";ap_0 | Fap_1
navi.jsonl;"['""bring(pear)""', '""secure(apple)""']";secure apple or at any time bring pear;"""secure(apple)"" | F ( ""bring(pear)"" )";"""secure(apple)"" | F""bring(pear)""";ap_1 | Fap_0
navi.jsonl;"['""grab(flag)""', '""migrate_to(tree)""']";if whenever grab flag , whenever migrate_to tree;"F ( ""grab(flag)"" ) -> F ( ""migrate_to(tree)"" )";"F""grab(flag)"" -> F""migrate_to(tree)""";Fap_0 -> Fap_1
navi.jsonl;"['""go_by(trash_can)""', '""go_visit(house)""']";forever go_by trash can or whenever go_visit house;"G ( ""go_by(trash_can)"" ) | F ( ""go_visit(house)"" )";"G""go_by(trash_can)"" | F""go_visit(house)""";Gap_0 | Fap_1
navi.jsonl;"['""secure(apple)""', '""reach(flag)""']";secure apple or at some time reach flag;"""secure(apple)"" | F ( ""reach(flag)"" )";"""secure(apple)"" | F""reach(flag)""";ap_0 | Fap_1
navi.jsonl;"['""get_to(tree)""', '""go_near(house)""']";get_to tree and at some time go_near house;"""get_to(tree)"" & F ( ""go_near(house)"" )";"""get_to(tree)"" & F""go_near(house)""";ap_0 & Fap_1
navi.jsonl;"['""visit(tree)""', '""walk_to(flag)""']";visit tree means that when possible walk_to flag;"""visit(tree)"" -> F ( ""walk_to(flag)"" )";"""visit(tree)"" -> F""walk_to(flag)""";ap_0 -> Fap_1
navi.jsonl;"['""grab(tree)""']";repeatedly grab tree and repeatedly grab tree;"G ( F ( ""grab(tree)"" ) ) & G ( F ( ""grab(tree)"" ) )";"GF""grab(tree)""";GFap_0
navi.jsonl;"['""secure(pear)""', '""go_to(apple)""']";at any time secure pear and when possible go_to apple;"F ( ""secure(pear)"" ) & F ( ""go_to(apple)"" )";"F""secure(pear)"" & F""go_to(apple)""";Fap_0 & Fap_1
navi.jsonl;"['""approach(trash_can)""', '""start_going_to(house)""']";at any time start_going_to house or approach trash can;"F ( ""start_going_to(house)"" ) | ""approach(trash_can)""";"""approach(trash_can)"" | F""start_going_to(house)""";ap_0 | Fap_1
navi.jsonl;"['""get_hold_of(orange)""', '""get_hold(orange)""']";at any time get_hold_of orange or whenever get_hold orange;"F ( ""get_hold_of(orange)"" ) | F ( ""get_hold(orange)"" )";"F""get_hold_of(orange)"" | F""get_hold(orange)""";Fap_0 | Fap_1
navi.jsonl;"['""go_by(trash_can)""', '""approach(tree)""']";approach tree or forever go_by trash can;"""approach(tree)"" | G ( ""go_by(trash_can)"" )";"""approach(tree)"" | G""go_by(trash_can)""";ap_1 | Gap_0
navi.jsonl;"['""venture(house)""', '""move_past(trash_can)""']";at some time venture house and at some time move_past trash can;"F ( ""venture(house)"" ) & F ( ""move_past(trash_can)"" )";"F""venture(house)"" & F""move_past(trash_can)""";Fap_0 & Fap_1
navi.jsonl;"['""grab(tree)""', '""venture(flag)""']";repeatedly grab tree until at some time venture flag;"G ( F ( ""grab(tree)"" ) ) U F ( ""venture(flag)"" )";"GF""grab(tree)"" U F""venture(flag)""";GFap_0 U Fap_1
navi.jsonl;"['""withdraw(pear)""', '""clutch(orange)""']";when possible withdraw pear and at some time clutch orange;"F ( ""withdraw(pear)"" ) & F ( ""clutch(orange)"" )";"F""withdraw(pear)"" & F""clutch(orange)""";Fap_0 & Fap_1
navi.jsonl;"['""get_to(flag)""', '""visit(trash_bin)""']";at any time get_to flag or at some time visit trash bin;"F ( ""get_to(flag)"" ) | F ( ""visit(trash_bin)"" )";"F""get_to(flag)"" | F""visit(trash_bin)""";Fap_0 | Fap_1
navi.jsonl;"['""advance_to(tree)""', '""got_to(house)""']";advance_to tree until whenever got_to house;"""advance_to(tree)"" U F ( ""got_to(house)"" )";"""advance_to(tree)"" U F""got_to(house)""";ap_0 U Fap_1
navi.jsonl;"['""go_to(bucket)""', '""get_to(cup)""']";go_to bucket and when possible get_to cup;"""go_to(bucket)"" & F ( ""get_to(cup)"" )";"""go_to(bucket)"" & F""get_to(cup)""";ap_0 & Fap_1
navi.jsonl;"['""tax(apple)""', '""go_to(bucket)""']";when possible tax apple and go_to bucket;"F ( ""tax(apple)"" ) & ""go_to(bucket)""";"""go_to(bucket)"" & F""tax(apple)""";ap_1 & Fap_0
navi.jsonl;"['""obtain(pear)""', '""go_to(waste_basket)""']";when possible obtain pear and repeatedly go_to waste basket;"F ( ""obtain(pear)"" ) & G ( F ( ""go_to(waste_basket)"" ) )";"F""obtain(pear)"" & GF""go_to(waste_basket)""";Fap_0 & GFap_1
navi.jsonl;"['""move_near(tree)""', '""have_in(orange)""']";at some time move_near tree or always have_in orange;"F ( ""move_near(tree)"" ) | G ( ""have_in(orange)"" )";"F""move_near(tree)"" | G""have_in(orange)""";Fap_0 | Gap_1
navi.jsonl;"['""go_to(home)""', '""journey_to(flag)""']";whenever go_to home and when possible journey_to flag;"F ( ""go_to(home)"" ) & F ( ""journey_to(flag)"" )";"F""go_to(home)"" & F""journey_to(flag)""";Fap_0 & Fap_1
navi.jsonl;"['move_around', '""journey_by(house)""']";always move_around or at some time journey_by house;"G ( ""move_around"" ) | F ( ""journey_by(house)"" )";"Gmove_around | F""journey_by(house)""";Gap_0 | Fap_1
navi.jsonl;"['""go_by(trash_can)""', '""withold(apple)""']";whenever withold apple or forever go_by trash can;"F ( ""withold(apple)"" ) | G ( ""go_by(trash_can)"" )";"F""withold(apple)"" | G""go_by(trash_can)""";Fap_1 | Gap_0
navi.jsonl;"['""obtain(apple)""', '""let_go(apple)""']";when possible obtain apple and never let_go apple;"F ( ""obtain(apple)"" ) & G ( ! ( ""let_go(apple)"" ) )";"F""obtain(apple)"" & G!""let_go(apple)""";Fap_0 & G!ap_1
navi.jsonl;"['""move_to(house)""', '""procure(orange)""']";move_to house or at some time procure orange;"""move_to(house)"" | F ( ""procure(orange)"" )";"""move_to(house)"" | F""procure(orange)""";ap_0 | Fap_1
navi.jsonl;"['""grasp(apple)""', '""approach(house)""']";at any time grasp apple can infer that at any time approach house;"F ( ""grasp(apple)"" ) -> F ( ""approach(house)"" )";"F""grasp(apple)"" -> F""approach(house)""";Fap_0 -> Fap_1
navi.jsonl;"['""procure(apple)""', '""go_to(orange)""']";procure apple or go_to orange;"""procure(apple)"" | ""go_to(orange)""";"""go_to(orange)"" | ""procure(apple)""";ap_1 | ap_0
navi.jsonl;"['""make_way_for(tree)""', '""move_to(flag)""']";when possible make_way_for tree and at any time move_to flag;"F ( ""make_way_for(tree)"" ) & F ( ""move_to(flag)"" )";"F""make_way_for(tree)"" & F""move_to(flag)""";Fap_0 & Fap_1
navi.jsonl;"['""make_your_way(flag)""', '""contact(house)""']";when possible contact house or at any time make_your_way flag;"F ( ""contact(house)"" ) | F ( ""make_your_way(flag)"" )";"F""contact(house)"" | F""make_your_way(flag)""";Fap_1 | Fap_0
navi.jsonl;"['""have(pear)""', '""get_near(flag)""']";at any time have pear and at any time get_near flag;"F ( ""have(pear)"" ) & F ( ""get_near(flag)"" )";"F""have(pear)"" & F""get_near(flag)""";Fap_0 & Fap_1
navi.jsonl;"['""go_near(house)""', '""grab(tree)""']";when possible go_near house or repeatedly grab tree;"F ( ""go_near(house)"" ) | G ( F ( ""grab(tree)"" ) )";"F""go_near(house)"" | GF""grab(tree)""";Fap_0 | GFap_1
navi.jsonl;"['""visit(tree)""', '""grasp(pear)""']";at any time grasp pear or visit tree;"F ( ""grasp(pear)"" ) | ""visit(tree)""";"""visit(tree)"" | F""grasp(pear)""";ap_0 | Fap_1
navi.jsonl;"['""spend_time_at(tree)""', '""take_to(trashcan)""']";whenever spend_time_at tree or take_to trashcan;"F ( ""spend_time_at(tree)"" ) | ""take_to(trashcan)""";"""take_to(trashcan)"" | F""spend_time_at(tree)""";ap_1 | Fap_0
navi.jsonl;"['""venture_to(trash_can)""', '""take_to(tree)""']";venture_to trash can or take_to tree;"""venture_to(trash_can)"" | ""take_to(tree)""";"""take_to(tree)"" | ""venture_to(trash_can)""";ap_1 | ap_0
navi.jsonl;"['""be_near(tree)""', '""pick_up(anything)""']";don't pick_up anything and at some time be_near tree;"! ( F ( ""pick_up(anything)"" ) ) & F ( ""be_near(tree)"" )";"!F""pick_up(anything)"" & F""be_near(tree)""";!Fap_1 & Fap_0
navi.jsonl;"['""go_by(flag)""', '""come(home)""']";at any time come home or at any time go_by flag;"F ( ""come(home)"" ) | F ( ""go_by(flag)"" )";"F""come(home)"" | F""go_by(flag)""";Fap_1 | Fap_0
navi.jsonl;"['""go_to(orange_bin)""', '""snag(orange)""']";if at any time snag orange , go_to orange bin;"F ( ""snag(orange)"" ) -> ""go_to(orange_bin)""";"F""snag(orange)"" -> ""go_to(orange_bin)""";Fap_1 -> ap_0
navi.jsonl;"['""approach(house)""', '""show_yourself_near(house)""']";whenever show_yourself_near house and when possible approach house;"F ( ""show_yourself_near(house)"" ) & F ( ""approach(house)"" )";"F""show_yourself_near(house)"" & F""approach(house)""";Fap_1 & Fap_0
navi.jsonl;"['""secure(pear)""', '""grasp(pear)""']";when possible secure pear or when possible grasp pear;"F ( ""secure(pear)"" ) | F ( ""grasp(pear)"" )";"F""secure(pear)"" | F""grasp(pear)""";Fap_0 | Fap_1
navi.jsonl;"['""move_forward(trash_can)""', '""travel_to(waste_bin)""']";at any time move_forward trash can or travel_to waste bin;"F ( ""move_forward(trash_can)"" ) | ""travel_to(waste_bin)""";"""travel_to(waste_bin)"" | F""move_forward(trash_can)""";ap_1 | Fap_0
navi.jsonl;"['""grasp(orange)""', '""go_to(house)""']";at some time go_to house or grasp orange;"F ( ""go_to(house)"" ) | ""grasp(orange)""";"""grasp(orange)"" | F""go_to(house)""";ap_0 | Fap_1
navi.jsonl;"['""go_to(pear)""', '""capture(orange)""']";capture orange or repeatedly go_to pear;"""capture(orange)"" | G ( F ( ""go_to(pear)"" ) )";"""capture(orange)"" | GF""go_to(pear)""";ap_1 | GFap_0
navi.jsonl;"['""scoop_up(pear)""', '""get(apple)""']";whenever scoop_up pear or at some time get apple;"F ( ""scoop_up(pear)"" ) | F ( ""get(apple)"" )";"F""scoop_up(pear)"" | F""get(apple)""";Fap_0 | Fap_1
navi.jsonl;"['""get_to(flag)""', '""withdraw(pear)""']";at some time get_to flag or at some time withdraw pear;"F ( ""get_to(flag)"" ) | F ( ""withdraw(pear)"" )";"F""get_to(flag)"" | F""withdraw(pear)""";Fap_0 | Fap_1
navi.jsonl;"['""going_to(tree)""', '""put_in(apple_bucket)""']";put_in apple bucket or going_to tree;"""put_in(apple_bucket)"" | ""going_to(tree)""";"""going_to(tree)"" | ""put_in(apple_bucket)""";ap_0 | ap_1
navi.jsonl;"['""take_possession_of(bear)""', '""make_contact(flag)""']";at some time take_possession_of bear and whenever make_contact flag;"F ( ""take_possession_of(bear)"" ) & F ( ""make_contact(flag)"" )";"F""take_possession_of(bear)"" & F""make_contact(flag)""";Fap_0 & Fap_1
navi.jsonl;"['""hold(apple)""', '""capture(orange)""']";capture orange until hold apple;"""capture(orange)"" U ""hold(apple)""";"""capture(orange)"" U ""hold(apple)""";ap_1 U ap_0
navi.jsonl;"['""visit(tree)""', '""get_close(tree)""']";at some time get_close tree and visit tree;"F ( ""get_close(tree)"" ) & ""visit(tree)""";"""visit(tree)"" & F""get_close(tree)""";ap_0 & Fap_1
navi.jsonl;"['""get_close(flag)""', '""advance_to(house)""']";when possible get_close flag and whenever advance_to house;"F ( ""get_close(flag)"" ) & F ( ""advance_to(house)"" )";"F""get_close(flag)"" & F""advance_to(house)""";Fap_0 & Fap_1
navi.jsonl;"['""visit(tree)""', '""journey_to(tree)""']";whenever journey_to tree and visit tree;"F ( ""journey_to(tree)"" ) & ""visit(tree)""";"""visit(tree)"" & F""journey_to(tree)""";ap_0 & Fap_1
navi.jsonl;"['""take(apple)""', '""going_to(house)""']";take apple or at some time going_to house;"""take(apple)"" | F ( ""going_to(house)"" )";"""take(apple)"" | F""going_to(house)""";ap_0 | Fap_1
navi.jsonl;"['""journey_to(flag)""', '""make_way_to(house)""']";repeatedly make_way_to house and whenever journey_to flag;"G ( F ( ""make_way_to(house)"" ) ) & F ( ""journey_to(flag)"" )";"GF""make_way_to(house)"" & F""journey_to(flag)""";GFap_1 & Fap_0
navi.jsonl;"['""go_visit(flag)""', '""travel_to(waste_bin)""']";travel_to waste bin and go_visit flag;"""travel_to(waste_bin)"" & ""go_visit(flag)""";"""go_visit(flag)"" & ""travel_to(waste_bin)""";ap_0 & ap_1
navi.jsonl;"['""going_to(flag)""', '""procure(pear)""']";at some time going_to flag or whenever procure pear;"F ( ""going_to(flag)"" ) | F ( ""procure(pear)"" )";"F""going_to(flag)"" | F""procure(pear)""";Fap_0 | Fap_1
navi.jsonl;"['""procure(apple)""', '""pick_up(flag)""']";pick_up flag or procure apple;"""pick_up(flag)"" | ""procure(apple)""";"""pick_up(flag)"" | ""procure(apple)""";ap_1 | ap_0
navi.jsonl;"['""proceed_to(tree)""', '""snatch(pear)""']";when possible snatch pear or whenever proceed_to tree;"F ( ""snatch(pear)"" ) | F ( ""proceed_to(tree)"" )";"F""snatch(pear)"" | F""proceed_to(tree)""";Fap_1 | Fap_0
navi.jsonl;"['""go_near(house)""', '""track_towards(tree)""']";whenever track_towards tree or when possible go_near house;"F ( ""track_towards(tree)"" ) | F ( ""go_near(house)"" )";"F""track_towards(tree)"" | F""go_near(house)""";Fap_1 | Fap_0
navi.jsonl;"['""go_by(waste_bin)""', '""go_by(waste_basket)""']";at any time go_by waste basket or go_by waste bin;"F ( ""go_by(waste_basket)"" ) | ""go_by(waste_bin)""";"""go_by(waste_bin)"" | F""go_by(waste_basket)""";ap_0 | Fap_1
navi.jsonl;"['""pick_up(flag)""', '""get_hold_of(pear)""']";pick_up flag or get_hold_of pear;"""pick_up(flag)"" | ""get_hold_of(pear)""";"""get_hold_of(pear)"" | ""pick_up(flag)""";ap_1 | ap_0
navi.jsonl;"['""drop(apple)""', '""move_to(flag)""']";never drop apple and at any time move_to flag;"G ( ! ( ""drop(apple)"" ) ) & F ( ""move_to(flag)"" )";"G!""drop(apple)"" & F""move_to(flag)""";G!ap_0 & Fap_1
