source;APs;original NL;original LTL;Spot LTL
conformal.jsonl;['pd', 'street_4', 'p_traffic_cone_5', 'intersection_6'];Pick up traffic_cone_5 from street_4 and subsequently place it in intersection_6;"finally ( ""street_4"" and finally ( ""p_traffic_cone_5"" and finally ( ""intersection_6"" and ""pd"" ) ) )";F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd)))
conformal.jsonl;['table_4'];Make sure to at table_4 and remain there without leaving;"finally globally ""table_4""";FGtable_4
conformal.jsonl;['photo', 'monument_3', 'pathway_8'];Capture a photo of monument_3 and then at pathway_8 and staying there continuously;"finally ( ""monument_3"" and ""photo"" and finally ( ""pathway_8"" and globally ""pathway_8"" ) )";F(monument_3 & photo & F(pathway_8 & Gpathway_8))
conformal.jsonl;['street_6', 'intersection_8'];Remain in street_6 until you arrive at intersection_8;"""street_6"" until ""intersection_8""";street_6 U intersection_8
conformal.jsonl;['pd', 'p_package_4', 'county_4', 'office_3', 'office_8'];Stay in county_4 and keep taking package_4 from office_3 to office_8;"globally ""county_4"" and globally finally ( ""office_3"" and finally ( ""p_package_4"" and finally ( ""office_8"" and ""pd"" ) ) )";Gcounty_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd)))
conformal.jsonl;['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4'];Do not at room_2 before retrieving bottle_4 from kitchen_1 and putting it on table_4;"not ""room_2"" until ( ""kitchen_1"" and finally ( ""p_bottle_4"" and finally ( ""table_4"" and ""pd"" ) ) )";!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4)))
conformal.jsonl;"['p_package_4', 'street_5', '""st|e_1""']";Do not at street_5 before reaching store_1 and taking package_4 from there.;"not ""street_5"" until ( ""store_1"" and ""p_package_4"" )";"!street_5 U (p_package_4 & ""st|e_1"")"
conformal.jsonl;['p_package_5'];Always avoid picking up package_5;"globally not ""p_package_5""";G!p_package_5
conformal.jsonl;"['pd', 'charger_9', 'warehouse_8', 'p_crate_2', '""st|e_2""']";Ensure that you keep visiting charger_9 and keep moving crate_2 from warehouse_8 to store_2;"globally finally ""charger_9"" and globally finally ( ""warehouse_8"" and finally ( ""p_crate_2"" and finally ( ""store_2"" and ""pd"" ) ) )";"GFcharger_9 & GF(warehouse_8 & F(p_crate_2 & F(pd & ""st|e_2"")))"
conformal.jsonl;"['pd', 'locality_6', '""st|e_8""', 'p_package_3', 'house_5']";Stay in locality_6 until you transport package_3 from store_8 to house_5;"""locality_6"" until ( ""store_8"" and finally ( ""p_package_3"" and finally ( ""house_5"" and ""pd"" ) ) )";"locality_6 U (""st|e_8"" & F(p_package_3 & F(house_5 & pd)))"
conformal.jsonl;['pd', 'table_2', 'p_brochure_8', 'street_9', 'charger_6'];Keep taking brochure_8 from table_2 to street_9 and also keep visiting charger_6;"globally finally ( ""table_2"" and finally ( ""p_brochure_8"" and finally ( ""street_9"" and ""pd"" ) ) ) and globally finally ""charger_6""";GF(table_2 & F(p_brochure_8 & F(pd & street_9))) & GFcharger_6
conformal.jsonl;['street_8'];Staying in street_8 forever;"globally ""street_8""";Gstreet_8
conformal.jsonl;['house_4'];Do not visit house_4 under any circumstances;"globally not ""house_4""";G!house_4
conformal.jsonl;"['pd', '""st|e_9""', 'house_1', 'p_package_3', 'street_7']";Always avoid going to street_7 while transporting package_3 from store_9 to house_1;"globally not ""street_7"" and finally ( ""store_9"" and finally ( ""p_package_3"" and finally ( ""house_1"" and ""pd"" ) ) )";"G!street_7 & F(""st|e_9"" & F(p_package_3 & F(house_1 & pd)))"
conformal.jsonl;"['pd', 'plant_8', 'p_box_5', '""st|e_6""']";Ensure you collect box_5 from plant_8, then take it to store_6;"finally ( ""plant_8"" and finally ( ""p_box_5"" and finally ( ""store_6"" and ""pd"" ) ) )";"F(plant_8 & F(p_box_5 & F(pd & ""st|e_6"")))"
conformal.jsonl;['photo', 'area_2', 'building_8'];Persistently stay in area_2 while regularly going to building_8 to photograph it;"globally ""area_2"" and globally finally ( ""building_8"" and ""photo"" )";Garea_2 & GF(building_8 & photo)
conformal.jsonl;['photo', 'park_5', 'monument_3'];Go to park_5 and then photo of monument_3;"finally ( ""park_5"" and finally ( ""monument_3"" and ""photo"" ) )";F(park_5 & F(monument_3 & photo))
conformal.jsonl;['street_3'];Stay away from street_3 indefinitely;"globally not ""street_3""";G!street_3
conformal.jsonl;['park_5'];Ensure you visit park_5;"finally ""park_5""";Fpark_5
conformal.jsonl;['intersection_4', 'locality_9'];Keep visiting intersection_4 as you at locality_9;"globally finally ""intersection_4"" and finally ""locality_9""";GFintersection_4 & Flocality_9
conformal.jsonl;['photo', 'area_2'];Keep revisiting area_2 and capturing a photo;"globally finally ( ""area_2"" and ""photo"" )";GF(area_2 & photo)
conformal.jsonl;['photo', 'parking_lot_5', 'car_3'];Refrain from visiting parking_lot_5 while photographing car_3;"globally not ""parking_lot_5"" and finally ( ""car_3"" and ""photo"" )";G!parking_lot_5 & F(car_3 & photo)
conformal.jsonl;['pd', 'park_3', 'p_cone_2', 'police_station_1', 'intersection_2'];Never enter park_3, and ensure that you eventually at police_station_1 and pickup cone_2 and then deliver it to intersection_2;"globally not ""park_3"" and finally ( ""police_station_1"" and ""p_cone_2"" and finally ( ""intersection_2"" and ""pd"" ) )";G!park_3 & F(p_cone_2 & police_station_1 & F(intersection_2 & pd))
conformal.jsonl;['street_4', 'intersection_2', 'house_13', 'p_trash_13'];Avoid entering street_4 until you reach intersection_2 while going to house_13 to pickup trash_13;"not ""street_4"" until ""intersection_2"" and finally ( ""house_13"" and ""p_trash_13"" )";(!street_4 U intersection_2) & F(house_13 & p_trash_13)
conformal.jsonl;['pd', 'mall_5', 'p_crate_8', 'office_6'];Ensure you continuously transport crate_8 from mall_5 to office_6;"globally finally ( ""mall_5"" and finally ( ""p_crate_8"" and finally ( ""office_6"" and ""pd"" ) ) )";GF(mall_5 & F(p_crate_8 & F(office_6 & pd)))
conformal.jsonl;['section_3', 'hall_5'];Go to section_3, but avoid entering hall_5;"finally ""section_3"" and globally not ""hall_5""";Fsection_3 & G!hall_5
conformal.jsonl;['park_1', 'table_3'];Stay in park_1 until you reach table_3;"""park_1"" until ""table_3""";park_1 U table_3
conformal.jsonl;['photo', 'parking_lot_5', 'car_9'];Never going to parking_lot_5 as you keep photographing car_9;"globally not ""parking_lot_5"" and globally finally ( ""car_9"" and ""photo"" )";G!parking_lot_5 & GF(car_9 & photo)
conformal.jsonl;['office_4', 'locality_3'];Remain in locality_3 until you arrive at office_4;"""locality_3"" until ""office_4""";locality_3 U office_4
conformal.jsonl;['house_1'];Do not enter house_1 under any circumstances;"globally not ""house_1""";G!house_1
conformal.jsonl;['building_5'];Keep visiting building_5;"globally finally ""building_5""";GFbuilding_5
conformal.jsonl;['parking_lot_5'];Go to parking_lot_5 and stay there forever.;"finally globally ""parking_lot_5""";FGparking_lot_5
conformal.jsonl;['photo', 'statue_6', 'bench_4'];Take a picture of statue_6 and then at bench_4 and stay there;"finally ( ""statue_6"" and ""photo"" and finally ( ""bench_4"" and globally ""bench_4"" ) )";F(photo & statue_6 & F(bench_4 & Gbench_4))
conformal.jsonl;"['photo', 'park_5', '""l&mark_4""']";Do not take any pictures before reaching park_5, and ensure you eventually photo of landmark_4;"not ""photo"" until ""park_5"" and finally ( ""landmark_4"" and ""photo"" )";"(!photo U park_5) & F(""l&mark_4"" & photo)"
conformal.jsonl;['house_2', 'p_trash_can_4'];Periodically visit house_2 and pickup trash_can_4 each time;"globally finally ( ""house_2"" and ""p_trash_can_4"" )";GF(house_2 & p_trash_can_4)
conformal.jsonl;"['pd', 'area_5', '""st|e_2""', 'p_package_8', 'house_9']";Stay within area_5 until you collect package_8 from store_2 and transport it to house_9;"""area_5"" until ( ""store_2"" and finally ( ""p_package_8"" and finally ( ""house_9"" and ""pd"" ) ) )";"area_5 U (""st|e_2"" & F(p_package_8 & F(house_9 & pd)))"
conformal.jsonl;['pd', 'post_office_1', 'p_lettter_2', 'building_3'];Go to post_office_1, collect letter 2, and put it down in building_3;"finally ( ""post_office_1"" and finally ( ""p_lettter_2"" and finally ( ""building_3"" and ""pd"" ) ) )";F(post_office_1 & F(p_lettter_2 & F(building_3 & pd)))
conformal.jsonl;['street_6', 'intersection_8'];Remain in street_6 before getting to intersection_8;"""street_6"" until ""intersection_8""";street_6 U intersection_8
conformal.jsonl;['photo', 'area_2', 'building_8'];Always stay in area_2 while repeatedly going to building_8 to take pictures;"globally ""area_2"" and globally finally ( ""building_8"" and ""photo"" )";Garea_2 & GF(building_8 & photo)
conformal.jsonl;"['pd', 'street_6', 'house_2', 'building_3', '""st|e_3""', 'p_box_8']";Do not approach building_3 until you reach street_6 as you bring box_8 from store_3 to house_2;"not ""building_3"" until ""street_6"" and finally ( ""store_3"" and finally ( ""p_box_8"" and finally ( ""house_2"" and ""pd"" ) ) )";"(!building_3 U street_6) & F(""st|e_3"" & F(p_box_8 & F(house_2 & pd)))"
conformal.jsonl;['house_4', 'p_bottle_2'];Never ever pickup bottle_2 from house_4;"globally not ( ""house_4"" and ""p_bottle_2"" )";G!(house_4 & p_bottle_2)
conformal.jsonl;['photo', 'parking_lot_5', 'car_9'];Ensure you never enter parking_lot_5 while consistently capturing photos of car_9;"globally not ""parking_lot_5"" and globally finally ( ""car_9"" and ""photo"" )";G!parking_lot_5 & GF(car_9 & photo)
conformal.jsonl;['charger_3', 'area_3', 'photo'];Repeatedly visit charger_3 while repeatedly taking pictures of area_3;"globally finally ""charger_3"" and globally finally ( ""area_3"" and ""photo"" )";GFcharger_3 & GF(area_3 & photo)
conformal.jsonl;['pd', 'house_1', 'mall_5', 'p_box_4'];Go to mall_5, collect box_4, and subsequently take it to house_1;"finally ( ""mall_5"" and finally ( ""p_box_4"" and finally ( ""house_1"" and ""pd"" ) ) )";F(mall_5 & F(p_box_4 & F(house_1 & pd)))
conformal.jsonl;['pd', 'park_3', 'p_cone_2', 'police_station_1', 'intersection_2'];Pick up cone_2 from police_station_1 and place it in intersection_2 without ever going to park_3.;"finally ( ""police_station_1"" and finally ( ""p_cone_2"" and finally ( ""intersection_2"" and ""pd"" ) ) ) and globally not ""park_3""";F(police_station_1 & F(p_cone_2 & F(intersection_2 & pd))) & G!park_3
conformal.jsonl;"['photo', 'park_5', '""l&mark_4""']";Avoid taking a photo until you reach park_5, and ensure that you eventually at landmark_4 and photo there;"not ""photo"" until ""park_5"" and finally ( ""landmark_4"" and ""photo"" )";"(!photo U park_5) & F(""l&mark_4"" & photo)"
conformal.jsonl;['photo', 'locality_7', 'park_3'];Continuously take pictures of locality_7 while ensuring you never visit park_3;"globally finally ( ""locality_7"" and ""photo"" ) and globally not ""park_3""";GF(locality_7 & photo) & G!park_3
conformal.jsonl;['building_8', 'parking_lot_4'];Do not at parking_lot_4 before arriving at building_8;"not ""parking_lot_4"" until ""building_8""";!parking_lot_4 U building_8
conformal.jsonl;['pd', 'parking_lot_4', 'car_5', 'p_document_4', 'car_6'];Continuously visit parking_lot_4 while delivering document_4 from car_5 to car_6;"globally finally ""parking_lot_4"" and finally ( ""car_5"" and finally ( ""p_document_4"" and finally ( ""car_6"" and ""pd"" ) ) )";GFparking_lot_4 & F(car_5 & F(p_document_4 & F(car_6 & pd)))
conformal.jsonl;['pd', 'office_3', 'p_package_5', 'office_6', 'locality_5'];Ensure you remain in locality_5 while delivering package_5 from office_3 to office_6;"globally ""locality_5"" and finally ( ""office_3"" and finally ( ""p_package_5"" and finally ( ""office_6"" and ""pd"" ) ) )";Glocality_5 & F(office_3 & F(p_package_5 & F(office_6 & pd)))
conformal.jsonl;['p_letter_8'];Ensure that you never interact with letter_8;"globally not ""p_letter_8""";G!p_letter_8
conformal.jsonl;['park_8', 'photo', 'arch_2'];Take a picture of arch_2 and then make sure to at park_8 and stay there indefinitely;"finally ( ""arch_2"" and ""photo"" and finally ( ""park_8"" and globally ""park_8"" ) )";F(arch_2 & photo & F(park_8 & Gpark_8))
conformal.jsonl;['mall_5'];Visit mall_5 and do not leave after arriving;"finally globally ""mall_5""";FGmall_5
conformal.jsonl;['photo', 'park_7', 'monument_4'];First at park_7 and after that photo of monument_4;"finally ( ""park_7"" and finally ( ""monument_4"" and ""photo"" ) )";F(park_7 & F(monument_4 & photo))
conformal.jsonl;['parking_lot_3'];Ensure you reach parking_lot_3 and stay there continuously;"finally globally ""parking_lot_3""";FGparking_lot_3
conformal.jsonl;"['pd', 'p_package_4', 'house_4', '""st|e_2""']";Put package_4 in house_4 after you get it from store_2;"finally ( ""store_2"" and finally ( ""p_package_4"" and finally ( ""house_4"" and ""pd"" ) ) )";"F(""st|e_2"" & F(p_package_4 & F(house_4 & pd)))"
conformal.jsonl;['house_5'];Go to house_5 and remain there indefinitely;"finally globally ""house_5""";FGhouse_5
conformal.jsonl;['building_3', 'garage_4'];Reach garage_4 before going to building_3 and stay there indefinitely;"finally ( ""garage_4"" and finally ( ""building_3"" and globally ""building_3"" ) )";F(garage_4 & F(building_3 & Gbuilding_3))
conformal.jsonl;['intersection_4'];Ensure you at intersection_4 and remain in that location forever;"finally globally ""intersection_4""";FGintersection_4
conformal.jsonl;['p_cone_2', 'p_cone_1'];Avoid picking up both cone_1 and cone_2 indefinitely;"globally not ( ""p_cone_1"" or ""p_cone_2"" )";G!(p_cone_1 | p_cone_2)
conformal.jsonl;['photo', 'park_5', 'monument_3'];First at park_5 and then make sure to photograph monument_3;"finally ( ""park_5"" and finally ( ""monument_3"" and ""photo"" ) )";F(park_5 & F(monument_3 & photo))
conformal.jsonl;['p_box_3'];Refrain from collecting box_3 under all circumstances;"globally not ""p_box_3""";G!p_box_3
conformal.jsonl;"['pd', 'street_6', 'p_package_8', '""st|e_4""', 'office_2']";Do not at store_4 until you reach street_6, while ensuring you transport package_8 from office_2 to store_4;"not ""store_4"" until ""street_6"" and finally ( ""office_2"" and finally ( ""p_package_8"" and finally ( ""store_4"" and ""pd"" ) ) )";"(!""st|e_4"" U street_6) & F(office_2 & F(p_package_8 & F(pd & ""st|e_4"")))"
conformal.jsonl;['building_3', 'garage_3'];Stay in building_3, but only after reaching garage_3 first.;"finally globally ""building_3"" and not ""building_3"" until ""garage_3""";FGbuilding_3 & (!building_3 U garage_3)
conformal.jsonl;"['pd', 'area_5', '""st|e_2""', 'p_package_8', 'house_9']";Stay in area_5 until you take package_8 from store_2 to house_9;"""area_5"" until ( ""store_2"" and finally ( ""p_package_8"" and finally ( ""house_9"" and ""pd"" ) ) )";"area_5 U (""st|e_2"" & F(p_package_8 & F(house_9 & pd)))"
conformal.jsonl;['pd', 'warehouse_4', 'p_crate_3', 'mall_3'];Ensure you keep moving crate_3 from warehouse_4 to mall_3 over time;"globally finally ( ""warehouse_4"" and finally ( ""p_crate_3"" and finally ( ""mall_3"" and ""pd"" ) ) )";GF(warehouse_4 & F(p_crate_3 & F(mall_3 & pd)))
conformal.jsonl;['photo', 'park_5', 'monument_3', 'intersection_5'];Stay away from park_5 until you arrive at intersection_5, and afterward, photo of monument_3;"not ""park_5"" until ""intersection_5"" and finally ( ""monument_3"" and ""photo"" )";(!park_5 U intersection_5) & F(monument_3 & photo)
conformal.jsonl;['house_2', 'p_trash_can_4'];Keep returning to house_2 to collect trash_can_4;"globally finally ( ""house_2"" and ""p_trash_can_4"" )";GF(house_2 & p_trash_can_4)
conformal.jsonl;['photo', 'park_2', 'monument_13'];Remain in park_2 until you photo of monument_13;"""park_2"" until ( ""monument_13"" and ""photo"" )";park_2 U (monument_13 & photo)
conformal.jsonl;['pd', 'park_2', 'table_9', 'p_brochure_3'];Pick up brochure_3 from table_9 and deliver it to park_2;"finally ( ""table_9"" and finally ( ""p_brochure_3"" and finally ( ""park_2"" and ""pd"" ) ) )";F(table_9 & F(p_brochure_3 & F(park_2 & pd)))
conformal.jsonl;['pd', 'house_4', 'house_9', 'charger_1', 'box_4'];Keep visiting charger_1 while transporting box_4 from house_4 to house_9;"globally finally ""charger_1"" and finally ( ""house_4"" and finally ( ""box_4"" and finally ( ""house_9"" and ""pd"" ) ) )";GFcharger_1 & F(house_4 & F(box_4 & F(house_9 & pd)))
conformal.jsonl;['house_4', 'room_2'];Remain in house_4 until you make your way to room_2;"""house_4"" until ""room_2""";house_4 U room_2
conformal.jsonl;['pd', 'intersection_5', 'p_cone_5', 'street_2'];Locate cone_5 in intersection_5 and deliver it to street_2;"finally ( ""intersection_5"" and finally ( ""p_cone_5"" and finally ( ""street_2"" and ""pd"" ) ) )";F(intersection_5 & F(p_cone_5 & F(pd & street_2)))
conformal.jsonl;['park_8'];Reach park_8 and remain there indefinitely;"finally globally ""park_8""";FGpark_8
conformal.jsonl;['photo', 'car_1', 'parking_lot_9'];Keep take pictures of car_1 while refraining from visiting parking_lot_9;"globally finally ( ""car_1"" and ""photo"" ) and globally not ""parking_lot_9""";GF(car_1 & photo) & G!parking_lot_9
conformal.jsonl;['park_8'];Ensure you at park_8 and remain in that location forever;"finally globally ""park_8""";FGpark_8
conformal.jsonl;['p_dish_2', 'parking_lot_2'];Visit parking_lot_2 and grab dish_2;"finally ( ""parking_lot_2"" and ""p_dish_2"" )";F(p_dish_2 & parking_lot_2)
conformal.jsonl;['p_cone_2', 'p_cone_1'];Ensure you never pickup either cone_1 or cone_2;"globally not ( ""p_cone_1"" or ""p_cone_2"" )";G!(p_cone_1 | p_cone_2)
conformal.jsonl;['car_3', 'building_2'];Periodically visit car_3 while ensuring you eventually at building_2;"globally finally ""car_3"" and finally ""building_2""";GFcar_3 & Fbuilding_2
conformal.jsonl;['pd', 'office_3', 'p_package_5', 'office_6', 'locality_5'];Maintain your presence in locality_5 as you retrieve package_5 from office_3 and deliver it to office_6;"globally ""locality_5"" and finally ( ""office_3"" and finally ( ""p_package_5"" and finally ( ""office_6"" and ""pd"" ) ) )";Glocality_5 & F(office_3 & F(p_package_5 & F(office_6 & pd)))
conformal.jsonl;['house_5'];Reach house_5 and stay permanently in that location;"finally globally ""house_5""";FGhouse_5
conformal.jsonl;['house_3'];Stay out of house_3 indefinitely;"globally not ""house_3""";G!house_3
conformal.jsonl;['photo', 'intersection_7'];Take a picture of intersection_7 and stay there;"finally ( ""intersection_7"" and ""photo"" and globally ""intersection_7"" )";F(intersection_7 & photo & Gintersection_7)
conformal.jsonl;"['p_package_4', 'street_5', '""st|e_1""']";Ensure you stay away from street_5 until you get to store_1 to deliver package_4;"not ""street_5"" until ""store_1"" and finally ( ""store_1"" and ""p_package_4"" )";"(!street_5 U ""st|e_1"") & F(p_package_4 & ""st|e_1"")"
conformal.jsonl;['parking_lot_5'];Visit parking_lot_5 and remain there indefinitely.;"finally globally ""parking_lot_5""";FGparking_lot_5
conformal.jsonl;['pd', 'house_4', 'p_package_2', 'warehouse_5'];Go to house_4 and pickup package_2 and take it to warehouse_5;"finally ( ""house_4"" and finally ( ""p_package_2"" and finally ( ""warehouse_5"" and ""pd"" ) ) )";F(house_4 & F(p_package_2 & F(pd & warehouse_5)))
conformal.jsonl;['pd', 'p_bottle_3', 'shop_1', 'hospital_2'];Fetch bottle_3 from store 1 and drop it off in hospital_2.;"finally ( ""shop_1"" and finally ( ""p_bottle_3"" and finally ( ""hospital_2"" and ""pd"" ) ) )";F(shop_1 & F(p_bottle_3 & F(hospital_2 & pd)))
conformal.jsonl;"['pd', 'p_package_5', '""st|e_2""', 'intersection_4', 'locality_1', 'warehouse_9']";Stay in locality_1 until you reach intersection_4 as you take package_5 from warehouse_9 to store_2;"""locality_1"" until ""intersection_4"" and finally ( ""warehouse_9"" and finally ( ""p_package_5"" and finally ( ""store_2"" and ""pd"" ) ) )";"(locality_1 U intersection_4) & F(warehouse_9 & F(p_package_5 & F(pd & ""st|e_2"")))"
conformal.jsonl;['photo', 'area_5', 'charger_4'];Keep visiting charger_4 while continuously taking pictures of area_5;"globally finally ""charger_4"" and globally finally ( ""area_5"" and ""photo"" )";GFcharger_4 & GF(area_5 & photo)
conformal.jsonl;"['pd', 'house_1', 'p_box_8', '""st|e_5""']";Retrieve box_8 at store_5 and transport it to house_1;"finally ( ""store_5"" and finally ( ""p_box_8"" and finally ( ""house_1"" and ""pd"" ) ) )";"F(""st|e_5"" & F(p_box_8 & F(house_1 & pd)))"
conformal.jsonl;"['pd', 'park_1', '""p_crate_4 ""', '""park_1 ""']";Eventually (pickup crate 4, and after that, at park_1, deliver the crate, and remain in park_1 indefinitely);"finally ( ""p_crate_4 "" and finally ( ""park_1 "" and ""pd"" and globally ""park_1"" ) )";"F(""p_crate_4 "" & F(""park_1 "" & pd & Gpark_1))"
conformal.jsonl;['photo', 'parking_lot_9', 'car_2'];Stay within parking_lot_9 until you capture a photo of car_2;"""parking_lot_9"" until ( ""car_2"" and ""photo"" )";parking_lot_9 U (car_2 & photo)
conformal.jsonl;['pd', 'p_package_4', 'county_4', 'office_3', 'office_8'];Ensure you remain in county_4 and keep transferring package_4 from office_3 to office_8;"globally ""county_4"" and globally finally ( ""office_3"" and finally ( ""p_package_4"" and finally ( ""office_8"" and ""pd"" ) ) )";Gcounty_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd)))
conformal.jsonl;['pd', 'bedroom_2', 'p_bottle_3', 'kitchen_4'];Pick up bottle_3 from bedroom_2 and deliver it to kitchen_4;"finally ( ""bedroom_2"" and finally ( ""p_bottle_3"" and finally ( ""kitchen_4"" and ""pd"" ) ) )";F(bedroom_2 & F(p_bottle_3 & F(kitchen_4 & pd)))
conformal.jsonl;"['pd', 'house_2', '""st|e_3""', 'p_package_2', 'mall_1']";Retrieve package_2 from store_3, deliver it to house_2, and never go into mall_1;"finally ( ""store_3"" and finally ( ""p_package_2"" and finally ( ""house_2"" and ""pd"" ) ) ) and globally not ""mall_1""";"F(""st|e_3"" & F(p_package_2 & F(house_2 & pd))) & G!mall_1"
conformal.jsonl;['warehouse_3', 'pd', 'photo', 'house_1', 'p_package_2'];Go to warehouse_3 to collect package_2, deliver it to house_1, and photo there;"finally ( ""warehouse_3"" and finally ( ""p_package_2"" and finally ( ""house_1"" and ""pd"" and ""photo"" ) ) )";F(warehouse_3 & F(p_package_2 & F(house_1 & pd & photo)))
conformal.jsonl;['street_5', 'parking_lot_4'];Do not enter parking_lot_4 until you reach street_5 as you enter and stay in parking_lot_4;"not ""parking_lot_4"" until ""street_5"" and finally ( ""parking_lot_4"" and globally ""parking_lot_4"" )";(!parking_lot_4 U street_5) & F(parking_lot_4 & Gparking_lot_4)
conformal.jsonl;['pd', 'park_3', 'p_cone_2', 'police_station_1', 'intersection_2'];While never entering park_3, Pick up cone_2 from police_station_1 and place it in intersection_2.;"globally not ""park_3"" and finally ( ""police_station_1"" and ""p_cone_2"" and finally ( ""intersection_2"" and ""pd"" ) )";G!park_3 & F(p_cone_2 & police_station_1 & F(intersection_2 & pd))
conformal.jsonl;"['photo', '""l&mark_9""']";Reach landmark_9, capture an image, and remain there forever;"finally ( ""landmark_9"" and ""photo"" and globally ""landmark_9"" )";"F(""l&mark_9"" & photo & G""l&mark_9"")"
conformal.jsonl;['pd', 'house_4', 'house_9', 'charger_1', 'box_4'];Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down;"globally finally ""charger_1"" and finally ( ""house_4"" and finally ( ""box_4"" and finally ( ""house_9"" and ""pd"" ) ) )";GFcharger_1 & F(house_4 & F(box_4 & F(house_9 & pd)))
conformal.jsonl;['area_5'];Remain in area_5 at all times;"globally ""area_5""";Garea_5
conformal.jsonl;['section_3', 'hall_5'];Eventually reach section_3, ensuring you continuously stay away from hall_5;"finally ""section_3"" and globally not ""hall_5""";Fsection_3 & G!hall_5
conformal.jsonl;['building_5'];Keep returning to building_5 periodically;"globally finally ""building_5""";GFbuilding_5
conformal.jsonl;['street_5', 'parking_lot_8'];Avoid accessing parking_lot_8 en route to street_5;"globally not ""parking_lot_8"" and finally ""street_5""";G!parking_lot_8 & Fstreet_5
conformal.jsonl;['pd', 'street_4', 'p_traffic_cone_5', 'intersection_6'];Ensure you take traffic_cone_5 from street_4 and then move it to intersection_6;"finally ( ""street_4"" and finally ( ""p_traffic_cone_5"" and finally ( ""intersection_6"" and ""pd"" ) ) )";F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd)))
conformal.jsonl;['building_1', 'street_4'];Stay out of building_1 until you get to street_4.;"not ""building_1"" until ""street_4""";!building_1 U street_4
conformal.jsonl;['photo', 'area_2'];Continuously visit area_2 and photo each time;"globally finally ( ""area_2"" and ""photo"" )";GF(area_2 & photo)
conformal.jsonl;['street_4'];Keep visiting street_4;"globally finally ""street_4""";GFstreet_4
conformal.jsonl;['pd', 'building_4', 'room_43', 'p_folder_3', 'room_12'];Ensure you remain in building_4 until folder_3 is moved from room_43 to room_12;"""building_4"" until ( ""room_43"" and finally ( ""p_folder_3"" and finally ( ""room_12"" and ""pd"" ) ) )";building_4 U (room_43 & F(p_folder_3 & F(pd & room_12)))
conformal.jsonl;['area_3', 'photo', 'area_4'];Persistently take pictures of area_4 while repeatedly capturing images of area_3;"globally finally ( ""area_4"" and ""photo"" ) and globally finally ( ""area_3"" and ""photo"" )";GF(area_4 & photo) & GF(area_3 & photo)
conformal.jsonl;['p_package_5'];Never pickup package_5;"globally not ""p_package_5""";G!p_package_5
