NL;LTL;APs;lifted_lifted;source
Begin recording the car on southwest_3rd_avenue can only happen after photoing the motorcycle on southeast_6th_avenue.;!"record(car,southwest_3rd_avenue)" U "photo(motorcycle,southeast_6th_avenue)";['"photo(motorcycle,southeast_6th_avenue)"', '"record(car,southwest_3rd_avenue)"'];!prop U prop;VLTL-Bench_New
Request assistance can only happen after change light_west green.;!get_help U "change(light_west,green)";['get_help', '"change(light_west,green)"'];!prop U prop;VLTL-Bench_New
Begin recording the collision on northwest_6th_street can only happen after photoing the car on south_7th_street.;!"record(collision,northwest_6th_street)" U "photo(car,south_7th_street)";['"record(collision,northwest_6th_street)"', '"photo(car,south_7th_street)"'];!prop U prop;VLTL-Bench_New
Photograph safe_rescuer can only happen after going back to base.;!"photo(safe_rescuer)" U go_home;['go_home', '"photo(safe_rescuer)"'];!prop U prop;VLTL-Bench_New
Record fire_source can only happen after deliver_aid the safe_hostile.;!"record(fire_source)" U "deliver_aid(safe_hostile)";['"deliver_aid(safe_hostile)"', '"record(fire_source)"'];!prop U prop;VLTL-Bench_New
Get help can only happen after change light_north yellow.;!get_help U "change(light_north,yellow)";['get_help', '"change(light_north,yellow)"'];!prop U prop;VLTL-Bench_New
Call for help can only happen after picking up the kite.;!get_help U "pickup(kite)";['get_help', '"pickup(kite)"'];!prop U prop;VLTL-Bench_New
Photograph the jaywalker on north_9th_street can only happen after recording the car on northeast_9th_street.;!"photo(jaywalker,north_9th_street)" U "record(car,northeast_9th_street)";['"record(car,northeast_9th_street)"', '"photo(jaywalker,north_9th_street)"'];!prop U prop;VLTL-Bench_New
Idle can only happen after picking up the parking_meter.;!idle U "pickup(parking_meter)";['idle', '"pickup(parking_meter)"'];!prop U prop;VLTL-Bench_New
Remain still can only happen after picking up the cell_phone.;!idle U "pickup(cell_phone)";['idle', '"pickup(cell_phone)"'];!prop U prop;VLTL-Bench_New
Return to base must hold until get_help does, or else go_home holds forever.;(go_home U get_help) | Ggo_home;['get_help', 'go_home'];(prop U prop) | Gprop;VLTL-Bench_New
Begin recording the jaywalker on west_9th_avenue must hold until photo the person on west_7th_street does, or else record the jaywalker on west_9th_avenue holds forever.;("record(jaywalker,west_9th_avenue)" U "photo(person,west_7th_street)") | G"record(jaywalker,west_9th_avenue)";['"photo(person,west_7th_street)"', '"record(jaywalker,west_9th_avenue)"'];(prop U prop) | Gprop;VLTL-Bench_New
Record gas_leak must hold until staying away from the inactive_unstable_beam does, or else record gas_leak holds forever.;("record(gas_leak)" U "avoid(inactive_unstable_beam)") | G"record(gas_leak)";['"record(gas_leak)"', '"avoid(inactive_unstable_beam)"'];(prop U prop) | Gprop;VLTL-Bench_New
Collect the mouse must hold until idleing does, or else pickup the mouse holds forever.;("pickup(mouse)" U idle) | G"pickup(mouse)";['idle', '"pickup(mouse)"'];(prop U prop) | Gprop;VLTL-Bench_New
The robot must avoid the inactive_debris must hold until record debris does, or else avoid the inactive_debris holds forever.;("avoid(inactive_debris)" U "record(debris)") | G"avoid(inactive_debris)";['"avoid(inactive_debris)"', '"record(debris)"'];(prop U prop) | Gprop;VLTL-Bench_New
Update light_west yellow must hold until get_help does, or else change light_west yellow holds forever.;("change(light_west,yellow)" U get_help) | G"change(light_west,yellow)";['get_help', '"change(light_west,yellow)"'];(prop U prop) | Gprop;VLTL-Bench_New
Pick up the teddy-bear must hold until get_help does, or else pickup the teddy-bear holds forever.;("pickup(teddy-bear)" U get_help) | G"pickup(teddy-bear)";['get_help', '"pickup(teddy-bear)"'];(prop U prop) | Gprop;VLTL-Bench_New
Wait must hold until get_help does, or else idle holds forever.;(idle U get_help) | Gidle;['get_help', 'idle'];(prop U prop) | Gprop;VLTL-Bench_New
Request assistance must hold until change light_north green does, or else get_help holds forever.;(get_help U "change(light_north,green)") | Gget_help;['get_help', '"change(light_north,green)"'];(prop U prop) | Gprop;VLTL-Bench_New
The system must avoid the nearest_flood must hold until returning to base does, or else avoid the nearest_flood holds forever.;("avoid(nearest_flood)" U go_home) | G"avoid(nearest_flood)";['go_home', '"avoid(nearest_flood)"'];(prop U prop) | Gprop;VLTL-Bench_New
Search for the cup must hold until idle does, or else search the cup holds forever.;("search(cup)" U idle) | G"search(cup)";['idle', '"search(cup)"'];(prop U prop) | Gprop;VLTL-Bench_New
Get help must hold until idle does, or else get_help holds forever.;(get_help U idle) | Gget_help;['get_help', 'idle'];(prop U prop) | Gprop;VLTL-Bench_New
The robot must eventually, avoid idleing.;F!idle;['idle'];F!prop;VLTL-Bench_New
Our agent must eventually, avoid geting help.;F!get_help;['get_help'];F!prop;VLTL-Bench_New
The system must eventually, avoid begining recording the vehicle on east_5th_street.;F!"record(vehicle,east_5th_street)";['"record(vehicle,east_5th_street)"'];F!prop;VLTL-Bench_New
The system must eventually, avoid staying away from the active_flood.;F!"avoid(active_flood)";['"avoid(active_flood)"'];F!prop;VLTL-Bench_New
Our agent must eventually, avoid deliver the aeroplane to the loading_dock.;F!"deliver(aeroplane,loading_dock)";['"deliver(aeroplane,loading_dock)"'];F!prop;VLTL-Bench_New
You must eventually, avoid delivering the giraffe to the loading_dock.;F!"deliver(giraffe,loading_dock)";['"deliver(giraffe,loading_dock)"'];F!prop;VLTL-Bench_New
The system must eventually, avoid photoing safe_civilian.;F!"photo(safe_civilian)";['"photo(safe_civilian)"'];F!prop;VLTL-Bench_New
You must eventually, avoid change light_east yellow.;F!"change(light_east,yellow)";['"change(light_east,yellow)"'];F!prop;VLTL-Bench_New
The system must eventually, avoid delivering the cow to the loading_dock.;F!"deliver(cow,loading_dock)";['"deliver(cow,loading_dock)"'];F!prop;VLTL-Bench_New
The system must eventually, avoid talking to the injured_hostile.;F!"communicate(injured_hostile)";['"communicate(injured_hostile)"'];F!prop;VLTL-Bench_New
Our agent must eventually, avoid searching for the knife.;F!"search(knife)";['"search(knife)"'];F!prop;VLTL-Bench_New
Our agent must eventually, avoid droping off the donut to the shelf.;F!"deliver(donut,shelf)";['"deliver(donut,shelf)"'];F!prop;VLTL-Bench_New
Our agent must eventually idle and pickup the vase.;F(idle & "pickup(vase)");['idle', '"pickup(vase)"'];F(prop & prop);VLTL-Bench_New
The system must eventually photo the vehicle on east_2nd_avenue and photo the motorcycle on east_4th_avenue.;F("photo(motorcycle,east_4th_avenue)" & "photo(vehicle,east_2nd_avenue)");['"photo(vehicle,east_2nd_avenue)"', '"photo(motorcycle,east_4th_avenue)"'];F(prop & prop);VLTL-Bench_New
You must Eventually, both deliver_aid the injured_rescuer and deliver_aid the injured_victim hold simultaneously.;F("deliver_aid(injured_rescuer)" & "deliver_aid(injured_victim)");['"deliver_aid(injured_victim)"', '"deliver_aid(injured_rescuer)"'];F(prop & prop);VLTL-Bench_New
You must Eventually, both record safe_person and record unsafe_civilian hold simultaneously.;F("record(safe_person)" & "record(unsafe_civilian)");['"record(unsafe_civilian)"', '"record(safe_person)"'];F(prop & prop);VLTL-Bench_New
The system must Eventually, both record the person on northeast_5th_street and photo the person on southeast_7th_avenue hold simultaneously.;F("photo(person,southeast_7th_avenue)" & "record(person,northeast_5th_street)");['"photo(person,southeast_7th_avenue)"', '"record(person,northeast_5th_street)"'];F(prop & prop);VLTL-Bench_New
Our agent must Eventually, both photo unstable_beam and record unstable_beam hold simultaneously.;F("photo(unstable_beam)" & "record(unstable_beam)");['"photo(unstable_beam)"', '"record(unstable_beam)"'];F(prop & prop);VLTL-Bench_New
This controller must eventually get_help and record the pedestrian on southwest_6th_street.;F(get_help & "record(pedestrian,southwest_6th_street)");['get_help', '"record(pedestrian,southwest_6th_street)"'];F(prop & prop);VLTL-Bench_New
Our agent must Eventually, both pickup the cake and pickup the umbrella hold simultaneously.;F("pickup(cake)" & "pickup(umbrella)");['"pickup(umbrella)"', '"pickup(cake)"'];F(prop & prop);VLTL-Bench_New
The robot must eventually get_help and search the potted_plant.;F(get_help & "search(potted_plant)");['get_help', '"search(potted_plant)"'];F(prop & prop);VLTL-Bench_New
This controller must eventually deliver_aid the injured_rescuer and get_help.;F("deliver_aid(injured_rescuer)" & get_help);['get_help', '"deliver_aid(injured_rescuer)"'];F(prop & prop);VLTL-Bench_New
The system must Eventually, both deliver the skateboard to the loading_dock and search the sink hold simultaneously.;F("deliver(skateboard,loading_dock)" & "search(sink)");['"search(sink)"', '"deliver(skateboard,loading_dock)"'];F(prop & prop);VLTL-Bench_New
Our agent must eventually record the person on west_6th_avenue and get_help.;F(get_help & "record(person,west_6th_avenue)");['get_help', '"record(person,west_6th_avenue)"'];F(prop & prop);VLTL-Bench_New
This controller must eventually deliver_aid the safe_victim or record safe_person.;F("deliver_aid(safe_victim)" | "record(safe_person)");['"deliver_aid(safe_victim)"', '"record(safe_person)"'];F(prop | prop);VLTL-Bench_New
The system must eventually communicate the injured_rescuer or communicate the safe_hostile.;F("communicate(injured_rescuer)" | "communicate(safe_hostile)");['"communicate(injured_rescuer)"', '"communicate(safe_hostile)"'];F(prop | prop);VLTL-Bench_New
This controller must eventually get_help or go_home.;F(get_help | go_home);['get_help', 'go_home'];F(prop | prop);VLTL-Bench_New
This controller must eventually change light_west green or photo the motorcycle on south_8th_street.;F("change(light_west,green)" | "photo(motorcycle,south_8th_street)");['"change(light_west,green)"', '"photo(motorcycle,south_8th_street)"'];F(prop | prop);VLTL-Bench_New
This controller must eventually photo the jaywalker on southwest_6th_avenue or photo the collision on southeast_7th_avenue.;F("photo(collision,southeast_7th_avenue)" | "photo(jaywalker,southwest_6th_avenue)");['"photo(collision,southeast_7th_avenue)"', '"photo(jaywalker,southwest_6th_avenue)"'];F(prop | prop);VLTL-Bench_New
The system must eventually record flood or photo gas_leak.;F("photo(gas_leak)" | "record(flood)");['"photo(gas_leak)"', '"record(flood)"'];F(prop | prop);VLTL-Bench_New
This controller must eventually pickup the elephant or deliver the giraffe to the loading_dock.;F("deliver(giraffe,loading_dock)" | "pickup(elephant)");['"pickup(elephant)"', '"deliver(giraffe,loading_dock)"'];F(prop | prop);VLTL-Bench_New
You must eventually communicate the injured_rescuer or deliver_aid the injured_hostile.;F("communicate(injured_rescuer)" | "deliver_aid(injured_hostile)");['"communicate(injured_rescuer)"', '"deliver_aid(injured_hostile)"'];F(prop | prop);VLTL-Bench_New
The system must eventually photo safe_victim or record debris.;F("photo(safe_victim)" | "record(debris)");['"photo(safe_victim)"', '"record(debris)"'];F(prop | prop);VLTL-Bench_New
Our agent must eventually get_help or record the cyclist on south_10th_street.;F(get_help | "record(cyclist,south_10th_street)");['get_help', '"record(cyclist,south_10th_street)"'];F(prop | prop);VLTL-Bench_New
The system must eventually record the motorcycle on southwest_10th_street or get_help.;F(get_help | "record(motorcycle,southwest_10th_street)");['get_help', '"record(motorcycle,southwest_10th_street)"'];F(prop | prop);VLTL-Bench_New
The robot must eventually get_help or pickup the person.;F(get_help | "pickup(person)");['get_help', '"pickup(person)"'];F(prop | prop);VLTL-Bench_New
From some point onwards, record the collision on northwest_10th_street never occurs again.;FG!"record(collision,northwest_10th_street)";['"record(collision,northwest_10th_street)"'];FG!prop;VLTL-Bench_New
From some point onwards, photo the person on west_5th_street never occurs again.;FG!"photo(person,west_5th_street)";['"photo(person,west_5th_street)"'];FG!prop;VLTL-Bench_New
From some point onwards, communicate the injured_victim never occurs again.;FG!"communicate(injured_victim)";['"communicate(injured_victim)"'];FG!prop;VLTL-Bench_New
From some point onwards, deliver_aid the injured_victim never occurs again.;FG!"deliver_aid(injured_victim)";['"deliver_aid(injured_victim)"'];FG!prop;VLTL-Bench_New
From some point onwards, avoid the nearest_flood never occurs again.;FG!"avoid(nearest_flood)";['"avoid(nearest_flood)"'];FG!prop;VLTL-Bench_New
From some point onwards, deliver the toaster to the loading_dock never occurs again.;FG!"deliver(toaster,loading_dock)";['"deliver(toaster,loading_dock)"'];FG!prop;VLTL-Bench_New
From some point onwards, pickup the bear never occurs again.;FG!"pickup(bear)";['"pickup(bear)"'];FG!prop;VLTL-Bench_New
From some point onwards, pickup the chair never occurs again.;FG!"pickup(chair)";['"pickup(chair)"'];FG!prop;VLTL-Bench_New
From some point onwards, search the apple never occurs again.;FG!"search(apple)";['"search(apple)"'];FG!prop;VLTL-Bench_New
From some point onwards, record the person on northeast_2nd_avenue never occurs again.;FG!"record(person,northeast_2nd_avenue)";['"record(person,northeast_2nd_avenue)"'];FG!prop;VLTL-Bench_New
From some point onwards, pickup the sofa never occurs again.;FG!"pickup(sofa)";['"pickup(sofa)"'];FG!prop;VLTL-Bench_New
From some point onwards, photo the collision on west_8th_street never occurs again.;FG!"photo(collision,west_8th_street)";['"photo(collision,west_8th_street)"'];FG!prop;VLTL-Bench_New
The system must pickup the remote and search the frisbee will each happen at some point.;F"pickup(remote)" & F"search(frisbee)";['"search(frisbee)"', '"pickup(remote)"'];Fprop & Fprop;VLTL-Bench_New
Take a picture of safe_rescuer and deliver_aid the safe_rescuer will each happen at some point.;F"photo(safe_rescuer)" & F"deliver_aid(safe_rescuer)";['"deliver_aid(safe_rescuer)"', '"photo(safe_rescuer)"'];Fprop & Fprop;VLTL-Bench_New
Photograph flood and record unstable_beam will each happen at some point.;F"photo(flood)" & F"record(unstable_beam)";['"photo(flood)"', '"record(unstable_beam)"'];Fprop & Fprop;VLTL-Bench_New
Take a video of the pedestrian on east_1st_avenue and record the jaywalker on east_7th_avenue will each happen at some point.;F"record(pedestrian,east_1st_avenue)" & F"record(jaywalker,east_7th_avenue)";['"record(jaywalker,east_7th_avenue)"', '"record(pedestrian,east_1st_avenue)"'];Fprop & Fprop;VLTL-Bench_New
Begin recording the person on southwest_3rd_street and change light_east yellow will each happen at some point.;F"record(person,southwest_3rd_street)" & F"change(light_east,yellow)";['"change(light_east,yellow)"', '"record(person,southwest_3rd_street)"'];Fprop & Fprop;VLTL-Bench_New
Look for the broccoli and get_help will each happen at some point.;F"search(broccoli)" & Fget_help;['get_help', '"search(broccoli)"'];Fprop & Fprop;VLTL-Bench_New
Get help and record the person on east_9th_avenue will each happen at some point.;Fget_help & F"record(person,east_9th_avenue)";['get_help', '"record(person,east_9th_avenue)"'];Fprop & Fprop;VLTL-Bench_New
Get help and deliver the person to the loading_dock will each happen at some point.;Fget_help & F"deliver(person,loading_dock)";['get_help', '"deliver(person,loading_dock)"'];Fprop & Fprop;VLTL-Bench_New
Call for help and record the jaywalker on southeast_6th_avenue will each happen at some point.;Fget_help & F"record(jaywalker,southeast_6th_avenue)";['get_help', '"record(jaywalker,southeast_6th_avenue)"'];Fprop & Fprop;VLTL-Bench_New
Take a picture of fire_source and avoid the impending_flood will each happen at some point.;F"photo(fire_source)" & F"avoid(impending_flood)";['"photo(fire_source)"', '"avoid(impending_flood)"'];Fprop & Fprop;VLTL-Bench_New
Set light_east green and record the motorcycle on southeast_7th_avenue will each happen at some point.;F"change(light_east,green)" & F"record(motorcycle,southeast_7th_avenue)";['"change(light_east,green)"', '"record(motorcycle,southeast_7th_avenue)"'];Fprop & Fprop;VLTL-Bench_New
Photograph the jaywalker on east_6th_street and get_help will each happen at some point.;F"photo(jaywalker,east_6th_street)" & Fget_help;['get_help', '"photo(jaywalker,east_6th_street)"'];Fprop & Fprop;VLTL-Bench_New
If idle ever holds, pickup the mouse must have held beforehand.;Fidle -> (!idle U (!idle & "pickup(mouse)"));['idle', '"pickup(mouse)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If change light_west red ever holds, record the jaywalker on northeast_3rd_street must have held beforehand.;F"change(light_west,red)" -> (!"change(light_west,red)" U (!"change(light_west,red)" & "record(jaywalker,northeast_3rd_street)"));['"change(light_west,red)"', '"record(jaywalker,northeast_3rd_street)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If get_help ever holds, record the cyclist on southwest_9th_avenue must have held beforehand.;Fget_help -> (!get_help U (!get_help & "record(cyclist,southwest_9th_avenue)"));['get_help', '"record(cyclist,southwest_9th_avenue)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If avoid the probable_fire_source ever holds, deliver_aid the injured_hostile must have held beforehand.;F"avoid(probable_fire_source)" -> (!"avoid(probable_fire_source)" U (!"avoid(probable_fire_source)" & "deliver_aid(injured_hostile)"));['"deliver_aid(injured_hostile)"', '"avoid(probable_fire_source)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If change light_west green ever holds, photo the person on west_10th_avenue must have held beforehand.;F"change(light_west,green)" -> (!"change(light_west,green)" U (!"change(light_west,green)" & "photo(person,west_10th_avenue)"));['"change(light_west,green)"', '"photo(person,west_10th_avenue)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If deliver_aid the safe_hostile ever holds, go_home must have held beforehand.;F"deliver_aid(safe_hostile)" -> (!"deliver_aid(safe_hostile)" U (!"deliver_aid(safe_hostile)" & go_home));['go_home', '"deliver_aid(safe_hostile)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If deliver_aid the injured_victim ever holds, go_home must have held beforehand.;F"deliver_aid(injured_victim)" -> (!"deliver_aid(injured_victim)" U (!"deliver_aid(injured_victim)" & go_home));['go_home', '"deliver_aid(injured_victim)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If deliver the teddy-bear to the shelf ever holds, search the donut must have held beforehand.;F"deliver(teddy-bear,shelf)" -> (!"deliver(teddy-bear,shelf)" U (!"deliver(teddy-bear,shelf)" & "search(donut)"));['"search(donut)"', '"deliver(teddy-bear,shelf)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If avoid the impending_gas_leak ever holds, photo unsafe_person must have held beforehand.;F"avoid(impending_gas_leak)" -> (!"avoid(impending_gas_leak)" U (!"avoid(impending_gas_leak)" & "photo(unsafe_person)"));['"avoid(impending_gas_leak)"', '"photo(unsafe_person)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If avoid the active_unstable_beam ever holds, go_home must have held beforehand.;F"avoid(active_unstable_beam)" -> (!"avoid(active_unstable_beam)" U (!"avoid(active_unstable_beam)" & go_home));['go_home', '"avoid(active_unstable_beam)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If get_help ever holds, search the kite must have held beforehand.;Fget_help -> (!get_help U (!get_help & "search(kite)"));['get_help', '"search(kite)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If get_help ever holds, pickup the aeroplane must have held beforehand.;Fget_help -> (!get_help U (!get_help & "pickup(aeroplane)"));['get_help', '"pickup(aeroplane)"'];Fprop -> (!prop U (!prop & prop));VLTL-Bench_New
If search the broccoli ever holds, deliver the elephant to the shelf must have held beforehand.;F"search(broccoli)" -> (!"search(broccoli)" U ("deliver(elephant,shelf)" & !"search(broccoli)"));['"search(broccoli)"', '"deliver(elephant,shelf)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If deliver_aid the injured_victim ever holds, avoid the probable_fire_source must have held beforehand.;F"deliver_aid(injured_victim)" -> (!"deliver_aid(injured_victim)" U ("avoid(probable_fire_source)" & !"deliver_aid(injured_victim)"));['"deliver_aid(injured_victim)"', '"avoid(probable_fire_source)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If record the cyclist on northwest_6th_street ever holds, get_help must have held beforehand.;F"record(cyclist,northwest_6th_street)" -> (!"record(cyclist,northwest_6th_street)" U (get_help & !"record(cyclist,northwest_6th_street)"));['get_help', '"record(cyclist,northwest_6th_street)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If photo the pedestrian on north_2nd_street ever holds, change light_east green must have held beforehand.;F"photo(pedestrian,north_2nd_street)" -> (!"photo(pedestrian,north_2nd_street)" U ("change(light_east,green)" & !"photo(pedestrian,north_2nd_street)"));['"change(light_east,green)"', '"photo(pedestrian,north_2nd_street)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If photo the cyclist on south_2nd_avenue ever holds, get_help must have held beforehand.;F"photo(cyclist,south_2nd_avenue)" -> (!"photo(cyclist,south_2nd_avenue)" U (get_help & !"photo(cyclist,south_2nd_avenue)"));['get_help', '"photo(cyclist,south_2nd_avenue)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If photo the motorcycle on northwest_5th_avenue ever holds, get_help must have held beforehand.;F"photo(motorcycle,northwest_5th_avenue)" -> (!"photo(motorcycle,northwest_5th_avenue)" U (get_help & !"photo(motorcycle,northwest_5th_avenue)"));['get_help', '"photo(motorcycle,northwest_5th_avenue)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If pickup the cat ever holds, get_help must have held beforehand.;F"pickup(cat)" -> (!"pickup(cat)" U (get_help & !"pickup(cat)"));['get_help', '"pickup(cat)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If photo injured_person ever holds, communicate the safe_hostile must have held beforehand.;F"photo(injured_person)" -> (!"photo(injured_person)" U ("communicate(safe_hostile)" & !"photo(injured_person)"));['"communicate(safe_hostile)"', '"photo(injured_person)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If record the collision on north_7th_street ever holds, get_help must have held beforehand.;F"record(collision,north_7th_street)" -> (!"record(collision,north_7th_street)" U (get_help & !"record(collision,north_7th_street)"));['get_help', '"record(collision,north_7th_street)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If search the sink ever holds, get_help must have held beforehand.;F"search(sink)" -> (!"search(sink)" U (get_help & !"search(sink)"));['get_help', '"search(sink)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If record debris ever holds, avoid the inactive_gas_leak must have held beforehand.;F"record(debris)" -> (!"record(debris)" U ("avoid(inactive_gas_leak)" & !"record(debris)"));['"record(debris)"', '"avoid(inactive_gas_leak)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
If record unsafe_rescuer ever holds, communicate the injured_victim must have held beforehand.;F"record(unsafe_rescuer)" -> (!"record(unsafe_rescuer)" U ("communicate(injured_victim)" & !"record(unsafe_rescuer)"));['"communicate(injured_victim)"', '"record(unsafe_rescuer)"'];Fprop -> (!prop U (prop & !prop));VLTL-Bench_New
Deliver aid to the safe_victim and go_home are mutually exclusive at all times.;G!("deliver_aid(safe_victim)" & go_home);['"deliver_aid(safe_victim)"', 'go_home'];G!(prop & prop);VLTL-Bench_New
Globally, it is not the case that both photo the jaywalker on southwest_2nd_avenue and photo the cyclist on east_6th_street hold simultaneously.;G!("photo(cyclist,east_6th_street)" & "photo(jaywalker,southwest_2nd_avenue)");['"photo(cyclist,east_6th_street)"', '"photo(jaywalker,southwest_2nd_avenue)"'];G!(prop & prop);VLTL-Bench_New
Look for the boat and get_help are mutually exclusive at all times.;G!(get_help & "search(boat)");['get_help', '"search(boat)"'];G!(prop & prop);VLTL-Bench_New
Globally, it is not the case that both idle and deliver the sofa to the loading_dock hold simultaneously.;G!("deliver(sofa,loading_dock)" & idle);['idle', '"deliver(sofa,loading_dock)"'];G!(prop & prop);VLTL-Bench_New
Look for the toilet and deliver the skis to the shelf are mutually exclusive at all times.;G!("deliver(skis,shelf)" & "search(toilet)");['"deliver(skis,shelf)"', '"search(toilet)"'];G!(prop & prop);VLTL-Bench_New
Wait and pickup the backpack are mutually exclusive at all times.;G!(idle & "pickup(backpack)");['idle', '"pickup(backpack)"'];G!(prop & prop);VLTL-Bench_New
Switch light_north green and change light_south red are mutually exclusive at all times.;G!("change(light_north,green)" & "change(light_south,red)");['"change(light_south,red)"', '"change(light_north,green)"'];G!(prop & prop);VLTL-Bench_New
Set light_north yellow and get_help are mutually exclusive at all times.;G!("change(light_north,yellow)" & get_help);['get_help', '"change(light_north,yellow)"'];G!(prop & prop);VLTL-Bench_New
Locate the boat and pickup the pizza are mutually exclusive at all times.;G!("pickup(pizza)" & "search(boat)");['"search(boat)"', '"pickup(pizza)"'];G!(prop & prop);VLTL-Bench_New
Get help and deliver the orange to the shelf are mutually exclusive at all times.;G!("deliver(orange,shelf)" & get_help);['get_help', '"deliver(orange,shelf)"'];G!(prop & prop);VLTL-Bench_New
Photograph unsafe_rescuer and deliver_aid the safe_rescuer are mutually exclusive at all times.;G!("deliver_aid(safe_rescuer)" & "photo(unsafe_rescuer)");['"deliver_aid(safe_rescuer)"', '"photo(unsafe_rescuer)"'];G!(prop & prop);VLTL-Bench_New
Globally, it is not the case that both deliver the bear to the loading_dock and search the toaster hold simultaneously.;G!("deliver(bear,loading_dock)" & "search(toaster)");['"deliver(bear,loading_dock)"', '"search(toaster)"'];G!(prop & prop);VLTL-Bench_New
Record the vehicle on southeast_7th_street and change light_south yellow never coincide, yet one of them is always true.;G!("change(light_south,yellow)" & "record(vehicle,southeast_7th_street)") & G("change(light_south,yellow)" | "record(vehicle,southeast_7th_street)");['"change(light_south,yellow)"', '"record(vehicle,southeast_7th_street)"'];G!(prop & prop) & G(prop | prop);VLTL-Bench_New
