NL;LTL;APs
finally, the escalator is blocked or the semaphore is red or a house is open;F(escalator_is_blocked | house_is_open | semaphore_is_red);['house_is_open', 'semaphore_is_red', 'escalator_is_blocked']
at a certain moment either the escalator speeds up, the bar has to be repaired or the constructor creates instances;F(bar_has_to_be_repaired | constructor_creates_instances | escalator_speeds_up);['escalator_speeds_up', 'constructor_creates_instances', 'bar_has_to_be_repaired']
it is going to happen that the sensor gathers information or the motorbike has stopped;F(motorbike_has_stopped | sensor_gathers_information);['sensor_gathers_information', 'motorbike_has_stopped']
in the future either an elevator is blocked or the engine starts;F(elevator_is_blocked | engine_starts);['engine_starts', 'elevator_is_blocked']
sooner or later either the escalator speeds up or a train has arrived;F(escalator_speeds_up | train_has_arrived);['escalator_speeds_up', 'train_has_arrived']
at some point in time either a motorbike has started or the bar is closing;F(bar_is_closing | motorbike_has_started);['bar_is_closing', 'motorbike_has_started']
at some point either the motorbike has stopped or the motorbike falls down;F(motorbike_falls_down | motorbike_has_stopped);['motorbike_falls_down', 'motorbike_has_stopped']
finally, a sensor gathers information or the house is open;F(house_is_open | sensor_gathers_information);['house_is_open', 'sensor_gathers_information']
it will happen that the engine stops or a constructor instantiate objects;F(constructor_instantiate_objects | engine_stops);['constructor_instantiate_objects', 'engine_stops']
in the future the constructor instantiate objects or the bridge opens;F(bridge_opens | constructor_instantiate_objects);['constructor_instantiate_objects', 'bridge_opens']
it will happen that either the motorbike falls down or the engine starts;F(engine_starts | motorbike_falls_down);['motorbike_falls_down', 'engine_starts']
in the future either an elevator falls or a semaphore is red;F(elevator_falls | semaphore_is_red);['semaphore_is_red', 'elevator_falls']
in the future either the escalator is blocked or a semaphore is yellow;F(escalator_is_blocked | semaphore_is_yellow);['semaphore_is_yellow', 'escalator_is_blocked']
at a certain moment either a semaphore is red or the sensor retrieves data;F(semaphore_is_red | sensor_retrieves_data);['semaphore_is_red', 'sensor_retrieves_data']
finally, a sensor retrieves data;Fsensor_retrieves_data;['sensor_retrieves_data']
in the future the train stops;Ftrain_stops;['train_stops']
finally, the escalator moves;Fescalator_moves;['escalator_moves']
in the future the escalator speeds up;Fescalator_speeds_up;['escalator_speeds_up']
at a certain moment the brake is pressed;Fbrake_is_pressed;['brake_is_pressed']
it will not happen that the escalator speeds up, a train has arrived and the brake is pressed;G!(brake_is_pressed & escalator_speeds_up & train_has_arrived);['brake_is_pressed', 'escalator_speeds_up', 'train_has_arrived']
under no condition the bar is down, the train has been launched and the constructor creates instances;G!(bar_is_down & constructor_creates_instances & train_has_been_launched);['constructor_creates_instances', 'train_has_been_launched', 'bar_is_down']
it will not happen that the elevator is open, the elevator rises and the escalator speeds up;G!(elevator_is_open & elevator_rises & escalator_speeds_up);['escalator_speeds_up', 'elevator_rises', 'elevator_is_open']
it will not happen that the escalator moves, the brake is released and a semaphore is red;G!(brake_is_released & escalator_moves & semaphore_is_red);['semaphore_is_red', 'escalator_moves', 'brake_is_released']
never, the escalator speeds up and, at the same time, the house collapses and a semaphore is yellow;G!(escalator_speeds_up & house_collapses & semaphore_is_yellow);['escalator_speeds_up', 'house_collapses', 'semaphore_is_yellow']
under no condition the elevator rises and together the bar is down and a manager handles requests;G!(bar_is_down & elevator_rises & manager_handles_requests);['elevator_rises', 'bar_is_down', 'manager_handles_requests']
at no time the escalator is blocked and, at the same time, a train stops and the constructor instantiate objects;G!(constructor_instantiate_objects & escalator_is_blocked & train_stops);['constructor_instantiate_objects', 'escalator_is_blocked', 'train_stops']
it is never the case that a train stops, the manager handles requests and the escalator speeds up;G!(escalator_speeds_up & manager_handles_requests & train_stops);['escalator_speeds_up', 'manager_handles_requests', 'train_stops']
never, the bar is up, an elevator is open and the escalator moves;G!(bar_is_up & elevator_is_open & escalator_moves);['bar_is_up', 'escalator_moves', 'elevator_is_open']
at no time the manager collect claims, the bar is up and the motorbike falls down;G!(bar_is_up & manager_collect_claims & motorbike_falls_down);['bar_is_up', 'motorbike_falls_down', 'manager_collect_claims']
absolutely never, the bar is up, an elevator is open and the engine starts;G!(bar_is_up & elevator_is_open & engine_starts);['bar_is_up', 'engine_starts', 'elevator_is_open']
under no circumstances a semaphore is red and, at the same time, a car stops and the engine breaks;G!(car_stops & engine_breaks & semaphore_is_red);['semaphore_is_red', 'car_stops', 'engine_breaks']
never, both the train stops and a motorbike has started;G!(motorbike_has_started & train_stops);['motorbike_has_started', 'train_stops']
it will not happen that both the manager collect claims and a motorbike is driven;G!(manager_collect_claims & motorbike_is_driven);['manager_collect_claims', 'motorbike_is_driven']
it will not happen that the escalator is blocked and a motorbike has stopped;G!(escalator_is_blocked & motorbike_has_stopped);['motorbike_has_stopped', 'escalator_is_blocked']
it will not happen that a house is built and an elevator is open;G!(elevator_is_open & house_is_built);['house_is_built', 'elevator_is_open']
under no condition both a train stops and a car stops;G!(car_stops & train_stops);['car_stops', 'train_stops']
under no condition the bridge closes and the elevator falls;G!(bridge_closes & elevator_falls);['elevator_falls', 'bridge_closes']
never, the elevator rises and a motorbike has stopped;G!(elevator_rises & motorbike_has_stopped);['elevator_rises', 'motorbike_has_stopped']
absolutely never, the semaphore is yellow and the constructor instantiate objects;G!(constructor_instantiate_objects & semaphore_is_yellow);['constructor_instantiate_objects', 'semaphore_is_yellow']
never, both the semaphore is broken and a manager collect claims;G!(manager_collect_claims & semaphore_is_broken);['manager_collect_claims', 'semaphore_is_broken']
it never happens that a motorbike is driven and the elevator rises;G!(elevator_rises & motorbike_is_driven);['motorbike_is_driven', 'elevator_rises']
never, the house is built and the table is brown;G!(house_is_built & table_is_brown);['house_is_built', 'table_is_brown']
absolutely never, a train derails and the engine stops;G!(engine_stops & train_derails);['train_derails', 'engine_stops']
first, finally, both the elevator rises and the bar is closing, and then, in the future a manager collect claims and the sensor captures data;G!(bar_is_closing & elevator_rises) | F(bar_is_closing & elevator_rises & F(manager_collect_claims & sensor_captures_data));['bar_is_closing', 'manager_collect_claims', 'sensor_captures_data', 'elevator_rises']
sooner or later a house collapses and the house is open and, at a certain moment a table is brown and the bar is down afterwards;G!(house_collapses & house_is_open) | F(house_collapses & house_is_open & F(bar_is_down & table_is_brown));['house_is_open', 'table_is_brown', 'house_collapses', 'bar_is_down']
first, at some point both a table has been moved and the engine stops, and then, it is going to happen that the table is brown and a train stops;G!(engine_stops & table_has_been_moved) | F(engine_stops & table_has_been_moved & F(table_is_brown & train_stops));['table_has_been_moved', 'table_is_brown', 'train_stops', 'engine_stops']
at a certain moment the train has arrived and the bar is down and, at some point the table has been moved and the engine stops afterwards;G!(bar_is_down & train_has_arrived) | F(bar_is_down & train_has_arrived & F(engine_stops & table_has_been_moved));['table_has_been_moved', 'bar_is_down', 'engine_stops', 'train_has_arrived']
it is going to happen that both the elevator rises and the bar is closing and, sooner or later both an elevator is open and the train is crossing afterwards;G!(bar_is_closing & elevator_rises) | F(bar_is_closing & elevator_rises & F(elevator_is_open & train_is_crossing));['train_is_crossing', 'bar_is_closing', 'elevator_rises', 'elevator_is_open']
first, sooner or later both the constructor creates instances and the train has been launched, and then, at some point in time both an elevator rises and the bar is closing;G!(constructor_creates_instances & train_has_been_launched) | F(constructor_creates_instances & train_has_been_launched & F(bar_is_closing & elevator_rises));['bar_is_closing', 'constructor_creates_instances', 'train_has_been_launched', 'elevator_rises']
first, at a certain moment both the escalator moves and a car starts, and then, at some point both the motorbike catches fire and the car enters;G!(car_starts & escalator_moves) | F(car_starts & escalator_moves & F(car_enters & motorbike_catches_fire));['car_starts', 'car_enters', 'motorbike_catches_fire', 'escalator_moves']
at some point in time the house is open and the bar is up and, at some point a table has been moved and a motorbike is driven afterwards;G!(bar_is_up & house_is_open) | F(bar_is_up & house_is_open & F(motorbike_is_driven & table_has_been_moved));['house_is_open', 'bar_is_up', 'table_has_been_moved', 'motorbike_is_driven']
at some point both a motorbike has started and the semaphore is yellow and, it will happen that both the train has arrived and the bar is down afterwards;G!(motorbike_has_started & semaphore_is_yellow) | F(motorbike_has_started & semaphore_is_yellow & F(bar_is_down & train_has_arrived));['semaphore_is_yellow', 'bar_is_down', 'motorbike_has_started', 'train_has_arrived']
first, eventually, the train has arrived and the manager handles requests, and then, at some point both the train stops and the brake is pressed;G!(manager_handles_requests & train_has_arrived) | F(manager_handles_requests & train_has_arrived & F(brake_is_pressed & train_stops));['brake_is_pressed', 'manager_handles_requests', 'train_stops', 'train_has_arrived']
finally, both a train stops and the brake is pressed and, in the future both a car enters and the engine stops afterwards;G!(brake_is_pressed & train_stops) | F(brake_is_pressed & train_stops & F(car_enters & engine_stops));['brake_is_pressed', 'car_enters', 'train_stops', 'engine_stops']
sooner or later a train stops and the brake is pressed and, at some point in time both a train derails and a train is crossing afterwards;G!(brake_is_pressed & train_stops) | F(brake_is_pressed & train_stops & F(train_derails & train_is_crossing));['brake_is_pressed', 'train_is_crossing', 'train_derails', 'train_stops']
at some point in time both a constructor instantiate objects and the elevator rises and, it is going to happen that either an elevator falls or the brake is pressed afterwards;G!(constructor_instantiate_objects & elevator_rises) | F(constructor_instantiate_objects & elevator_rises & F(brake_is_pressed | elevator_falls));['brake_is_pressed', 'constructor_instantiate_objects', 'elevator_falls', 'elevator_rises']
first, eventually, both the engine stops and the car stops, and then, sooner or later either a sensor retrieves data or a train has been launched;G!(car_stops & engine_stops) | F(car_stops & engine_stops & F(sensor_retrieves_data | train_has_been_launched));['car_stops', 'train_has_been_launched', 'sensor_retrieves_data', 'engine_stops']
first, at some point both a motorbike catches fire and the semaphore is red, and then, at some point in time either a train has arrived or the escalator moves;G!(motorbike_catches_fire & semaphore_is_red) | F(motorbike_catches_fire & semaphore_is_red & F(escalator_moves | train_has_arrived));['semaphore_is_red', 'motorbike_catches_fire', 'escalator_moves', 'train_has_arrived']
first, in the future both the engine starts and the constructor creates instances, and then, finally, the elevator is blocked or the house is open;G!(constructor_creates_instances & engine_starts) | F(constructor_creates_instances & engine_starts & F(elevator_is_blocked | house_is_open));['house_is_open', 'constructor_creates_instances', 'engine_starts', 'elevator_is_blocked']
in the future the train has arrived and the bridge closes and, sooner or later either the constructor creates instances or the table is old afterwards;G!(bridge_closes & train_has_arrived) | F(bridge_closes & train_has_arrived & F(constructor_creates_instances | table_is_old));['constructor_creates_instances', 'table_is_old', 'bridge_closes', 'train_has_arrived']
sooner or later both the train stops and the brake is pressed and, it will happen that a table is old or the bar has to be repaired afterwards;G!(brake_is_pressed & train_stops) | F(brake_is_pressed & train_stops & F(bar_has_to_be_repaired | table_is_old));['brake_is_pressed', 'table_is_old', 'bar_has_to_be_repaired', 'train_stops']
first, at some point in time both the engine starts and the constructor creates instances, and then, it is going to happen that the engine stops or the constructor instantiate objects;G!(constructor_creates_instances & engine_starts) | F(constructor_creates_instances & engine_starts & F(constructor_instantiate_objects | engine_stops));['constructor_instantiate_objects', 'constructor_creates_instances', 'engine_starts', 'engine_stops']
at some point in time both a train stops and an elevator is blocked and, in the future either the elevator falls or the brake is pressed afterwards;G!(elevator_is_blocked & train_stops) | F(elevator_is_blocked & train_stops & F(brake_is_pressed | elevator_falls));['brake_is_pressed', 'elevator_falls', 'elevator_is_blocked', 'train_stops']
first, at a certain moment both an elevator is open and a train is crossing, and then, it is going to happen that either a train has arrived or the escalator is blocked;G!(elevator_is_open & train_is_crossing) | F(elevator_is_open & train_is_crossing & F(escalator_is_blocked | train_has_arrived));['train_is_crossing', 'elevator_is_open', 'escalator_is_blocked', 'train_has_arrived']
it will happen that the elevator falls and a manager collect claims and, it is going to happen that either the table is brown or a motorbike has started afterwards;G!(elevator_falls & manager_collect_claims) | F(elevator_falls & manager_collect_claims & F(motorbike_has_started | table_is_brown));['table_is_brown', 'manager_collect_claims', 'elevator_falls', 'motorbike_has_started']
first, at some point in time the elevator is blocked and the train derails, and then, it will happen that a motorbike has stopped or a motorbike has started;G!(elevator_is_blocked & train_derails) | F(elevator_is_blocked & train_derails & F(motorbike_has_started | motorbike_has_stopped));['train_derails', 'motorbike_has_stopped', 'elevator_is_blocked', 'motorbike_has_started']
sooner or later the motorbike catches fire and the car enters and, at some point in time either the engine starts or an elevator is open afterwards;G!(car_enters & motorbike_catches_fire) | F(car_enters & motorbike_catches_fire & F(elevator_is_open | engine_starts));['car_enters', 'motorbike_catches_fire', 'engine_starts', 'elevator_is_open']
first, eventually, both a table is old and the bar has to be repaired, and then, sooner or later a bridge closes;G!(bar_has_to_be_repaired & table_is_old) | F(bar_has_to_be_repaired & table_is_old & Fbridge_closes);['table_is_old', 'bar_has_to_be_repaired', 'bridge_closes']
first, at a certain moment both a constructor instantiate objects and the elevator rises, and then, it is going to happen that the sensor gathers information;G!(constructor_instantiate_objects & elevator_rises) | F(constructor_instantiate_objects & elevator_rises & Fsensor_gathers_information);['constructor_instantiate_objects', 'elevator_rises', 'sensor_gathers_information']
first, it will happen that both the elevator falls and a manager collect claims, and then, at a certain moment the bridge closes;G!(elevator_falls & manager_collect_claims) | F(elevator_falls & manager_collect_claims & Fbridge_closes);['manager_collect_claims', 'elevator_falls', 'bridge_closes']
first, at a certain moment both the brake is pressed and the motorbike has stopped, and then, it will happen that a train has arrived;G!(brake_is_pressed & motorbike_has_stopped) | F(brake_is_pressed & motorbike_has_stopped & Ftrain_has_arrived);['brake_is_pressed', 'motorbike_has_stopped', 'train_has_arrived']
first, it will happen that both the table is brown and the escalator moves, and then, at some point a bridge closes;G!(escalator_moves & table_is_brown) | F(escalator_moves & table_is_brown & Fbridge_closes);['table_is_brown', 'escalator_moves', 'bridge_closes']
eventually, the escalator moves and a train stops and, at some point in time the train has arrived afterwards;G!(escalator_moves & train_stops) | F(escalator_moves & train_stops & Ftrain_has_arrived);['escalator_moves', 'train_stops', 'train_has_arrived']
eventually, both the bar is closing and an elevator is blocked and, at a certain moment a sensor gathers information afterwards;G!(bar_is_closing & elevator_is_blocked) | F(bar_is_closing & elevator_is_blocked & Fsensor_gathers_information);['bar_is_closing', 'sensor_gathers_information', 'elevator_is_blocked']
finally, both the semaphore is yellow and a bridge closes and, it will happen that a sensor gathers information afterwards;G!(bridge_closes & semaphore_is_yellow) | F(bridge_closes & semaphore_is_yellow & Fsensor_gathers_information);['semaphore_is_yellow', 'bridge_closes', 'sensor_gathers_information']
at some point both the escalator speeds up and a bridge opens and, in the future a bridge closes afterwards;G!(bridge_opens & escalator_speeds_up) | F(bridge_opens & escalator_speeds_up & Fbridge_closes);['escalator_speeds_up', 'bridge_opens', 'bridge_closes']
first, in the future both a table is old and the bar has to be repaired, and then, at some point in time the sensor gathers information;G!(bar_has_to_be_repaired & table_is_old) | F(bar_has_to_be_repaired & table_is_old & Fsensor_gathers_information);['table_is_old', 'bar_has_to_be_repaired', 'sensor_gathers_information']
first, at a certain moment both a car starts and the bar is down, and then, it will happen that the bridge closes;G!(bar_is_down & car_starts) | F(bar_is_down & car_starts & Fbridge_closes);['car_starts', 'bridge_closes', 'bar_is_down']
first, in the future both the engine starts and a constructor creates instances, and then, finally, the bridge closes;G!(constructor_creates_instances & engine_starts) | F(constructor_creates_instances & engine_starts & Fbridge_closes);['constructor_creates_instances', 'engine_starts', 'bridge_closes']
it never happens that an elevator rises or the escalator speeds up or a manager collect claims;G!(elevator_rises | escalator_speeds_up | manager_collect_claims);['escalator_speeds_up', 'manager_collect_claims', 'elevator_rises']
it will not happen that the elevator rises or the engine stops or the bridge closes;G!(bridge_closes | elevator_rises | engine_stops);['elevator_rises', 'bridge_closes', 'engine_stops']
absolutely never, either a house is open, the semaphore is green or a motorbike has started;G!(house_is_open | motorbike_has_started | semaphore_is_green);['house_is_open', 'semaphore_is_green', 'motorbike_has_started']
it never happens that either the table has been moved, the motorbike catches fire or a semaphore is yellow;G!(motorbike_catches_fire | semaphore_is_yellow | table_has_been_moved);['table_has_been_moved', 'semaphore_is_yellow', 'motorbike_catches_fire']
it should not happen that either the motorbike falls down, the motorbike has started or an elevator rises;G!(elevator_rises | motorbike_falls_down | motorbike_has_started);['motorbike_falls_down', 'elevator_rises', 'motorbike_has_started']
at no time the house is built or an elevator rises or the engine stops;G!(elevator_rises | engine_stops | house_is_built);['house_is_built', 'elevator_rises', 'engine_stops']
never, either the motorbike falls down, the table is brown or the escalator moves;G!(escalator_moves | motorbike_falls_down | table_is_brown);['motorbike_falls_down', 'table_is_brown', 'escalator_moves']
it should not happen that either the brake is released, the car enters or the table has been moved;G!(brake_is_released | car_enters | table_has_been_moved);['table_has_been_moved', 'car_enters', 'brake_is_released']
it never happens that either the motorbike is driven, the bar is down or the motorbike falls down;G!(bar_is_down | motorbike_falls_down | motorbike_is_driven);['motorbike_falls_down', 'motorbike_is_driven', 'bar_is_down']
it will not happen that either a constructor creates instances, the motorbike has stopped or the motorbike catches fire;G!(constructor_creates_instances | motorbike_catches_fire | motorbike_has_stopped);['constructor_creates_instances', 'motorbike_catches_fire', 'motorbike_has_stopped']
at no time a car enters or the constructor creates instances or the house is open;G!(car_enters | constructor_creates_instances | house_is_open);['house_is_open', 'constructor_creates_instances', 'car_enters']
it never happens that either the motorbike falls down, the bar is up or a house collapses;G!(bar_is_up | house_collapses | motorbike_falls_down);['bar_is_up', 'motorbike_falls_down', 'house_collapses']
absolutely never, a sensor retrieves data or the engine breaks;G!(engine_breaks | sensor_retrieves_data);['sensor_retrieves_data', 'engine_breaks']
it will not happen that either the motorbike has started or the brake is pressed;G!(brake_is_pressed | motorbike_has_started);['brake_is_pressed', 'motorbike_has_started']
it is never the case that either the engine starts or the escalator is blocked;G!(engine_starts | escalator_is_blocked);['engine_starts', 'escalator_is_blocked']
absolutely never, the motorbike falls down or a house collapses;G!(house_collapses | motorbike_falls_down);['motorbike_falls_down', 'house_collapses']
absolutely never, the engine stops or the semaphore is yellow;G!(engine_stops | semaphore_is_yellow);['semaphore_is_yellow', 'engine_stops']
it should not happen that a house collapses or an elevator falls;G!(elevator_falls | house_collapses);['house_collapses', 'elevator_falls']
it will not happen that either the escalator speeds up or a train derails;G!(escalator_speeds_up | train_derails);['escalator_speeds_up', 'train_derails']
under no circumstances the train derails or the bar has to be repaired;G!(bar_has_to_be_repaired | train_derails);['train_derails', 'bar_has_to_be_repaired']
at no time either a train stops or the manager handles requests;G!(manager_handles_requests | train_stops);['manager_handles_requests', 'train_stops']
under no condition the motorbike is driven or a bridge closes;G!(bridge_closes | motorbike_is_driven);['motorbike_is_driven', 'bridge_closes']
it never happens that the brake is pressed or a house is built;G!(brake_is_pressed | house_is_built);['brake_is_pressed', 'house_is_built']
it will not happen that the motorbike has started or the bar is down;G!(bar_is_down | motorbike_has_started);['bar_is_down', 'motorbike_has_started']
in the future either a bridge opens or the bar is up and, finally, a semaphore is yellow and a bridge closes afterwards;G!(bar_is_up | bridge_opens) | F((bar_is_up | bridge_opens) & F(bridge_closes & semaphore_is_yellow));['bar_is_up', 'semaphore_is_yellow', 'bridge_opens', 'bridge_closes']
first, in the future either the car enters or the motorbike is driven, and then, it will happen that a motorbike catches fire and the engine starts;G!(car_enters | motorbike_is_driven) | F((car_enters | motorbike_is_driven) & F(engine_starts & motorbike_catches_fire));['motorbike_is_driven', 'car_enters', 'motorbike_catches_fire', 'engine_starts']
it is going to happen that either the house is open or a motorbike is driven and, it is going to happen that both the train has arrived and the brake is pressed afterwards;G!(house_is_open | motorbike_is_driven) | F((house_is_open | motorbike_is_driven) & F(brake_is_pressed & train_has_arrived));['brake_is_pressed', 'house_is_open', 'motorbike_is_driven', 'train_has_arrived']
sooner or later either the constructor creates instances or an elevator is blocked and, sooner or later a table has been moved and a motorbike is driven afterwards;G!(constructor_creates_instances | elevator_is_blocked) | F((constructor_creates_instances | elevator_is_blocked) & F(motorbike_is_driven & table_has_been_moved));['table_has_been_moved', 'motorbike_is_driven', 'constructor_creates_instances', 'elevator_is_blocked']
first, sooner or later either a car enters or a motorbike has started, and then, at some point a train is crossing and a house collapses;G!(car_enters | motorbike_has_started) | F((car_enters | motorbike_has_started) & F(house_collapses & train_is_crossing));['train_is_crossing', 'car_enters', 'house_collapses', 'motorbike_has_started']
first, eventually, either the bar is up or an elevator is open, and then, at some point the train has arrived and the brake is pressed;G!(bar_is_up | elevator_is_open) | F((bar_is_up | elevator_is_open) & F(brake_is_pressed & train_has_arrived));['brake_is_pressed', 'bar_is_up', 'elevator_is_open', 'train_has_arrived']
first, at some point in time either the escalator is blocked or a table is old, and then, it will happen that an elevator falls and the manager collect claims;G!(escalator_is_blocked | table_is_old) | F((escalator_is_blocked | table_is_old) & F(elevator_falls & manager_collect_claims));['manager_collect_claims', 'table_is_old', 'elevator_falls', 'escalator_is_blocked']
it is going to happen that either the elevator falls or the bar is up and, it is going to happen that the bar has to be repaired and the sensor retrieves data afterwards;G!(bar_is_up | elevator_falls) | F((bar_is_up | elevator_falls) & F(bar_has_to_be_repaired & sensor_retrieves_data));['bar_is_up', 'bar_has_to_be_repaired', 'elevator_falls', 'sensor_retrieves_data']
sooner or later the elevator falls or the brake is pressed and, sooner or later the train derails and the manager handles requests afterwards;G!(brake_is_pressed | elevator_falls) | F((brake_is_pressed | elevator_falls) & F(manager_handles_requests & train_derails));['brake_is_pressed', 'train_derails', 'elevator_falls', 'manager_handles_requests']
sooner or later either a train has arrived or the escalator moves and, in the future the escalator moves and a car starts afterwards;G!(escalator_moves | train_has_arrived) | F((escalator_moves | train_has_arrived) & F(car_starts & escalator_moves));['car_starts', 'escalator_moves', 'train_has_arrived']
in the future an elevator is open or the train derails and, it will happen that both the table is old and the bar has to be repaired afterwards;G!(elevator_is_open | train_derails) | F((elevator_is_open | train_derails) & F(bar_has_to_be_repaired & table_is_old));['train_derails', 'table_is_old', 'bar_has_to_be_repaired', 'elevator_is_open']
at some point the train is crossing or the manager collect claims and, at a certain moment both the elevator falls and the manager collect claims afterwards;G!(manager_collect_claims | train_is_crossing) | F((manager_collect_claims | train_is_crossing) & F(elevator_falls & manager_collect_claims));['train_is_crossing', 'manager_collect_claims', 'elevator_falls']
first, at a certain moment either the elevator falls or the engine breaks, and then, in the future a train derails or a house collapses;G!(elevator_falls | engine_breaks) | F((elevator_falls | engine_breaks) & F(house_collapses | train_derails));['train_derails', 'house_collapses', 'elevator_falls', 'engine_breaks']
it will happen that either the engine breaks or the car enters and, it will happen that either the escalator speeds up or the house collapses afterwards;G!(car_enters | engine_breaks) | F((car_enters | engine_breaks) & F(escalator_speeds_up | house_collapses));['escalator_speeds_up', 'car_enters', 'house_collapses', 'engine_breaks']
in the future the escalator moves or the brake is pressed and, finally, the car enters or the motorbike falls down afterwards;G!(brake_is_pressed | escalator_moves) | F((brake_is_pressed | escalator_moves) & F(car_enters | motorbike_falls_down));['brake_is_pressed', 'motorbike_falls_down', 'car_enters', 'escalator_moves']
