NL;LTL;APs;lifted_lifted;source
Do not enter intersection 1 until you reach street 6 as you take cone 3 from street 2 and put it in intersection 1;(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd)));['pd', 'street_6', 'street_2', 'intersection_1', 'p_cone_3'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Do not approach building 3 until you reach street 6 as you bring box 8 from store 3 to house 2;(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd)));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Avoid going to building 3 until you reach street 6, and then transport box 8 from store 3 to house 2;(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd)));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Avoid office 4 until pick up pass 6, then you need to pick it up at house 5 and deliver it to office 4;(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd)));['pd', 'office_4', 'house_5', 'p_pass_6'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Refrain from entering store 4 until you arrive at street 6, while delivering package 8 from office 2 to store 4;(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4)));['pd', 'street_6', 'p_package_8', 'store_4', 'office_2'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Do not go to building 3 until you reach street 6 as you take box 8 from store 3 to house 2;(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd)));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay away from intersection 1 until you get to street 6, and afterward, deliver cone 3 from street 2 to intersection 1;(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd)));['pd', 'street_6', 'street_2', 'intersection_1', 'p_cone_3'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Refrain from entering park 4 until you arrive at street 3, and then take takeout 2 from store 7 to bench 3;(!park_4 U street_3) & F(store_7 & F(p_takeout_2 & F(bench_3 & pd)));['pd', 'street_3', 'park_4', 'store_7', 'p_takeout_2', 'bench_3'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Do not visit parking lot 4 before reaching street 5, and after that, proceed to enter and remain there;(!parking_lot_4 U street_5) & F(parking_lot_4 & Gparking_lot_4);['street_5', 'parking_lot_4'];(!prop U prop) & F(prop & Gprop);ConformalNL2LTL
Refrain from going to parking lot 4 until you arrive at street 5, and then ensure you enter and stay in parking lot 4;(!parking_lot_4 U street_5) & F(parking_lot_4 & Gparking_lot_4);['street_5', 'parking_lot_4'];(!prop U prop) & F(prop & Gprop);ConformalNL2LTL
Do not enter parking lot 4 until you reach street 5 as you enter and stay in parking lot 4;(!parking_lot_4 U street_5) & F(parking_lot_4 & Gparking_lot_4);['street_5', 'parking_lot_4'];(!prop U prop) & F(prop & Gprop);ConformalNL2LTL
Stay away from parking lot 4 until you reach street 5, after which you must enter and stay in parking lot 4 continuously;(!parking_lot_4 U street_5) & F(parking_lot_4 & Gparking_lot_4);['street_5', 'parking_lot_4'];(!prop U prop) & F(prop & Gprop);ConformalNL2LTL
Avoid entering parking lot 4 until you reach street 5 and then enter and remain in parking lot 4;(!parking_lot_4 U street_5) & F(parking_lot_4 & Gparking_lot_4);['street_5', 'parking_lot_4'];(!prop U prop) & F(prop & Gprop);ConformalNL2LTL
Avoid entering street 4 until you reach intersection 2 while going to house 13 to pick up trash 13;(!street_4 U intersection_2) & F(house_13 & p_trash_13);['street_4', 'intersection_2', 'house_13', 'p_trash_13'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Refrain from entering landmark 5 until you reach park 5, and then ensure you take a picture of landmark 5 at some point;(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Do not go to landmark 5 before reaching park 5, and ensure you eventually take a picture of landmark 5;(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Ensure you avoid street 4 until intersection 2 is reached while picking up trash 13 at house 13;(!street_4 U intersection_2) & F(house_13 & p_trash_13);['street_4', 'intersection_2', 'house_13', 'p_trash_13'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Do not go to street 4 before reaching intersection 2, as you proceed to house 13 and collect trash 13;(!street_4 U intersection_2) & F(house_13 & p_trash_13);['street_4', 'intersection_2', 'house_13', 'p_trash_13'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Stay out of garage 1 until you take a picture as part of photographing landmark 5;(!garage_1 U photo) & F(landmark_5 & photo);['photo', 'garage_1', 'landmark_5'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Avoid entering street 5 until you reach store 1, and ensure that you eventually go to store 1 and pick up package 4;(!street_5 U store_1) & F(p_package_4 & store_1);['p_package_4', 'street_5', 'store_1'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Do not take any pictures before reaching park 5, and ensure you eventually take a picture of landmark 4;(!photo U park_5) & F(landmark_4 & photo);['photo', 'park_5', 'landmark_4'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Avoid landmark 5 until you reach park 5, and eventually take a picture of landmark 5.;(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Avoid taking a photo until you reach park 5, and ensure that you eventually go to landmark 4 and take a picture there;(!photo U park_5) & F(landmark_4 & photo);['photo', 'park_5', 'landmark_4'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Avoid garage 1 until you have taken a picture alongside taking a picture of landmark 5;(!garage_1 U photo) & F(landmark_5 & photo);['photo', 'garage_1', 'landmark_5'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Ensure you stay away from street 5 until you get to store 1 to deliver package 4;(!street_5 U store_1) & F(p_package_4 & store_1);['p_package_4', 'street_5', 'store_1'];(!prop U prop) & F(prop & prop);ConformalNL2LTL
Stay away from street 4 until you arrive at intersection 6 and then proceed to and remain in street 4;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];(!prop U prop) & FGprop;ConformalNL2LTL
Avoid going to street 4 until you reach intersection 6, after which you must go to and remain in street 4;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];(!prop U prop) & FGprop;ConformalNL2LTL
Do not enter street 4 before reaching intersection 6 and then stay in street 4 continuously;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];(!prop U prop) & FGprop;ConformalNL2LTL
Do not go to street 4 until you reach intersection 6 as you go to and stay in street 4;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];(!prop U prop) & FGprop;ConformalNL2LTL
Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3;(!building_3 U garage_3) & FGbuilding_3;['building_3', 'garage_3'];(!prop U prop) & FGprop;ConformalNL2LTL
Refrain from visiting street 4 until you have reached intersection 6, after which you must transition to and stay in street 4;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];(!prop U prop) & FGprop;ConformalNL2LTL
Avoid going to intersection 8 until you reach street 3, and then proceed to locality 5;(!intersection_8 U street_3) & Flocality_5;['intersection_8', 'street_3', 'locality_5'];(!prop U prop) & Fprop;ConformalNL2LTL
Do not go to intersection 8 until you reach street 3 as you go to locality 5;(!intersection_8 U street_3) & Flocality_5;['intersection_8', 'street_3', 'locality_5'];(!prop U prop) & Fprop;ConformalNL2LTL
Do not enter intersection 8 before arriving at street 3, while ensuring you eventually go to locality 5;(!intersection_8 U street_3) & Flocality_5;['intersection_8', 'street_3', 'locality_5'];(!prop U prop) & Fprop;ConformalNL2LTL
Stay away from intersection 8 until street 3 is reached, and ensure you go to locality 5 afterward;(!intersection_8 U street_3) & Flocality_5;['intersection_8', 'street_3', 'locality_5'];(!prop U prop) & Fprop;ConformalNL2LTL
Refrain from visiting intersection 8 until you reach street 3 and then make your way to locality 5;(!intersection_8 U street_3) & Flocality_5;['intersection_8', 'street_3', 'locality_5'];(!prop U prop) & Fprop;ConformalNL2LTL
Remain in locality 1 until you arrive intersection 4 as you take package 5 from warehouse 9 to store 2;(locality_1 U intersection_4) & F(warehouse_9 & F(p_package_5 & F(pd & store_2)));['pd', 'p_package_5', 'store_2', 'intersection_4', 'locality_1', 'warehouse_9'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay in locality 1 until you reach intersection 4 as you take package 5 from warehouse 9 to store 2;(locality_1 U intersection_4) & F(warehouse_9 & F(p_package_5 & F(pd & store_2)));['pd', 'p_package_5', 'store_2', 'intersection_4', 'locality_1', 'warehouse_9'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay in park 5 until you reach bench 4, and ensure you eventually go to store 2 and pick up bottle 5 and deliver it to bench 4;(park_5 U bench_4) & F(store_2 & F(p_bottle_5 & F(bench_4 & pd)));['pd', 'park_5', 'store_2', 'bench_4', 'p_bottle_5'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay in park 5 until you reach bench 4 and ensure you eventually go to store 2 and  pick up bottle 5 and deliver it to bench 4;(park_5 U bench_4) & F(store_2 & F(p_bottle_5 & F(bench_4 & pd)));['pd', 'park_5', 'store_2', 'bench_4', 'p_bottle_5'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay within locality 1 until you arrive at intersection 4, after which deliver package 5 from warehouse 9 to store 2;(locality_1 U intersection_4) & F(warehouse_9 & F(p_package_5 & F(pd & store_2)));['pd', 'p_package_5', 'store_2', 'intersection_4', 'locality_1', 'warehouse_9'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Remain in park 5 until you reach bench 4, and ensure you take bottle 5 from store 2 and deliver it to bench 4;(park_5 U bench_4) & F(store_2 & F(p_bottle_5 & F(bench_4 & pd)));['pd', 'park_5', 'store_2', 'bench_4', 'p_bottle_5'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Do not leave locality 1 before reaching intersection 4, and then ensure package 5 is delivered from warehouse 9 to store 2;(locality_1 U intersection_4) & F(warehouse_9 & F(p_package_5 & F(pd & store_2)));['pd', 'p_package_5', 'store_2', 'intersection_4', 'locality_1', 'warehouse_9'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay within locality 1 until you arrive at intersection 4, after which take package 5 from warehouse 9 to store 2;(locality_1 U intersection_4) & F(warehouse_9 & F(p_package_5 & F(pd & store_2)));['pd', 'p_package_5', 'store_2', 'intersection_4', 'locality_1', 'warehouse_9'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay in park 5 until you arrive at bench 4 while transporting bottle 5 from store 2 to bench 4;(park_5 U bench_4) & F(store_2 & F(p_bottle_5 & F(bench_4 & pd)));['pd', 'park_5', 'store_2', 'bench_4', 'p_bottle_5'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay in park 5 until you reach bench 4 as you take bottle 5 from store 2 and deliver it to bench 4;(park_5 U bench_4) & F(store_2 & F(p_bottle_5 & F(bench_4 & pd)));['pd', 'park_5', 'store_2', 'bench_4', 'p_bottle_5'];(prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Eventually (go to office 3, pick up document 1, and then go to street 2 and remain there permanently);F(office_3 & F(p_document_1 & F(street_2 & Gstreet_2)));['office_3', 'street_2', 'p_document_1'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Go to office 3 to pick up document 1 and move to street 2 to remain there indefinitely;F(office_3 & F(p_document_1 & F(street_2 & Gstreet_2)));['office_3', 'street_2', 'p_document_1'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Eventually collect stack 4 from house 4 and go to street 2 and stay there;F(house_4 & F(p_stack_4 & F(street_2 & Gstreet_2)));['house_4', 'street_2', 'p_stack_4'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Take bottle 2 from kitchen 1 and go to hall 2, ensuring you stay there forever;F(kitchen_1 & F(p_bottle_2 & F(hall_2 & Ghall_2)));['kitchen_1', 'p_bottle_2', 'hall_2'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Pick up brochure 9 from table 2 and go to park 4 and stay there;F(table_2 & F(p_brochure_9 & F(park_4 & Gpark_4)));['table_2', 'park_4', 'p_brochure_9'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Pick up stack 4 from house 4, proceed to street 2, and remain there;F(house_4 & F(p_stack_4 & F(street_2 & Gstreet_2)));['house_4', 'street_2', 'p_stack_4'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Grab brochure 9 from table 2 and go to park 4 and stay there;F(table_2 & F(p_brochure_9 & F(park_4 & Gpark_4)));['table_2', 'park_4', 'p_brochure_9'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Pick up document 1 from office 3 and take it to street 2 and stay there;F(office_3 & F(p_document_1 & F(street_2 & Gstreet_2)));['office_3', 'street_2', 'p_document_1'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Retrieve stack 4 from house 4, travel to street 2, and continuously remain there;F(house_4 & F(p_stack_4 & F(street_2 & Gstreet_2)));['house_4', 'street_2', 'p_stack_4'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Retrieve bottle 2 from kitchen 1 and move to hall 2, staying there indefintely;F(kitchen_1 & F(p_bottle_2 & F(hall_2 & Ghall_2)));['kitchen_1', 'p_bottle_2', 'hall_2'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Take brochure 9 from table 2, head to park 4, and stay there indefinitely;F(table_2 & F(p_brochure_9 & F(park_4 & Gpark_4)));['table_2', 'park_4', 'p_brochure_9'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Ensure you collect brochure 9 from table 2, travel to park 4, and remain there continuously;F(table_2 & F(p_brochure_9 & F(park_4 & Gpark_4)));['table_2', 'park_4', 'p_brochure_9'];F(prop & F(prop & F(prop & Gprop)));ConformalNL2LTL
Retrieve package 2 at warehouse 3, bring it to house 1, and capture a photo at house 1;F(warehouse_3 & F(p_package_2 & F(house_1 & pd & photo)));['warehouse_3', 'pd', 'photo', 'house_1', 'p_package_2'];F(prop & F(prop & F(prop & prop & prop)));ConformalNL2LTL
Eventually go to warehouse 3 and pick up package 2 and then go to house 1 to deliver the package and take a picture there.;F(warehouse_3 & F(p_package_2 & F(house_1 & pd & photo)));['warehouse_3', 'pd', 'photo', 'house_1', 'p_package_2'];F(prop & F(prop & F(prop & prop & prop)));ConformalNL2LTL
Deliver package 2 from warehouse 3 to house 1 and take a picture at house 1;F(warehouse_3 & F(p_package_2 & F(house_1 & pd & photo)));['warehouse_3', 'pd', 'photo', 'house_1', 'p_package_2'];F(prop & F(prop & F(prop & prop & prop)));ConformalNL2LTL
Pick up package 2 from warehouse 3, deliver it to house 1, and take a picture at house 1;F(warehouse_3 & F(p_package_2 & F(house_1 & pd & photo)));['warehouse_3', 'pd', 'photo', 'house_1', 'p_package_2'];F(prop & F(prop & F(prop & prop & prop)));ConformalNL2LTL
Go to warehouse 3 to collect package 2, deliver it to house 1, and take a picture there;F(warehouse_3 & F(p_package_2 & F(house_1 & pd & photo)));['warehouse_3', 'pd', 'photo', 'house_1', 'p_package_2'];F(prop & F(prop & F(prop & prop & prop)));ConformalNL2LTL
Pick up box 5 from plant 8 and deliver it to store 6;F(plant_8 & F(p_box_5 & F(pd & store_6)));['pd', 'plant_8', 'p_box_5', 'store_6'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Retrieve box 8 at store 5 and transport it to house 1;F(store_5 & F(p_box_8 & F(house_1 & pd)));['pd', 'house_1', 'p_box_8', 'store_5'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Retrieve box 5 from plant 8 and subsequently transport it to store 6;F(plant_8 & F(p_box_5 & F(pd & store_6)));['pd', 'plant_8', 'p_box_5', 'store_6'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Go to store 1, grab bottle 3, and move it to hospital 2.;F(shop_1 & F(p_bottle_3 & F(hospital_2 & pd)));['pd', 'p_bottle_3', 'shop_1', 'hospital_2'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Pick up takeout 2 from restaurant 9 and deliver it to house 1;F(restaurant_9 & F(takeout_2 & F(house_1 & pd)));['pd', 'house_1', 'restaurant_9', 'takeout_2'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Collect takeout 2 from restaurant 9 and take it to house 1;F(restaurant_9 & F(takeout_2 & F(house_1 & pd)));['pd', 'house_1', 'restaurant_9', 'takeout_2'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Take box 5 to store 6 after picking it up from plant 8;F(plant_8 & F(p_box_5 & F(pd & store_6)));['pd', 'plant_8', 'p_box_5', 'store_6'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Locate cone 5 in intersection 5 and deliver it to street 2;F(intersection_5 & F(p_cone_5 & F(pd & street_2)));['pd', 'intersection_5', 'p_cone_5', 'street_2'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Go to parking lot 2 to pick up cone 5 and put it down in street 1;F(parking_lot_2 & F(p_cone_5 & F(pd & street_1)));['pd', 'p_cone_5', 'parking_lot_2', 'street_1'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Go to house 4 to collect package 2 and transport it to warehouse 5;F(house_4 & F(p_package_2 & F(pd & warehouse_5)));['pd', 'house_4', 'p_package_2', 'warehouse_5'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Get letter 3 from post office 1 and deliver it to house 2;F(post_office_1 & F(p_letter_3 & F(house_2 & pd)));['pd', 'house_2', 'post_office_1', 'p_letter_3'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Take letter 4 from office 5 to house 2;F(office_5 & F(p_letter_4 & F(house_2 & pd)));['pd', 'house_2', 'office_5', 'p_letter_4'];F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Pick up pass 2 from house 3 and deliver it to office 2, ensuring you do not enter street 5 before retrieving pass 2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];F(prop & F(prop & F(prop & prop))) & (!prop U prop);ConformalNL2LTL
Deliver pass 2 from house 3 to office 2 but do not enter street 5 until you pick up pass 2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];F(prop & F(prop & F(prop & prop))) & (!prop U prop);ConformalNL2LTL
Retrieve pass 2 from house 3 and deliver it to office 2 while avoiding street 5 until after picking up pass 2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];F(prop & F(prop & F(prop & prop))) & (!prop U prop);ConformalNL2LTL
Go to house 3, collect pass 2, and take it to office 2, making sure you do not go to street 5 before picking up pass 2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];F(prop & F(prop & F(prop & prop))) & (!prop U prop);ConformalNL2LTL
Eventually go to house 3, pick up pass 2, and deliver it to office 2, while ensuring you do not enter street 5 before picking up pass 2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];F(prop & F(prop & F(prop & prop))) & (!prop U prop);ConformalNL2LTL
Move box 1 from store 6 to house 9, and then go to intersection 5 and continue staying there;F(store_6 & F(p_box_1 & F(house_9 & pd))) & F(intersection_5 & Gintersection_5);['pd', 'store_6', 'house_9', 'intersection_5', 'p_box_1'];F(prop & F(prop & F(prop & prop))) & F(prop & Gprop);ConformalNL2LTL
Pick up box 1 from store 6, deliver it to house 9, and then head to intersection 5 and stay there;F(store_6 & F(p_box_1 & F(house_9 & pd))) & F(intersection_5 & Gintersection_5);['pd', 'store_6', 'house_9', 'intersection_5', 'p_box_1'];F(prop & F(prop & F(prop & prop))) & F(prop & Gprop);ConformalNL2LTL
Deliver box 1 from store 6 to house 9, then proceed to intersection 5 and remain there permanently;F(store_6 & F(p_box_1 & F(house_9 & pd))) & F(intersection_5 & Gintersection_5);['pd', 'store_6', 'house_9', 'intersection_5', 'p_box_1'];F(prop & F(prop & F(prop & prop))) & F(prop & Gprop);ConformalNL2LTL
