NL;LTL;APs;lifted_lifted;source
sooner or later both the train derails and a sensor retrieves data;F(sensor_retrieves_data & train_derails);['train_derails', 'sensor_retrieves_data'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is going to happen that the table is brown and a car enters;F(car_enters & table_is_brown);['table_is_brown', 'car_enters'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later both a motorbike catches fire and the car enters;F(car_enters & motorbike_catches_fire);['car_enters', 'motorbike_catches_fire'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is going to happen that the bar is down and a house is open;F(bar_is_down & house_is_open);['house_is_open', 'bar_is_down'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later a semaphore is red and a train has been launched;F(semaphore_is_red & train_has_been_launched);['semaphore_is_red', 'train_has_been_launched'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later a bridge closes or a constructor instantiate objects or the train is crossing;F(bridge_closes | constructor_instantiate_objects | train_is_crossing);['train_is_crossing', 'constructor_instantiate_objects', 'bridge_closes'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
in the future either the bridge closes, a motorbike falls down or a train is crossing;F(bridge_closes | motorbike_falls_down | train_is_crossing);['train_is_crossing', 'motorbike_falls_down', 'bridge_closes'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
in the future either the manager collect claims, the engine breaks or the brake is released;F(brake_is_released | engine_breaks | manager_collect_claims);['manager_collect_claims', 'brake_is_released', 'engine_breaks'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is going to happen that a sensor captures data or the engine starts or the manager collect claims;F(engine_starts | manager_collect_claims | sensor_captures_data);['manager_collect_claims', 'sensor_captures_data', 'engine_starts'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later either a bridge opens, the manager handles requests or the train has arrived;F(bridge_opens | manager_handles_requests | train_has_arrived);['bridge_opens', 'manager_handles_requests', 'train_has_arrived'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
finally, either an elevator is open, the semaphore is broken or the bar is closing;F(bar_is_closing | elevator_is_open | semaphore_is_broken);['bar_is_closing', 'semaphore_is_broken', 'elevator_is_open'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later either a train is crossing, a house collapses or a motorbike is driven;F(house_collapses | motorbike_is_driven | train_is_crossing);['train_is_crossing', 'motorbike_is_driven', 'house_collapses'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is going to happen that a train is crossing or the engine breaks or the escalator speeds up;F(engine_breaks | escalator_speeds_up | train_is_crossing);['train_is_crossing', 'escalator_speeds_up', 'engine_breaks'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
in the future either a semaphore is green, a semaphore is red or the bar is closing;F(bar_is_closing | semaphore_is_green | semaphore_is_red);['semaphore_is_red', 'bar_is_closing', 'semaphore_is_green'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is going to happen that a constructor creates instances or an elevator falls or a semaphore is yellow;F(constructor_creates_instances | elevator_falls | semaphore_is_yellow);['constructor_creates_instances', 'semaphore_is_yellow', 'elevator_falls'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later an elevator is blocked or the house is open or the brake is pressed;F(brake_is_pressed | elevator_is_blocked | house_is_open);['brake_is_pressed', 'house_is_open', 'elevator_is_blocked'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point the motorbike has stopped or the house collapses or the car enters;F(car_enters | house_collapses | motorbike_has_stopped);['car_enters', 'house_collapses', 'motorbike_has_stopped'];F(prop | prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that either the engine starts or the motorbike falls down;F(engine_starts | motorbike_falls_down);['motorbike_falls_down', 'engine_starts'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
finally, the escalator moves or the bar is closing;F(bar_is_closing | escalator_moves);['bar_is_closing', 'escalator_moves'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
eventually, the motorbike falls down or the escalator is blocked;F(escalator_is_blocked | motorbike_falls_down);['motorbike_falls_down', 'escalator_is_blocked'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that a train derails or a house is built;F(house_is_built | train_derails);['train_derails', 'house_is_built'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point the train has arrived or the brake is released;F(brake_is_released | train_has_arrived);['brake_is_released', 'train_has_arrived'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time the bar is down or the train has arrived;F(bar_is_down | train_has_arrived);['bar_is_down', 'train_has_arrived'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is going to happen that either the engine breaks or the sensor gathers information;F(engine_breaks | sensor_gathers_information);['sensor_gathers_information', 'engine_breaks'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at a certain moment the motorbike has stopped or an elevator is open;F(elevator_is_open | motorbike_has_stopped);['motorbike_has_stopped', 'elevator_is_open'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time an elevator is open or the bar is down;F(bar_is_down | elevator_is_open);['bar_is_down', 'elevator_is_open'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
finally, the car stops or the escalator moves;F(car_stops | escalator_moves);['car_stops', 'escalator_moves'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
in the future the engine starts or the train stops;F(engine_starts | train_stops);['engine_starts', 'train_stops'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that a train has been launched or the escalator is blocked;F(escalator_is_blocked | train_has_been_launched);['train_has_been_launched', 'escalator_is_blocked'];F(prop | prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at a certain moment the brake is pressed;Fbrake_is_pressed;['brake_is_pressed'];Fprop;NL-to-LTL-Synthetic-Datasetprocessed_data
in the future the train stops;Ftrain_stops;['train_stops'];Fprop;NL-to-LTL-Synthetic-Datasetprocessed_data
in the future the escalator speeds up;Fescalator_speeds_up;['escalator_speeds_up'];Fprop;NL-to-LTL-Synthetic-Datasetprocessed_data
finally, the escalator moves;Fescalator_moves;['escalator_moves'];Fprop;NL-to-LTL-Synthetic-Datasetprocessed_data
finally, a sensor retrieves data;Fsensor_retrieves_data;['sensor_retrieves_data'];Fprop;NL-to-LTL-Synthetic-Datasetprocessed_data
it will not happen that the motorbike is driven, the table is old and the elevator rises;G!(elevator_rises & motorbike_is_driven & table_is_old);['motorbike_is_driven', 'table_is_old', 'elevator_rises'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will not happen that the sensor captures data and, at the same time, a motorbike is driven and the house collapses;G!(house_collapses & motorbike_is_driven & sensor_captures_data);['motorbike_is_driven', 'sensor_captures_data', 'house_collapses'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is never the case that the brake is pressed and, at the same time, the bar is down and a constructor creates instances;G!(bar_is_down & brake_is_pressed & constructor_creates_instances);['brake_is_pressed', 'constructor_creates_instances', 'bar_is_down'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it never happens that the elevator falls and, at the same time, a semaphore is green and the train is crossing;G!(elevator_falls & semaphore_is_green & train_is_crossing);['train_is_crossing', 'elevator_falls', 'semaphore_is_green'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it should not happen that the escalator speeds up, a motorbike has stopped and an elevator is blocked;G!(elevator_is_blocked & escalator_speeds_up & motorbike_has_stopped);['escalator_speeds_up', 'motorbike_has_stopped', 'elevator_is_blocked'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
absolutely never, the bar is down, a bridge closes and the train has been launched;G!(bar_is_down & bridge_closes & train_has_been_launched);['train_has_been_launched', 'bridge_closes', 'bar_is_down'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is never the case that a semaphore is green, the motorbike falls down and the sensor gathers information;G!(motorbike_falls_down & semaphore_is_green & sensor_gathers_information);['motorbike_falls_down', 'sensor_gathers_information', 'semaphore_is_green'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
never, the motorbike has started and together the constructor instantiate objects and an elevator is open;G!(constructor_instantiate_objects & elevator_is_open & motorbike_has_started);['constructor_instantiate_objects', 'motorbike_has_started', 'elevator_is_open'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it never happens that a train is crossing and together a table is old and the engine breaks;G!(engine_breaks & table_is_old & train_is_crossing);['train_is_crossing', 'table_is_old', 'engine_breaks'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it should not happen that a sensor retrieves data and, at the same time, the elevator is open and a sensor gathers information;G!(elevator_is_open & sensor_gathers_information & sensor_retrieves_data);['sensor_retrieves_data', 'sensor_gathers_information', 'elevator_is_open'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it should not happen that a manager handles requests, the escalator is blocked and the bridge opens;G!(bridge_opens & escalator_is_blocked & manager_handles_requests);['bridge_opens', 'manager_handles_requests', 'escalator_is_blocked'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
under no circumstances the car stops, the semaphore is green and the motorbike is driven;G!(car_stops & motorbike_is_driven & semaphore_is_green);['motorbike_is_driven', 'car_stops', 'semaphore_is_green'];G!(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
absolutely never, a car stops and a semaphore is yellow;G!(car_stops & semaphore_is_yellow);['car_stops', 'semaphore_is_yellow'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will not happen that the bar has to be repaired and the motorbike has stopped;G!(bar_has_to_be_repaired & motorbike_has_stopped);['bar_has_to_be_repaired', 'motorbike_has_stopped'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
under no condition a train derails and the elevator rises;G!(elevator_rises & train_derails);['train_derails', 'elevator_rises'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will not happen that the elevator is open and a bridge opens;G!(bridge_opens & elevator_is_open);['bridge_opens', 'elevator_is_open'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
under no circumstances a semaphore is yellow and the bar is up;G!(bar_is_up & semaphore_is_yellow);['bar_is_up', 'semaphore_is_yellow'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it should not happen that a motorbike has stopped and the constructor instantiate objects;G!(constructor_instantiate_objects & motorbike_has_stopped);['constructor_instantiate_objects', 'motorbike_has_stopped'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
never, both the semaphore is broken and a manager collect claims;G!(manager_collect_claims & semaphore_is_broken);['manager_collect_claims', 'semaphore_is_broken'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
absolutely never, the sensor retrieves data and a house collapses;G!(house_collapses & sensor_retrieves_data);['house_collapses', 'sensor_retrieves_data'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it should not happen that a motorbike falls down and the bar is down;G!(bar_is_down & motorbike_falls_down);['motorbike_falls_down', 'bar_is_down'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it should not happen that a manager handles requests and the escalator is blocked;G!(escalator_is_blocked & manager_handles_requests);['manager_handles_requests', 'escalator_is_blocked'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
under no circumstances both a constructor creates instances and the escalator is blocked;G!(constructor_creates_instances & escalator_is_blocked);['constructor_creates_instances', 'escalator_is_blocked'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it is never the case that a motorbike falls down and the brake is released;G!(brake_is_released & motorbike_falls_down);['motorbike_falls_down', 'brake_is_released'];G!(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
first, at some point in time both the sensor gathers information and the motorbike catches fire, and then, eventually, the motorbike catches fire and a semaphore is red;G!(motorbike_catches_fire & sensor_gathers_information) | F(motorbike_catches_fire & sensor_gathers_information & F(motorbike_catches_fire & semaphore_is_red));['semaphore_is_red', 'motorbike_catches_fire', 'sensor_gathers_information'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that the train has been launched and the constructor creates instances and, it will happen that both a sensor captures data and the escalator is blocked afterwards;G!(constructor_creates_instances & train_has_been_launched) | F(constructor_creates_instances & train_has_been_launched & F(escalator_is_blocked & sensor_captures_data));['sensor_captures_data', 'constructor_creates_instances', 'train_has_been_launched', 'escalator_is_blocked'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, finally, the house is open and the elevator rises, and then, it will happen that both the train stops and the elevator is blocked;G!(elevator_rises & house_is_open) | F(elevator_rises & house_is_open & F(elevator_is_blocked & train_stops));['house_is_open', 'elevator_rises', 'elevator_is_blocked', 'train_stops'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, at some point in time both a train has been launched and the constructor creates instances, and then, at some point both a train derails and a house is built;G!(constructor_creates_instances & train_has_been_launched) | F(constructor_creates_instances & train_has_been_launched & F(house_is_built & train_derails));['train_derails', 'house_is_built', 'constructor_creates_instances', 'train_has_been_launched'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
eventually, both a table is brown and the escalator moves and, eventually, a sensor retrieves data and the train is crossing afterwards;G!(escalator_moves & table_is_brown) | F(escalator_moves & table_is_brown & F(sensor_retrieves_data & train_is_crossing));['train_is_crossing', 'table_is_brown', 'escalator_moves', 'sensor_retrieves_data'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that both an elevator falls and the manager collect claims and, at some point the bar has to be repaired and the car stops afterwards;G!(elevator_falls & manager_collect_claims) | F(elevator_falls & manager_collect_claims & F(bar_has_to_be_repaired & car_stops));['manager_collect_claims', 'car_stops', 'bar_has_to_be_repaired', 'elevator_falls'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, sooner or later both the sensor retrieves data and the house collapses, and then, at a certain moment the sensor retrieves data and the train is crossing;G!(house_collapses & sensor_retrieves_data) | F(house_collapses & sensor_retrieves_data & F(sensor_retrieves_data & train_is_crossing));['train_is_crossing', 'house_collapses', 'sensor_retrieves_data'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, eventually, the motorbike has stopped and a semaphore is red, and then, at a certain moment both the car enters and the engine stops;G!(motorbike_has_stopped & semaphore_is_red) | F(motorbike_has_stopped & semaphore_is_red & F(car_enters & engine_stops));['semaphore_is_red', 'car_enters', 'motorbike_has_stopped', 'engine_stops'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, it will happen that the sensor captures data and the escalator is blocked, and then, at a certain moment both the motorbike has started and the semaphore is yellow;G!(escalator_is_blocked & sensor_captures_data) | F(escalator_is_blocked & sensor_captures_data & F(motorbike_has_started & semaphore_is_yellow));['sensor_captures_data', 'semaphore_is_yellow', 'motorbike_has_started', 'escalator_is_blocked'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
in the future both a train derails and a train is crossing and, it is going to happen that the car starts and the bar is down afterwards;G!(train_derails & train_is_crossing) | F(train_derails & train_is_crossing & F(bar_is_down & car_starts));['train_is_crossing', 'car_starts', 'train_derails', 'bar_is_down'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time a car stops and the escalator is blocked and, at some point in time both a train has arrived and the bar is down afterwards;G!(car_stops & escalator_is_blocked) | F(car_stops & escalator_is_blocked & F(bar_is_down & train_has_arrived));['car_stops', 'bar_is_down', 'escalator_is_blocked', 'train_has_arrived'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, at some point both a semaphore is yellow and a bridge closes, and then, finally, both a constructor creates instances and the motorbike has stopped;G!(bridge_closes & semaphore_is_yellow) | F(bridge_closes & semaphore_is_yellow & F(constructor_creates_instances & motorbike_has_stopped));['constructor_creates_instances', 'semaphore_is_yellow', 'bridge_closes', 'motorbike_has_stopped'];G!(prop & prop) | F(prop & prop & F(prop & prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, at a certain moment both a car starts and the bar is down, and then, it will happen that the car stops or the brake is released;G!(bar_is_down & car_starts) | F(bar_is_down & car_starts & F(brake_is_released | car_stops));['car_starts', 'car_stops', 'brake_is_released', 'bar_is_down'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, at a certain moment both a motorbike has stopped and a semaphore is red, and then, at a certain moment the manager handles requests or a manager collect claims;G!(motorbike_has_stopped & semaphore_is_red) | F(motorbike_has_stopped & semaphore_is_red & F(manager_collect_claims | manager_handles_requests));['semaphore_is_red', 'manager_collect_claims', 'motorbike_has_stopped', 'manager_handles_requests'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time a car starts and the bar is down and, at a certain moment a sensor retrieves data or a train has been launched afterwards;G!(bar_is_down & car_starts) | F(bar_is_down & car_starts & F(sensor_retrieves_data | train_has_been_launched));['car_starts', 'train_has_been_launched', 'sensor_retrieves_data', 'bar_is_down'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, it is going to happen that a table is brown and the motorbike is driven, and then, in the future the table is old or the constructor creates instances;G!(motorbike_is_driven & table_is_brown) | F(motorbike_is_driven & table_is_brown & F(constructor_creates_instances | table_is_old));['table_is_brown', 'motorbike_is_driven', 'constructor_creates_instances', 'table_is_old'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, eventually, both a train has been launched and a constructor creates instances, and then, it is going to happen that the engine stops or the elevator is open;G!(constructor_creates_instances & train_has_been_launched) | F(constructor_creates_instances & train_has_been_launched & F(elevator_is_open | engine_stops));['constructor_creates_instances', 'train_has_been_launched', 'elevator_is_open', 'engine_stops'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, sooner or later a sensor captures data and the sensor gathers information, and then, eventually, either the manager handles requests or the manager collect claims;G!(sensor_captures_data & sensor_gathers_information) | F(sensor_captures_data & sensor_gathers_information & F(manager_collect_claims | manager_handles_requests));['manager_collect_claims', 'sensor_captures_data', 'sensor_gathers_information', 'manager_handles_requests'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, in the future the car stops and the constructor instantiate objects, and then, eventually, a train is crossing or the motorbike has stopped;G!(car_stops & constructor_instantiate_objects) | F(car_stops & constructor_instantiate_objects & F(motorbike_has_stopped | train_is_crossing));['train_is_crossing', 'constructor_instantiate_objects', 'car_stops', 'motorbike_has_stopped'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, it will happen that both a car stops and the escalator is blocked, and then, it is going to happen that either the brake is pressed or a bridge closes;G!(car_stops & escalator_is_blocked) | F(car_stops & escalator_is_blocked & F(brake_is_pressed | bridge_closes));['brake_is_pressed', 'car_stops', 'bridge_closes', 'escalator_is_blocked'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, at a certain moment a motorbike catches fire and a semaphore is red, and then, it is going to happen that the elevator is blocked or the escalator speeds up;G!(motorbike_catches_fire & semaphore_is_red) | F(motorbike_catches_fire & semaphore_is_red & F(elevator_is_blocked | escalator_speeds_up));['semaphore_is_red', 'escalator_speeds_up', 'motorbike_catches_fire', 'elevator_is_blocked'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
finally, the brake is released and the sensor captures data and, it is going to happen that either an elevator falls or the engine breaks afterwards;G!(brake_is_released & sensor_captures_data) | F(brake_is_released & sensor_captures_data & F(elevator_falls | engine_breaks));['sensor_captures_data', 'elevator_falls', 'brake_is_released', 'engine_breaks'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
first, at some point both the brake is released and the bar is up, and then, sooner or later either a car enters or the motorbike falls down;G!(bar_is_up & brake_is_released) | F(bar_is_up & brake_is_released & F(car_enters | motorbike_falls_down));['bar_is_up', 'motorbike_falls_down', 'car_enters', 'brake_is_released'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
at some point the train has arrived and the manager handles requests and, at some point in time either the escalator speeds up or the house collapses afterwards;G!(manager_handles_requests & train_has_arrived) | F(manager_handles_requests & train_has_arrived & F(escalator_speeds_up | house_collapses));['escalator_speeds_up', 'house_collapses', 'manager_handles_requests', 'train_has_arrived'];G!(prop & prop) | F(prop & prop & F(prop | prop));NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time both a train has been launched and the escalator is blocked and, at a certain moment the bridge closes afterwards;G!(escalator_is_blocked & train_has_been_launched) | F(escalator_is_blocked & train_has_been_launched & Fbridge_closes);['train_has_been_launched', 'bridge_closes', 'escalator_is_blocked'];G!(prop & prop) | F(prop & prop & Fprop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that both the escalator is blocked and the sensor captures data and, finally, a bridge closes afterwards;G!(escalator_is_blocked & sensor_captures_data) | F(escalator_is_blocked & sensor_captures_data & Fbridge_closes);['sensor_captures_data', 'bridge_closes', 'escalator_is_blocked'];G!(prop & prop) | F(prop & prop & Fprop);NL-to-LTL-Synthetic-Datasetprocessed_data
in the future the bar has to be repaired and a sensor retrieves data and, at some point in time a bridge closes afterwards;G!(bar_has_to_be_repaired & sensor_retrieves_data) | F(bar_has_to_be_repaired & sensor_retrieves_data & Fbridge_closes);['bar_has_to_be_repaired', 'bridge_closes', 'sensor_retrieves_data'];G!(prop & prop) | F(prop & prop & Fprop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point a motorbike has stopped and the semaphore is red and, sooner or later a train has arrived afterwards;G!(motorbike_has_stopped & semaphore_is_red) | F(motorbike_has_stopped & semaphore_is_red & Ftrain_has_arrived);['semaphore_is_red', 'motorbike_has_stopped', 'train_has_arrived'];G!(prop & prop) | F(prop & prop & Fprop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time both the train is crossing and a house collapses and, at some point the train has arrived afterwards;G!(house_collapses & train_is_crossing) | F(house_collapses & train_is_crossing & Ftrain_has_arrived);['train_is_crossing', 'house_collapses', 'train_has_arrived'];G!(prop & prop) | F(prop & prop & Fprop);NL-to-LTL-Synthetic-Datasetprocessed_data
first, at a certain moment the bar has to be repaired and the car stops, and then, at a certain moment a sensor gathers information;G!(bar_has_to_be_repaired & car_stops) | F(bar_has_to_be_repaired & car_stops & Fsensor_gathers_information);['car_stops', 'bar_has_to_be_repaired', 'sensor_gathers_information'];G!(prop & prop) | F(prop & prop & Fprop);NL-to-LTL-Synthetic-Datasetprocessed_data
