Index,Requirement,Ground Truth,Response
219,"If communicate the safe_victim holds, then in the next step deliver_aid the injured_rescuer persists until avoid the active_flood holds, or else deliver_aid the injured_rescuer holds forever.",communicate_safe_victim -> X((deliver_aid_injured_rescuer U avoid_active_flood) | G deliver_aid_injured_rescuer),G(communicate_safe_victim -> (X(deliver_aid_injured_rescuer U avoid_active_flood) | G deliver_aid_injured_rescuer))
220,( prop_1 ) until don't ( prop_2 ),prop_1 U !F prop_2,prop_1 U !prop_2
221,"For all time (prop_1), and (prop_3) is equivalent to (prop_2) .",(prop_2 <-> prop_3) & G prop_1,G(prop_1 & (prop_3 <-> prop_2))
224,"it will happen that a car enters or the motorbike falls down and, it is going to happen that the brake is released and the bar is up afterwards",G!(car_enters | motorbike_falls_down) | F((car_enters | motorbike_falls_down) & F(bar_is_up & brake_is_released)),F(car_enters | motorbike_falls_down) & F(brake_is_released & F bar_is_up)
225,"Do not let (prop_3) happen, and ensure that either (prop_2) or (prop_1) occurs.",!prop_3 & (prop_1 | prop_2),G(!prop_3) & F(prop_1 | prop_2)
228,when possible go_near house or repeatedly grab tree,F go_near_house | GF grab_tree,GF(go_near_house | grab_tree)
232,"Globally , in case that ( prop_4 ) or the transition action that ( prop_1 ) is observed then all of the following conditions are true : ( prop_3 ) , eventually ( prop_2 ) .",G((prop_1 | prop_4) -> (prop_3 U prop_2)),G((prop_4 | prop_1) -> (prop_3 & F prop_2))
233,"As soon as ( prop_3 ) , and ( prop_1 ) then in response starting without any delay ( prop_2 ) and ( prop_4 ) .",G((prop_1 & prop_3) -> (prop_2 & prop_4)),G((prop_3 & prop_1) -> X(prop_2 & prop_4))
234,"after both the engine starts and the house is built, in any case a table has been moved and the motorbike has stopped",G((engine_starts & house_is_built) -> G(motorbike_has_stopped & table_has_been_moved)),G((engine_starts & house_is_built) -> F(table_has_been_moved & motorbike_has_stopped))
235,"Always (prop_3), and if (prop_2), then (prop_1) .",(prop_2 -> prop_1) & G prop_3,G(prop_3 & (prop_2 -> prop_1))
237,"It is always the case that if ( prop_4 ) , and ( prop_1 ) , then in response promptly ( prop_3 ) and ( prop_2 ) .",G((prop_1 & prop_4) -> (prop_2 & prop_3)),G((prop_4 & prop_1) -> X(prop_3 & prop_2))
238,"as either the train is crossing or the train has been launched, at some point in time a motorbike catches fire and the semaphore is red",G((train_has_been_launched | train_is_crossing) -> F(motorbike_catches_fire & semaphore_is_red)),(train_is_crossing | train_has_been_launched) -> F(motorbike_catches_fire & semaphore_is_red)
239,"first, eventually, both the manager collect claims and the sensor captures data, and then, at some point either a motorbike catches fire or a bridge opens",G!(manager_collect_claims & sensor_captures_data) | F(manager_collect_claims & sensor_captures_data & F(bridge_opens | motorbike_catches_fire)),F((manager_collect_claims & sensor_captures_data) & F(motorbike_catches_fire | bridge_opens))
240,repeatedly go_to waste basket and whenever journey_to flag,GF go_to_waste_basket & F journey_to_flag,GF(go_to_waste_basket) & G(journey_to_flag -> go_to_waste_basket)
241,repeatedly grab tree and approach trash can,approach_trash_can & GF grab_tree,GF(grab_tree & F approach_trash_can)
242,"If (prop_2), then ensure that (prop_1) until (prop_3).",prop_2 -> (prop_1 U prop_3),G(prop_2 -> (prop_1 U prop_3))
245,"in any case either the semaphore is broken, a table is old or an elevator falls",G(elevator_falls | semaphore_is_broken | table_is_old),semaphore_is_broken | table_is_old | elevator_falls
246,whenever stop_by house and don't let_go orange,!let_go_orange & F stop_by_house,G((stop_by_house & !let_go_orange))
247,"after the motorbike falls down and the escalator is blocked, every time the semaphore is yellow",G((escalator_is_blocked & motorbike_falls_down) -> G semaphore_is_yellow),F(motorbike_falls_down & escalator_is_blocked & G(semaphore_is_yellow -> G(semaphore_is_yellow)))
248,"if go_to bucket , take apple",go_to_bucket -> take_apple,G(go_to_bucket -> take_apple)
250,whenever ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),G(prop_1 U prop_2)
251,Keep moving brochure 8 from table 2 to street 9 and also regularly visit charger 6,GF(table_2 & F(p_brochure_8 & F(pd & street_9))) & GF charger_6,G(F(pd & charger_6)) & F(pd & street_9 & p_brochure_8)
254,"first, sooner or later the bridge closes, and then, eventually, either the elevator is blocked or a house is open",G!bridge_closes | F(bridge_closes & F(elevator_is_blocked | house_is_open)),F(bridge_closes & F(elevator_is_blocked | house_is_open))
256,Keep visiting charging station 9 as you keep taking crate 4 from warehouse 5 to mall 4,GF charging_station_9 & GF(warehouse_5 & F(p_crate_4 & F(mall_4 & pd))),G((p_crate_4 & warehouse_5) -> (charging_station_9 U (p_crate_4 & mall_4)))
258,"At some point ( prop_1 ) should happen , or else ( prop_2 ) is equivalent to ( prop_3 ) .",(prop_2 <-> prop_3) | F prop_1,F(prop_1) | G(prop_2 <-> prop_3)
259,( prop_1 ) until at any time ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
260,Ensure crate 8 is delivered from mall 5 to office 6 over and over again,GF(mall_5 & F(p_crate_8 & F(office_6 & pd))),GF(pd & p_crate_8 & mall_5 & office_6)
261,Keep visiting charger 4 while continuously taking pictures of area 5,GF charger_4 & GF(area_5 & photo),G(charger_4 & photo & area_5)
266,when possible ( prop_1 ) or never ( prop_2 ),F(prop_1 | G!prop_2),F(prop_1) | G(!prop_2)
272,"if ( prop_1 ) , always ( prop_2 )",prop_1 -> G prop_2,G(prop_1 -> G prop_2)
273,"Do not let (prop_3) happen, and keep (prop_1) happening until (prop_2) occurs.",!prop_3 & (prop_1 U prop_2),G(!prop_3) & (prop_1 U prop_2)
274,"It is required that eventually (prop_2) should happen and be equivalent to (prop_3), and in the meantime (prop_1) should not happen .",!prop_1 & (prop_3 <-> F prop_2),(!prop_1) U (prop_2 & (prop_2 <-> prop_3))
276,repeatedly ( prop_1 ) and ( prop_2 ),G(prop_2 & F prop_1),GF(prop_1 & prop_2)
278,"If ( prop_4 ) happens, then ( prop_1 ) should happen, or else both ( prop_2 ) and ( prop_3 ) should happen.",(prop_4 -> prop_1) | (prop_2 & prop_3),G(prop_4 -> F(prop_1 | (prop_2 & prop_3)))
280,took the yellow_room to the blue_room and the red_room to the blue_room,F((red_room | yellow_room) & F blue_room),F(yellow_room & F blue_room) & F(red_room & F blue_room)
281,"in the future the table is old or the bar has to be repaired and, sooner or later a manager handles requests or a manager collect claims afterwards",G!(bar_has_to_be_repaired | table_is_old) | F((bar_has_to_be_repaired | table_is_old) & F(manager_collect_claims | manager_handles_requests)),F(table_is_old | bar_has_to_be_repaired) & F(manager_handles_requests | F manager_collect_claims)
287,For all time (prop_3) happens is equivalent to the scenario in which (prop_2) happens and then (prop_1) happens .,(prop_2 -> prop_1) <-> G prop_3,G(prop_3) <-> (prop_2 & F(prop_1))
288,whenever ( prop_1 ) or never ( prop_2 ),F(prop_1 | G!prop_2),G(prop_1 | G(!prop_2))
290,"If (prop_2) is going to happen eventually, then if (prop_3) happens then (prop_1) should also happen .",F prop_2 -> (prop_3 -> prop_1),F prop_2 -> G(prop_3 -> prop_1)
291,always stay and come_to tree,come_to_tree & G stay,G(stay & come_to_tree)
292,"It is always the case that in case that ( prop_3 ) , and ( prop_2 ) then in response ( prop_1 ) .",G((prop_2 & prop_3) -> G prop_1),G((prop_3 & prop_2) -> F prop_1)
293,"It is always the case that while ( prop_4 ) , or ( prop_2 ) then there shall be a certain time point in the future before the end of the simulation , at which the event that ( prop_1 ) is not detected finally , before this ( prop_3 ) .",G((prop_2 | prop_4) -> (prop_1 U prop_3)),G((prop_4 | prop_2) -> F(!prop_1 U prop_3))
294,"In the case ( prop_1 ) , or ( prop_3 ) then all of the following conditions are true : ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2),(prop_1 | prop_3) -> prop_2
297,"If (prop_1), then (prop_2), and finally (prop_3) .",(prop_1 -> prop_2) & F prop_3,G(prop_1 -> F(prop_2 & F prop_3))
