Requirement,Ground Truth,Response
{'it is going to happen that either a table has been moved or the train stops after either a manager handles requests or a constructor instantiate objects'},G((constructor_instantiate_objects | manager_handles_requests) -> F(table_has_been_moved | train_stops)),F(table_has_been_moved | ( (manager_handles_requests | constructor_instantiate_objects) -> X train_stops ))
{'if both a house is built and the bar is closing then under no circumstances both a car stops and a constructor instantiate objects'},G((bar_is_closing & house_is_built) -> G!(car_stops & constructor_instantiate_objects)),(house_is_built & bar_is_closing) -> G(!(car_stops & constructor_instantiate_objects))
{'if a house is open or a table has been moved then sooner or later the bridge closes or the bar has to be repaired'},G((house_is_open | table_has_been_moved) -> F(bar_has_to_be_repaired | bridge_closes)),(house_is_open | table_has_been_moved) -> F(bridge_closes | bar_has_to_be_repaired)
"{'after a manager collect claims and the engine breaks, finally, either the bar is closing or the brake is pressed'}",G((engine_breaks & manager_collect_claims) -> F(bar_is_closing | brake_is_pressed)),F((manager_collect_claims & engine_breaks) -> F(bar_is_closing | brake_is_pressed))
"{'at some point in time a sensor retrieves data or a train has been launched and, it will happen that both a motorbike catches fire and a car enters afterwards'}",G!(sensor_retrieves_data | train_has_been_launched) | F((sensor_retrieves_data | train_has_been_launched) & F(car_enters & motorbike_catches_fire)),F(sensor_retrieves_data | train_has_been_launched) & F(motorbike_catches_fire & X car_enters)
{'head to the green rectangular room without passing through a red square room'},Fgreen_room & G!red_room,F(green_room) & (!red_room U green_room)
{'go through the red or blue_room to the yellow_room'},F((blue_room | red_room) & Fyellow_room),((red_room | blue_room) U yellow_room)
"{'it is going to happen that a train has arrived and a manager handles requests and, in the future either the elevator is blocked or the house is open afterwards'}",G!(manager_handles_requests & train_has_arrived) | F(manager_handles_requests & train_has_arrived & F(elevator_is_blocked | house_is_open)),F(train_has_arrived & manager_handles_requests & F(elevator_is_blocked | X house_is_open))
{'if the motorbike has started and the bar is down then at a certain moment the bridge opens or the elevator rises'},G((bar_is_down & motorbike_has_started) -> F(bridge_opens | elevator_rises)),(motorbike_has_started & bar_is_down) -> F(bridge_opens | elevator_rises)
"{'In case the event ( prop_3 ) happens, then either ( prop_1 ) or ( prop_2 ) will take place.'}",G(prop_3 -> (prop_1 | prop_2)),G(prop_3 -> F(prop_1 | prop_2))
"{'In case that ( prop_3 ) , or the transition action that ( prop_2 ) gets detected , then ( prop_1 ) .'}",G((prop_2 | prop_3) -> Gprop_1),(prop_3 | prop_2) -> prop_1
{'at the red_room push the object to the blue_room'},F(red_room & Fblue_room),G(red_room -> F blue_room)
"{'first, in the future the constructor creates instances or an elevator is blocked, and then, eventually, a motorbike has stopped and a semaphore is red'}",G!(constructor_creates_instances | elevator_is_blocked) | F((constructor_creates_instances | elevator_is_blocked) & F(motorbike_has_stopped & semaphore_is_red)),F(constructor_creates_instances | elevator_is_blocked) & F(motorbike_has_stopped & semaphore_is_red)
"{'a semaphore is red and, as a consequence, whenever the escalator moves then finally, a house is open'}",G(semaphore_is_red -> G(escalator_moves -> Fhouse_is_open)),semaphore_is_red & G(escalator_moves -> F house_is_open)
"{'finally, either a house is open or a train derails after either a motorbike is driven or the semaphore is green'}",G((motorbike_is_driven | semaphore_is_green) -> F(house_is_open | train_derails)),F(house_is_open | ( (motorbike_is_driven | semaphore_is_green) -> F train_derails ))
"{'as the table has been moved or the house is built, in the future either the table is old or the train has arrived'}",G((house_is_built | table_has_been_moved) -> F(table_is_old | train_has_arrived)),(table_has_been_moved | house_is_built) -> F (table_is_old | train_has_arrived)
{'in the future either a car enters or a motorbike is driven after the car stops or the house is built'},G((car_stops | house_is_built) -> F(car_enters | motorbike_is_driven)),F(car_enters | (car_stops -> F motorbike_is_driven) | house_is_built)
"{'after either the bar is down or the semaphore is green, it is going to happen that the motorbike is driven or a bridge closes'}",G((bar_is_down | semaphore_is_green) -> F(bridge_closes | motorbike_is_driven)),F((bar_is_down | semaphore_is_green) -> F(motorbike_is_driven | bridge_closes))
{'if both a semaphore is broken and the semaphore is green then sooner or later both the brake is pressed and the train has arrived'},G((semaphore_is_broken & semaphore_is_green) -> F(brake_is_pressed & train_has_arrived)),(semaphore_is_broken & semaphore_is_green) -> F(brake_is_pressed & train_has_arrived)
{'if both the bar has to be repaired and the manager collect claims then in the future both the semaphore is green and the train derails'},G((bar_has_to_be_repaired & manager_collect_claims) -> F(semaphore_is_green & train_derails)),(bar_has_to_be_repaired & manager_collect_claims) -> F(semaphore_is_green & train_derails)
"{'after either the motorbike has stopped or the escalator speeds up, at any time a motorbike catches fire or the escalator speeds up'}",G((escalator_speeds_up | motorbike_has_stopped) -> G(escalator_speeds_up | motorbike_catches_fire)),F((motorbike_has_stopped | escalator_speeds_up) & G(motorbike_catches_fire | escalator_speeds_up))
"{'the motorbike catches fire involves that as a car starts, eventually, a train is crossing'}",G(motorbike_catches_fire -> G(car_starts -> Ftrain_is_crossing)),motorbike_catches_fire -> (car_starts -> F train_is_crossing)
"{'On condition that ( prop_1 ) , and ( prop_3 ) then at the same time ( prop_2 ) .'}",G((prop_1 & prop_3) -> prop_2),(prop_1 & prop_3) -> prop_2
"{'as either a car stops or a manager handles requests, in the future the elevator is blocked or the train stops'}",G((car_stops | manager_handles_requests) -> F(elevator_is_blocked | train_stops)),(car_stops | manager_handles_requests) -> F (elevator_is_blocked | train_stops)
"{'the escalator moves and, as a consequence, as the sensor retrieves data, sooner or later the engine starts'}",G(escalator_moves -> G(sensor_retrieves_data -> Fengine_starts)),escalator_moves & (sensor_retrieves_data -> F engine_starts)
"{'after either the train has arrived or a constructor instantiate objects, at some point the bar is up and the car stops'}",G((constructor_instantiate_objects | train_has_arrived) -> F(bar_is_up & car_stops)),F((train_has_arrived | constructor_instantiate_objects) & F(bar_is_up & car_stops))
"{'all the time the semaphore is yellow, a train has arrived and a sensor gathers information'}",G(semaphore_is_yellow & sensor_gathers_information & train_has_arrived),G(semaphore_is_yellow -> (train_has_arrived & sensor_gathers_information))
"{'after a sensor retrieves data and the sensor captures data, eventually, a bridge closes or the elevator is blocked'}",G((sensor_captures_data & sensor_retrieves_data) -> F(bridge_closes | elevator_is_blocked)),(sensor_retrieves_data & sensor_captures_data) -> F (bridge_closes | elevator_is_blocked)
{'go into the blue_room without going through the green_room'},Fblue_room & G!green_room,F(blue_room & (!green_room U blue_room))
"{'all the time the manager collect claims, the engine breaks and a constructor creates instances'}",G(constructor_creates_instances & engine_breaks & manager_collect_claims),G(manager_collect_claims -> (engine_breaks & constructor_creates_instances))
"{'first, finally, either a semaphore is green or the bar is up, and then, eventually, both the train has arrived and the brake is pressed'}",G!(bar_is_up | semaphore_is_green) | F((bar_is_up | semaphore_is_green) & F(brake_is_pressed & train_has_arrived)),(semaphore_is_green | bar_is_up) & F(train_has_arrived & brake_is_pressed)
"{'as a manager collect claims and a train is crossing, at some point either a car enters or the bar is up'}",G((manager_collect_claims & train_is_crossing) -> F(bar_is_up | car_enters)),(manager_collect_claims & train_is_crossing) -> F(car_enters | bar_is_up)
{'a train derails involves that it is going to happen that the elevator rises after the sensor retrieves data'},G(train_derails -> G(sensor_retrieves_data -> Felevator_rises)),train_derails -> F(sensor_retrieves_data & F elevator_rises)
"{'under no circumstances the train derails, a train has been launched and the motorbike falls down'}",G!(motorbike_falls_down & train_derails & train_has_been_launched),G(!train_derails) & train_has_been_launched & motorbike_falls_down
"{'On condition that ( prop_3 ) , or ( prop_2 ) then the following condition holds : promptly ( prop_1 ) .'}",G((prop_2 | prop_3) -> prop_1),(prop_3 | prop_2) -> X prop_1
"{'the constructor creates instances and, as a consequence, after the semaphore is green, at some point in time the constructor instantiate objects'}",G(constructor_creates_instances -> G(semaphore_is_green -> Fconstructor_instantiate_objects)),(constructor_creates_instances) & (G(semaphore_is_green -> F constructor_instantiate_objects))
"{'If (prop_2) happens, then eventually (prop_4) will happen, and in the meantime, keep doing (prop_3) until (prop_1) happens .'}",(prop_2 -> prop_4) & (prop_3 U prop_1),G(prop_2 -> (F prop_4 & (prop_3 U prop_1)))
{'Get letter 3 from post office 1 and deliver it to house 2'},F(post_office_1 & F(p_letter_3 & F(house_2 & pd))),F(post_office_1 & p_letter_3 & F(house_2 & pd))
"{'it will happen that both the train has arrived and a manager handles requests and, at a certain moment either the table is brown or the motorbike has started afterwards'}",G!(manager_handles_requests & train_has_arrived) | F(manager_handles_requests & train_has_arrived & F(motorbike_has_started | table_is_brown)),F((train_has_arrived & manager_handles_requests) & F(table_is_brown | X motorbike_has_started))
"{'first, eventually, both the train has arrived and the brake is pressed, and then, it is going to happen that a table has been moved and a motorbike is driven'}",G!(brake_is_pressed & train_has_arrived) | F(brake_is_pressed & train_has_arrived & F(motorbike_is_driven & table_has_been_moved)),F((train_has_arrived & brake_is_pressed) & F(table_has_been_moved & motorbike_is_driven))
{'As soon as ( prop_1 ) or the scenario that ( prop_3 ) is detected then all of the following conditions are true : in the future until the execution ends uninterruptedly ( prop_2 ) .'},G((prop_1 | prop_3) -> Gprop_2),(prop_1 | prop_3) -> G(prop_2)
"{'after the bar is down or the manager collect claims, in the future either a manager handles requests or the escalator is blocked'}",G((bar_is_down | manager_collect_claims) -> F(escalator_is_blocked | manager_handles_requests)),(bar_is_down | manager_collect_claims) -> F (manager_handles_requests | escalator_is_blocked)
"{'after either the engine starts or a train is crossing, absolutely never, both the manager handles requests and a constructor creates instances'}",G((engine_starts | train_is_crossing) -> G!(constructor_creates_instances & manager_handles_requests)),(engine_starts | train_is_crossing) -> G !(manager_handles_requests & constructor_creates_instances)
{'it is going to happen that either the car stops or a house is built after the engine starts and the engine stops'},G((engine_starts & engine_stops) -> F(car_stops | house_is_built)),F((engine_starts & engine_stops) -> (car_stops | house_is_built))
{'if both the escalator is blocked and the escalator moves then at a certain moment either a bridge opens or an elevator rises'},G((escalator_is_blocked & escalator_moves) -> F(bridge_opens | elevator_rises)),(escalator_is_blocked & escalator_moves) -> F (bridge_opens | elevator_rises)
{'instead of going through the red_room move through the blue_room to enter the red_room'},F(blue_room & Fred_room),(!red_room) U (blue_room & F red_room)
"{'as both the elevator rises and the bar is closing, at some point in time both the escalator speeds up and a motorbike falls down'}",G((bar_is_closing & elevator_rises) -> F(escalator_speeds_up & motorbike_falls_down)),(elevator_rises & bar_is_closing) -> F(escalator_speeds_up & motorbike_falls_down)
"{'in the future both the house is open and an elevator rises and, sooner or later the engine stops or the constructor instantiate objects afterwards'}",G!(elevator_rises & house_is_open) | F(elevator_rises & house_is_open & F(constructor_instantiate_objects | engine_stops)),F((house_is_open & elevator_rises) & F(engine_stops | X constructor_instantiate_objects))
{'when possible ( prop_1 ) or at any time ( prop_2 )'},F(prop_1 | Fprop_2),F(prop_1) | GF(prop_2)
"{'first, eventually, either a train is crossing or an elevator rises, and then, sooner or later the sensor gathers information and the motorbike catches fire'}",G!(elevator_rises | train_is_crossing) | F((elevator_rises | train_is_crossing) & F(motorbike_catches_fire & sensor_gathers_information)),F(train_is_crossing | elevator_rises) & F(sensor_gathers_information & motorbike_catches_fire)
"{'first, eventually, a car enters or the bar has to be repaired, and then, finally, either the car stops or the brake is released'}",G!(bar_has_to_be_repaired | car_enters) | F((bar_has_to_be_repaired | car_enters) & F(brake_is_released | car_stops)),F(car_enters | bar_has_to_be_repaired) & F(car_stops | brake_is_released)
"{'If ( prop_1 ) and ( prop_3 ) then for every moment in the future before the end of the execution , at a certain time point within the coming 26 time units , ( prop_2 ) .'}",G((prop_1 & prop_3) -> GFprop_2),"(prop_1 & prop_3) -> G(F[0,26] prop_2)"
"{'In the case ( prop_1 ) , or ( prop_3 ) , then the following condition is true : ultimately the event that ( prop_2 ) ought to get detected at a time in the future before the execution ends .'}",G((prop_1 | prop_3) -> Fprop_2),(prop_1 | prop_3) -> F prop_2
{'the robot avoids the green to get to the blue'},Fblue_room & G!green_room,(!green_room) U blue_room
"{'In the event that ( prop_1 ) , then in response ( prop_2 ) .'}",G(prop_1 -> prop_2),G(prop_1 -> F prop_2)
"{'it will happen that a house collapses and the house is open and, at some point both the constructor creates instances and a motorbike has stopped afterwards'}",G!(house_collapses & house_is_open) | F(house_collapses & house_is_open & F(constructor_creates_instances & motorbike_has_stopped)),F(house_collapses & house_is_open & F(constructor_creates_instances & X motorbike_has_stopped))
{'if the engine breaks or a bridge closes then it is going to happen that the sensor captures data and the escalator speeds up'},G((bridge_closes | engine_breaks) -> F(escalator_speeds_up & sensor_captures_data)),(engine_breaks | bridge_closes) -> F (sensor_captures_data & escalator_speeds_up)
"{'after the engine breaks and the engine starts, finally, a table is brown or the elevator rises'}",G((engine_breaks & engine_starts) -> F(elevator_rises | table_is_brown)),F((engine_breaks & engine_starts) -> F(table_is_brown | elevator_rises))
{'in the future both the engine starts and the engine stops after the manager collect claims and the bar is up'},G((bar_is_up & manager_collect_claims) -> F(engine_starts & engine_stops)),F((manager_collect_claims & bar_is_up) -> F(engine_starts & engine_stops))
"{'eventually, the bar has to be repaired or the engine breaks after either a train is crossing or a table is brown'}",G((table_is_brown | train_is_crossing) -> F(bar_has_to_be_repaired | engine_breaks)),F(bar_has_to_be_repaired | ((train_is_crossing | table_is_brown) -> F engine_breaks))
"{'it will happen that a table is brown and a house is built and, in the future a semaphore is green or the train stops afterwards'}",G!(house_is_built & table_is_brown) | F(house_is_built & table_is_brown & F(semaphore_is_green | train_stops)),F(table_is_brown & house_is_built & F(semaphore_is_green | X train_stops))
{'it is going to happen that either the bar has to be repaired or the escalator speeds up after the bridge closes or the escalator moves'},G((bridge_closes | escalator_moves) -> F(bar_has_to_be_repaired | escalator_speeds_up)),F(bar_has_to_be_repaired | (bridge_closes -> X escalator_speeds_up) | escalator_moves)
{'at some point either the car enters or the escalator speeds up after the table has been moved and the engine breaks'},G((engine_breaks & table_has_been_moved) -> F(car_enters | escalator_speeds_up)),F((table_has_been_moved & engine_breaks) -> (car_enters | escalator_speeds_up))
"{'Globally , during the interval that ( prop_3 ) , or ( prop_1 ) then in response ( prop_2 ) .'}",G((prop_1 | prop_3) -> prop_2),G((prop_3 | prop_1) -> F prop_2)
{'sooner or later both the brake is pressed and a sensor captures data after the manager handles requests or a motorbike catches fire'},G((manager_handles_requests | motorbike_catches_fire) -> F(brake_is_pressed & sensor_captures_data)),F((brake_is_pressed & (manager_handles_requests -> F sensor_captures_data)) | motorbike_catches_fire)
{'whenever the engine starts or a train is crossing then in any case the motorbike has stopped or a semaphore is yellow'},G((engine_starts | train_is_crossing) -> G(motorbike_has_stopped | semaphore_is_yellow)),G((engine_starts | train_is_crossing) -> (motorbike_has_stopped | semaphore_is_yellow))
{'It is always the case that if the scenario that ( prop_2 ) is observed or ( prop_3 ) then right away ( prop_1 ) .'},G((prop_2 | prop_3) -> prop_1),G((prop_2 | prop_3) -> X prop_1)
{'if a table has been moved or a train stops then in the future both the engine starts and the semaphore is broken'},G((table_has_been_moved | train_stops) -> F(engine_starts & semaphore_is_broken)),(table_has_been_moved | train_stops) -> F(engine_starts & semaphore_is_broken)
{'it will not happen that the constructor creates instances or the motorbike catches fire or a car starts'},G!(car_starts | constructor_creates_instances | motorbike_catches_fire),!(constructor_creates_instances | motorbike_catches_fire | car_starts)
{'the sensor retrieves data implies that every time a train stops then it will happen that the bridge closes'},G(sensor_retrieves_data -> G(train_stops -> Fbridge_closes)),sensor_retrieves_data -> G(train_stops -> F bridge_closes)
"{'after either a motorbike falls down or a car enters, it will happen that both a manager collect claims and the constructor creates instances'}",G((car_enters | motorbike_falls_down) -> F(constructor_creates_instances & manager_collect_claims)),F((motorbike_falls_down | car_enters) -> F(manager_collect_claims & constructor_creates_instances))
{'when possible get_to flag and snatch_up pear'},"""snatch_up(pear)"" & F""get_to(flag)""","F(""get_to(flag)"" & ""snatch_up(pear)"")"
{'when a semaphore is red then always when the table has been moved then it will happen that an elevator rises afterwards'},G(semaphore_is_red -> G(table_has_been_moved -> Felevator_rises)),G(semaphore_is_red -> G(table_has_been_moved -> F X elevator_rises))
"{'as a house is open or the table is old, finally, the bridge opens and the brake is released'}",G((house_is_open | table_is_old) -> F(brake_is_released & bridge_opens)),(house_is_open | table_is_old) -> F(bridge_opens & brake_is_released)
"{'after the elevator is open or the semaphore is green, finally, both a car stops and the elevator is blocked'}",G((elevator_is_open | semaphore_is_green) -> F(car_stops & elevator_is_blocked)),F((elevator_is_open | semaphore_is_green) -> F(car_stops & elevator_is_blocked))
"{'as both a train has arrived and a motorbike falls down, at a certain moment either a motorbike has stopped or the elevator falls'}",G((motorbike_falls_down & train_has_arrived) -> F(elevator_falls | motorbike_has_stopped)),(train_has_arrived & motorbike_falls_down) -> F(motorbike_has_stopped | elevator_falls)
{'travel through the yellow_room into the green_room'},F(yellow_room & Fgreen_room),yellow_room U green_room
"{'If ( prop_3 ) happens, then ( prop_2 ) should also happen, and at the same time, ( prop_1 ) should not happen.'}",!prop_1 & (prop_3 -> prop_2),G(prop_3 -> (prop_2 & !prop_1))
"{'as a sensor retrieves data or a car enters, it will happen that either a sensor gathers information or the table has been moved'}",G((car_enters | sensor_retrieves_data) -> F(sensor_gathers_information | table_has_been_moved)),(sensor_retrieves_data | car_enters) -> F(sensor_gathers_information | table_has_been_moved)
"{'after both the car starts and a house is open, eventually, the engine breaks and a car starts'}",G((car_starts & house_is_open) -> F(car_starts & engine_breaks)),(car_starts & house_is_open) -> F (engine_breaks & car_starts)
"{'after either a semaphore is broken or the bar has to be repaired, at some point either a house is open or the train derails'}",G((bar_has_to_be_repaired | semaphore_is_broken) -> F(house_is_open | train_derails)),F((semaphore_is_broken | bar_has_to_be_repaired) -> F(house_is_open | train_derails))
"{'If record flood holds and go_home holds next, then record safe_civilian holds in the step after that.'}","G((""record(flood)"" & Xgo_home) -> XX""record(safe_civilian)"")","(""record(flood)"" & X go_home) -> XX ""record(safe_civilian)"""
{'sooner or later the brake is released or the bar is down after either the bar is down or a house is open'},G((bar_is_down | house_is_open) -> F(bar_is_down | brake_is_released)),F(brake_is_released | bar_is_down) & (bar_is_down | house_is_open)
"{'If get_help holds and avoid the active_debris holds next, then communicate the injured_rescuer holds in the step after that.'}","G((get_help & X""avoid(active_debris)"") -> XX""communicate(injured_rescuer)"")","(get_help & X ""avoid(active_debris)"") -> XX ""communicate(injured_rescuer)"""
"{'If idle holds, then in the next step pickup the bed persists until picking up the sports_ball holds, or else pickup the bed holds forever.'}","idle -> X((""pickup(bed)"" U ""pickup(sports_ball)"") | G""pickup(bed)"")","idle -> (X(""pickup(bed)"" U ""pickup(sports_ball)"")) | G ""pickup(bed)"""
"{'all the time the train stops, the engine breaks and the sensor retrieves data'}",G(engine_breaks & sensor_retrieves_data & train_stops),G(train_stops -> (engine_breaks & sensor_retrieves_data))
{'repeatedly ( prop_1 ) until at some time ( prop_2 )'},G(Fprop_1 U Fprop_2),(G prop_1) U (F prop_2)
"{'if both a car enters and the table is old then finally, either a car starts or a car stops'}",G((car_enters & table_is_old) -> F(car_starts | car_stops)),(car_enters & table_is_old) -> F (car_starts | car_stops)
"{'if both a table has been moved and an elevator is blocked then eventually, an elevator is open or a semaphore is green'}",G((elevator_is_blocked & table_has_been_moved) -> F(elevator_is_open | semaphore_is_green)),(table_has_been_moved & elevator_is_blocked) -> F (elevator_is_open | semaphore_is_green)
{'every time a sensor captures data then it is going to happen that either the elevator is open or the semaphore is green'},G(sensor_captures_data -> F(elevator_is_open | semaphore_is_green)),G(sensor_captures_data -> (elevator_is_open | semaphore_is_green))
"{'During the interval that ( prop_2 ) , or ( prop_3 ) then all of the following conditions are true : starting without any delay the transition action that ( prop_4 ) will have to happen and ( prop_1 ) .'}",G((prop_2 | prop_3) -> (prop_1 & prop_4)),G((prop_2 | prop_3) -> (X prop_4 & prop_1))
"{'after a house is built or a motorbike falls down, at a certain moment an elevator is blocked or the escalator moves'}",G((house_is_built | motorbike_falls_down) -> F(elevator_is_blocked | escalator_moves)),F((house_is_built | motorbike_falls_down) -> F(elevator_is_blocked | escalator_moves))
{'go thru the blue or red box to get to the yellow box'},F((blue_room | red_room) & Fyellow_room),F(blue_room | red_room) U yellow_room
"{'as both the engine starts and the bar is up, eventually, the bar has to be repaired or the sensor retrieves data'}",G((bar_is_up & engine_starts) -> F(bar_has_to_be_repaired | sensor_retrieves_data)),(engine_starts & bar_is_up) -> F(bar_has_to_be_repaired | sensor_retrieves_data)
"{'after either the bar is up or a bridge closes, at some point in time either a table is brown or an elevator rises'}",G((bar_is_up | bridge_closes) -> F(elevator_rises | table_is_brown)),F((bar_is_up | bridge_closes) -> F(table_is_brown | elevator_rises))
{'go only through rooms that are not red to get to the blue_room'},Fblue_room & G!red_room,(!red_room U blue_room)
"{'In the case ( prop_1 ) , then the following condition is true : ( prop_2 ) .'}",G(prop_1 -> prop_2),prop_1 -> prop_2
"{'every time the table is old, the bar is down and the bar is closing'}",G(bar_is_closing & bar_is_down & table_is_old),G(table_is_old -> (bar_is_down & bar_is_closing))
"{'If record the vehicle on east_7th_street holds and photo the pedestrian on northwest_6th_street holds next, then change light_west green holds in the step after that.'}","G((""record(vehicle,east_7th_street)"" & X""photo(pedestrian,northwest_6th_street)"") -> XX""change(light_west,green)"")","(""record(vehicle,east_7th_street)"" & X ""photo(pedestrian,northwest_6th_street)"") -> XX ""change(light_west,green)"""
{'the table has been moved involves that every time a car starts then at a certain moment the house is built'},G(table_has_been_moved -> G(car_starts -> Fhouse_is_built)),table_has_been_moved -> G(car_starts -> F house_is_built)
"{'all the time a motorbike is driven, the bar is up and an elevator is blocked'}",G(bar_is_up & elevator_is_blocked & motorbike_is_driven),G(motorbike_is_driven -> (bar_is_up & elevator_is_blocked))
{'On condition that ( prop_1 ) then the following condition holds : ( prop_2 ) .'},G(prop_1 -> prop_2),prop_1 -> prop_2
"{'as both a motorbike falls down and a constructor creates instances, at a certain moment the motorbike catches fire or a train is crossing'}",G((constructor_creates_instances & motorbike_falls_down) -> F(motorbike_catches_fire | train_is_crossing)),(motorbike_falls_down & constructor_creates_instances) -> F (motorbike_catches_fire | train_is_crossing)
