original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL
Keep visiting street 5;[]<>street_5;GFstreet_5;['street_5'];Keep visiting street_5;{'street 5': 'street_5'};{'street_5': 'ap_0'};GFap_0
Avoid building 1 until street 4 is reached;!building_1 U street_4;!building_1 U street_4;['building_1', 'street_4'];Avoid building_1 until street_4 is reached;{'building 1': 'building_1', 'street 4': 'street_4'};{'building_1': 'ap_0', 'street_4': 'ap_1'};!ap_0 U ap_1
Go to parking lot 2, but never putting anything down;<>parking_lot_2&&[]!pd;Fparking_lot_2 & G!pd;['pd', 'parking_lot_2'];Go to parking_lot_2, but never putting anything down;{'pd': 'pd', 'parking lot 2': 'parking_lot_2'};{'pd': 'ap_0', 'parking_lot_2': 'ap_1'};Fap_1 & G!ap_0
Go to building 3 and stay there but do not go there until you reach garage 3;<>[]building_3&&!building_3 U garage_3;FGbuilding_3 & (!building_3 U garage_3);['building_3', 'garage_3'];Go to building_3 and stay there but do not go there until you reach garage_3;{'building 3': 'building_3', 'garage 3': 'garage_3'};{'building_3': 'ap_0', 'garage_3': 'ap_1'};FGap_0 & (!ap_0 U ap_1)
Never go to street 3;[]!street_3;G!street_3;['street_3'];Never go to street_3;{'street 3': 'street_3'};{'street_3': 'ap_0'};G!ap_0
Go to statue 5 to take a picture;<>(statue_5&&photo);F(photo & statue_5);['photo', 'statue_5'];Go to statue_5 to take a picture;{'photo': 'photo', 'statue 5': 'statue_5'};{'photo': 'ap_0', 'statue_5': 'ap_1'};F(ap_0 & ap_1)
Keep going to area 2 and taking a picture;[]<>(area_2&&photo);GF(area_2 & photo);['photo', 'area_2'];Keep going to area_2 and taking a picture;{'photo': 'photo', 'area 2': 'area_2'};{'photo': 'ap_0', 'area_2': 'ap_1'};GF(ap_1 & ap_0)
Go to street 5 and then go to building 2 and stay there;<>(street_5&&<>(building_2&&[]building_2));F(street_5 & F(building_2 & Gbuilding_2));['street_5', 'building_2'];Go to street_5 and then go to building_2 and stay there;{'street 5': 'street_5', 'building 2': 'building_2'};{'street_5': 'ap_0', 'building_2': 'ap_1'};F(ap_0 & F(ap_1 & Gap_1))
Take trash 4 from house 4 to garbage dump 1;<>(house_4&&<>(p_trash_4&&<>(garbage_dump_1&&pd)));F(house_4 & F(p_trash_4 & F(garbage_dump_1 & pd)));['pd', 'house_4', 'p_trash_4', 'garbage_dump_1'];Take p_trash_4 from house_4 to garbage_dump_1;{'pd': 'pd', 'house 4': 'house_4', 'trash 4': 'p_trash_4', 'garbage dump 1': 'garbage_dump_1'};{'pd': 'ap_0', 'house_4': 'ap_1', 'p_trash_4': 'ap_2', 'garbage_dump_1': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Avoid going to garage 1 until you take a picture as you take a picture of landmark 5;!garage_1 U photo&&<>(landmark_5&&photo);(!garage_1 U photo) & F(landmark_5 & photo);['photo', 'garage_1', 'landmark_5'];Avoid going to garage_1 until you take a picture as you take a picture of landmark_5;{'photo': 'photo', 'garage 1': 'garage_1', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'garage_1': 'ap_1', 'landmark_5': 'ap_2'};(!ap_1 U ap_0) & F(ap_2 & ap_0)
Place bottle 3 in kitchen 4 after getting it from bedroom 2;<>(bedroom_2&&<>(p_bottle_3&&<>(kitchen_4&&pd)));F(bedroom_2 & F(p_bottle_3 & F(kitchen_4 & pd)));['pd', 'bedroom_2', 'p_bottle_3', 'kitchen_4'];Place p_bottle_3 in kitchen_4 after getting it from bedroom_2;{'pd': 'pd', 'bedroom 2': 'bedroom_2', 'bottle 3': 'p_bottle_3', 'kitchen 4': 'kitchen_4'};{'pd': 'ap_0', 'bedroom_2': 'ap_1', 'p_bottle_3': 'ap_2', 'kitchen_4': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Go to street 5 but avoid parking lot 2;<>street_5&&[]!parking_lot_2;Fstreet_5 & G!parking_lot_2;['street_5', 'parking_lot_2'];Go to street_5 but avoid parking_lot_2;{'street 5': 'street_5', 'parking lot 2': 'parking_lot_2'};{'street_5': 'ap_0', 'parking_lot_2': 'ap_1'};Fap_0 & G!ap_1
Stay in park 1 until you reach table 3;park_1 U table_3;park_1 U table_3;['park_1', 'table_3'];Stay in park_1 until you reach table_3;{'park 1': 'park_1', 'table 3': 'table_3'};{'park_1': 'ap_0', 'table_3': 'ap_1'};ap_0 U ap_1
Pick up bottle 2 from kitchen 1 and go to hall 2 and stay there;<>(kitchen_1&&<>(p_bottle_2&&<>(hall_2&&[]hall_2)));F(kitchen_1 & F(p_bottle_2 & F(hall_2 & Ghall_2)));['kitchen_1', 'p_bottle_2', 'hall_2'];Pick up p_bottle_2 from kitchen_1 and go to hall_2 and stay there;{'kitchen 1': 'kitchen_1', 'bottle 2': 'p_bottle_2', 'hall 2': 'hall_2'};{'kitchen_1': 'ap_0', 'p_bottle_2': 'ap_1', 'hall_2': 'ap_2'};F(ap_0 & F(ap_1 & F(ap_2 & Gap_2)))
Stay away from street 4 until you reach intersection 2 as you go to house 13 and pick up trash 13;!street_4 U intersection_2&&<>(house_13&&p_trash_13);(!street_4 U intersection_2) & F(house_13 & p_trash_13);['street_4', 'intersection_2', 'house_13', 'p_trash_13'];Stay away from street_4 until you reach intersection_2 as you go to house_13 and pick up p_trash_13;{'street 4': 'street_4', 'intersection 2': 'intersection_2', 'house 13': 'house_13', 'trash 13': 'p_trash_13'};{'street_4': 'ap_0', 'intersection_2': 'ap_1', 'house_13': 'ap_2', 'p_trash_13': 'ap_3'};(!ap_0 U ap_1) & F(ap_2 & ap_3)
Never enter streets 3 and 4;[]!(street_3||street_4);G!(street_3 | street_4);['street_4', 'street_3'];Never enter streets 3 and 4;{'street 4': 'street_4', 'street 3': 'street_3'};{'street_4': 'ap_0', 'street_3': 'ap_1'};G!(ap_1 | ap_0)
Keep visiting charger 2 and take plate 4 from table 2 to table 4;[]<>charger_2&&<>(table_2&&<>(p_plate_4&&<>(table_4&&pd)));GFcharger_2 & F(table_2 & F(p_plate_4 & F(pd & table_4)));['pd', 'table_4', 'table_2', 'charger_2', 'p_plate_4'];Keep visiting charger_2 and take p_plate_4 from table_2 to table_4;{'pd': 'pd', 'table 4': 'table_4', 'table 2': 'table_2', 'charger 2': 'charger_2', 'plate 4': 'p_plate_4'};{'pd': 'ap_0', 'table_4': 'ap_1', 'table_2': 'ap_2', 'charger_2': 'ap_3', 'p_plate_4': 'ap_4'};GFap_3 & F(ap_2 & F(ap_4 & F(ap_0 & ap_1)))
Pick up document 1 from office 3 and take it to street 2 and stay there;<>(office_3&&<>(p_document_1&&<>(street_2&&[]street_2)));F(office_3 & F(p_document_1 & F(street_2 & Gstreet_2)));['office_3', 'street_2', 'p_document_1'];Pick up p_document_1 from office_3 and take it to street_2 and stay there;{'office 3': 'office_3', 'street 2': 'street_2', 'document 1': 'p_document_1'};{'office_3': 'ap_0', 'street_2': 'ap_1', 'p_document_1': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Deliver letter 3 to house 2 from post office 1;<>(post_office_1&&<>(p_letter_3&&<>(house_2&&pd)));F(post_office_1 & F(p_letter_3 & F(house_2 & pd)));['pd', 'house_2', 'post_office_1', 'p_letter_3'];Deliver p_letter_3 to house_2 from post_office_1;{'pd': 'pd', 'house 2': 'house_2', 'post office 1': 'post_office_1', 'letter 3': 'p_letter_3'};{'pd': 'ap_0', 'house_2': 'ap_1', 'post_office_1': 'ap_2', 'p_letter_3': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Take a picture of landmark 6;<>(landmark_6&&photo);F(landmark_6 & photo);['photo', 'landmark_6'];Take a picture of landmark_6;{'photo': 'photo', 'landmark 6': 'landmark_6'};{'photo': 'ap_0', 'landmark_6': 'ap_1'};F(ap_1 & ap_0)
Keep visiting street 4;[]<>street_4;GFstreet_4;['street_4'];Keep visiting street_4;{'street 4': 'street_4'};{'street_4': 'ap_0'};GFap_0
Find your way to house 5 and stay there;<>[]house_5;FGhouse_5;['house_5'];Find your way to house_5 and stay there;{'house 5': 'house_5'};{'house_5': 'ap_0'};FGap_0
Take a picture of statue 2 but do not go to statue 2 until you reach park 5;<>(statue_2&&photo)&&!statue_2 U park_5;F(photo & statue_2) & (!statue_2 U park_5);['photo', 'park_5', 'statue_2'];Take a picture of statue_2 but do not go to statue_2 until you reach park_5;{'photo': 'photo', 'park 5': 'park_5', 'statue 2': 'statue_2'};{'photo': 'ap_0', 'park_5': 'ap_1', 'statue_2': 'ap_2'};F(ap_0 & ap_2) & (!ap_2 U ap_1)
Never pick up cones 1 or 2;[]!(p_cone_1||p_cone_2);G!(p_cone_1 | p_cone_2);['p_cone_2', 'p_cone_1'];Never pick up cones 1 or 2;{'cone 2': 'p_cone_2', 'cone 1': 'p_cone_1'};{'p_cone_2': 'ap_0', 'p_cone_1': 'ap_1'};G!(ap_1 | ap_0)
Avoid going to street 4 as you deliver package 8 from store 7 to house 2;[]!street_4&&<>(store_7&&<>(p_package_8&&<>(house_2&&pd)));G!street_4 & F(store_7 & F(p_package_8 & F(house_2 & pd)));['pd', 'street_4', 'house_2', 'p_package_8', 'store_7'];Avoid going to street_4 as you deliver p_package_8 from store_7 to house_2;{'pd': 'pd', 'street 4': 'street_4', 'house 2': 'house_2', 'package 8': 'p_package_8', 'store 7': 'store_7'};{'pd': 'ap_0', 'street_4': 'ap_1', 'house_2': 'ap_2', 'p_package_8': 'ap_3', 'store_7': 'ap_4'};G!ap_1 & F(ap_4 & F(ap_3 & F(ap_2 & ap_0)))
Remove cone 5 from parking lot 2 and place it in street 1;<>(parking_lot_2&&<>(p_cone_5&&<>(street_1&&pd)));F(parking_lot_2 & F(p_cone_5 & F(pd & street_1)));['pd', 'p_cone_5', 'parking_lot_2', 'street_1'];Remove p_cone_5 from parking_lot_2 and place it in street_1;{'pd': 'pd', 'cone 5': 'p_cone_5', 'parking lot 2': 'parking_lot_2', 'street 1': 'street_1'};{'pd': 'ap_0', 'p_cone_5': 'ap_1', 'parking_lot_2': 'ap_2', 'street_1': 'ap_3'};F(ap_2 & F(ap_1 & F(ap_0 & ap_3)))
Keep picking up trash can 4 from house 2;[]<>(house_2&&p_trash_can_4);GF(house_2 & p_trash_can_4);['house_2', 'p_trash_can_4'];Keep picking up p_trash_can_4 from house_2;{'house 2': 'house_2', 'trash can 4': 'p_trash_can_4'};{'house_2': 'ap_0', 'p_trash_can_4': 'ap_1'};GF(ap_0 & ap_1)
Never enter house 4;[]!house_4;G!house_4;['house_4'];Never enter house_4;{'house 4': 'house_4'};{'house_4': 'ap_0'};G!ap_0
Do not go to street 3 as you go to building 4;[]!street_3&&<>building_4;G!street_3 & Fbuilding_4;['street_3', 'building_4'];Do not go to street_3 as you go to building_4;{'street 3': 'street_3', 'building 4': 'building_4'};{'street_3': 'ap_0', 'building_4': 'ap_1'};G!ap_0 & Fap_1
Get package 2 from store 3 and take it to house 2 but do not enter mall 1;<>(store_3&&<>(p_package_2&&<>(house_2&&pd)))&&[]!mall_1;F(store_3 & F(p_package_2 & F(house_2 & pd))) & G!mall_1;['pd', 'house_2', 'store_3', 'p_package_2', 'mall_1'];Get p_package_2 from store_3 and take it to house_2 but do not enter mall_1;{'pd': 'pd', 'house 2': 'house_2', 'store 3': 'store_3', 'package 2': 'p_package_2', 'mall 1': 'mall_1'};{'pd': 'ap_0', 'house_2': 'ap_1', 'store_3': 'ap_2', 'p_package_2': 'ap_3', 'mall_1': 'ap_4'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0))) & G!ap_4
Do not ever go to house 3;[]!house_3;G!house_3;['house_3'];Do not ever go to house_3;{'house 3': 'house_3'};{'house_3': 'ap_0'};G!ap_0
Keep taking a picture of landmark 21;[]<>(landmark_21&&photo);GF(landmark_21 & photo);['photo', 'landmark_21'];Keep taking a picture of landmark_21;{'photo': 'photo', 'landmark 21': 'landmark_21'};{'photo': 'ap_0', 'landmark_21': 'ap_1'};GF(ap_1 & ap_0)
Go to intersection 5 and stay there;<>[]intersection_5;FGintersection_5;['intersection_5'];Go to intersection_5 and stay there;{'intersection 5': 'intersection_5'};{'intersection_5': 'ap_0'};FGap_0
Take trash can 4 from house 1 to garbage dump 3;<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd)));F(house_1 & F(p_trash_can_4 & F(garbage_dump_3 & pd)));['pd', 'house_1', 'p_trash_can_4', 'garbage_dump_3'];Take p_trash_can_4 from house_1 to garbage_dump_3;{'pd': 'pd', 'house 1': 'house_1', 'trash can 4': 'p_trash_can_4', 'garbage dump 3': 'garbage_dump_3'};{'pd': 'ap_0', 'house_1': 'ap_1', 'p_trash_can_4': 'ap_2', 'garbage_dump_3': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Deliver pass 2 from house 3 to office 2 but do not enter street 5 until you pick up pass 2;<>(house_3&&<>(p_pass_2&&<>(office_2&&pd)))&&!street_5 U p_pass_2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];Deliver p_pass_2 from house_3 to office_2 but do not enter street_5 until you pick up p_pass_2;{'pd': 'pd', 'street 5': 'street_5', 'office 2': 'office_2', 'house 3': 'house_3', 'pass 2': 'p_pass_2'};{'pd': 'ap_0', 'street_5': 'ap_1', 'office_2': 'ap_2', 'house_3': 'ap_3', 'p_pass_2': 'ap_4'};F(ap_3 & F(ap_4 & F(ap_2 & ap_0))) & (!ap_1 U ap_4)
Keep visiting car 3 on your way to building 2;[]<>car_3&&<>building_2;GFcar_3 & Fbuilding_2;['car_3', 'building_2'];Keep visiting car_3 on your way to building_2;{'car 3': 'car_3', 'building 2': 'building_2'};{'car_3': 'ap_0', 'building_2': 'ap_1'};GFap_0 & Fap_1
Place letter 2 in building 3 after getting it from post office 1;<>(post_office_1&&<>(p_lettter_2&&<>(building_3&&pd)));F(post_office_1 & F(p_lettter_2 & F(building_3 & pd)));['pd', 'post_office_1', 'p_lettter_2', 'building_3'];Place letter 2 in building_3 after getting it from post_office_1;{'pd': 'pd', 'post office 1': 'post_office_1', 'lettter 2': 'p_lettter_2', 'building 3': 'building_3'};{'pd': 'ap_0', 'post_office_1': 'ap_1', 'p_lettter_2': 'ap_2', 'building_3': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Do not pick up cone 2 until you go to intersection 4;!p_cone_2 U intersection_4;!p_cone_2 U intersection_4;['intersection_4', 'p_cone_2'];Do not pick up p_cone_2 until you go to intersection_4;{'intersection 4': 'intersection_4', 'cone 2': 'p_cone_2'};{'intersection_4': 'ap_0', 'p_cone_2': 'ap_1'};!ap_1 U ap_0
Go to park 8 and stay there;<>[]park_8;FGpark_8;['park_8'];Go to park_8 and stay there;{'park 8': 'park_8'};{'park_8': 'ap_0'};FGap_0
Do not take a picture until you reach park 5 as you go to take a picture of landmark 4;!photo U park_5&&<>(landmark_4&&photo);(!photo U park_5) & F(landmark_4 & photo);['photo', 'park_5', 'landmark_4'];Do not take a picture until you reach park_5 as you go to take a picture of landmark_4;{'photo': 'photo', 'park 5': 'park_5', 'landmark 4': 'landmark_4'};{'photo': 'ap_0', 'park_5': 'ap_1', 'landmark_4': 'ap_2'};(!ap_0 U ap_1) & F(ap_2 & ap_0)
Keep taking crate 3 from warehouse 4 to mall 3;[]<>(warehouse_4&&<>(p_crate_3&&<>(mall_3&&pd)));GF(warehouse_4 & F(p_crate_3 & F(mall_3 & pd)));['pd', 'warehouse_4', 'p_crate_3', 'mall_3'];Keep taking p_crate_3 from warehouse_4 to mall_3;{'pd': 'pd', 'warehouse 4': 'warehouse_4', 'crate 3': 'p_crate_3', 'mall 3': 'mall_3'};{'pd': 'ap_0', 'warehouse_4': 'ap_1', 'p_crate_3': 'ap_2', 'mall_3': 'ap_3'};GF(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Go to house 2 and pick up trash can 2;<>(house_2&&p_trash_can_2);F(house_2 & p_trash_can_2);['house_2', 'p_trash_can_2'];Go to house_2 and pick up p_trash_can_2;{'house 2': 'house_2', 'trash can 2': 'p_trash_can_2'};{'house_2': 'ap_0', 'p_trash_can_2': 'ap_1'};F(ap_0 & ap_1)
Put down what you have and go to park 4 and stay there;<>(pd&&<>(park_4&&[]park_4));F(pd & F(park_4 & Gpark_4));['pd', 'park_4'];Put down what you have and go to park_4 and stay there;{'pd': 'pd', 'park 4': 'park_4'};{'pd': 'ap_0', 'park_4': 'ap_1'};F(ap_0 & F(ap_1 & Gap_1))
Never touch package 4;[]!p_package_4;G!p_package_4;['p_package_4'];Never touch p_package_4;{'package 4': 'p_package_4'};{'p_package_4': 'ap_0'};G!ap_0
Stay in park 5 until you reach bench 4 as you take bottle 5 from store 2 and deliver it to bench 4;park_5 U bench_4&&<>(store_2&&<>(p_bottle_5&&<>(bench_4&&pd)));(park_5 U bench_4) & F(store_2 & F(p_bottle_5 & F(bench_4 & pd)));['pd', 'park_5', 'store_2', 'bench_4', 'p_bottle_5'];Stay in park_5 until you reach bench_4 as you take p_bottle_5 from store_2 and deliver it to bench_4;{'pd': 'pd', 'park 5': 'park_5', 'store 2': 'store_2', 'bench 4': 'bench_4', 'bottle 5': 'p_bottle_5'};{'pd': 'ap_0', 'park_5': 'ap_1', 'store_2': 'ap_2', 'bench_4': 'ap_3', 'p_bottle_5': 'ap_4'};(ap_1 U ap_3) & F(ap_2 & F(ap_4 & F(ap_3 & ap_0)))
Deliver package 2 from warehouse 3 to house 1 and take a picture at house 1;<>(warehouse_3&&<>(p_package_2&&<>(house_1&&pd&&photo)));F(warehouse_3 & F(p_package_2 & F(house_1 & pd & photo)));['warehouse_3', 'pd', 'photo', 'house_1', 'p_package_2'];Deliver p_package_2 from warehouse_3 to house_1 and take a picture at house_1;{'warehouse 3': 'warehouse_3', 'pd': 'pd', 'photo': 'photo', 'house 1': 'house_1', 'package 2': 'p_package_2'};{'warehouse_3': 'ap_0', 'pd': 'ap_1', 'photo': 'ap_2', 'house_1': 'ap_3', 'p_package_2': 'ap_4'};F(ap_0 & F(ap_4 & F(ap_3 & ap_1 & ap_2)))
Go to intersection 4 and stay there;<>[]intersection_4;FGintersection_4;['intersection_4'];Go to intersection_4 and stay there;{'intersection 4': 'intersection_4'};{'intersection_4': 'ap_0'};FGap_0
Keep visiting charger 1 as you take box 4 from house 4 to house 9;[]<>charger_1&&<>(house_4&&<>(box_4&&<>(house_9&&pd)));GFcharger_1 & F(house_4 & F(box_4 & F(house_9 & pd)));['pd', 'house_4', 'house_9', 'charger_1', 'box_4'];Keep visiting charger_1 as you take box_4 from house_4 to house_9;{'pd': 'pd', 'house 4': 'house_4', 'house 9': 'house_9', 'charger 1': 'charger_1', 'box 4': 'box_4'};{'pd': 'ap_0', 'house_4': 'ap_1', 'house_9': 'ap_2', 'charger_1': 'ap_3', 'box_4': 'ap_4'};GFap_3 & F(ap_1 & F(ap_4 & F(ap_2 & ap_0)))
Take a picture  of intersection 7 and stay there;<>(intersection_7&&photo&&[]intersection_7);F(intersection_7 & photo & Gintersection_7);['photo', 'intersection_7'];Take a picture  of intersection_7 and stay there;{'photo': 'photo', 'intersection 7': 'intersection_7'};{'photo': 'ap_0', 'intersection_7': 'ap_1'};F(ap_1 & ap_0 & Gap_1)
Take a picture of arch 1;<>(arch_1&&photo);F(arch_1 & photo);['photo', 'arch_1'];Take a picture of arch_1;{'photo': 'photo', 'arch 1': 'arch_1'};{'photo': 'ap_0', 'arch_1': 'ap_1'};F(ap_1 & ap_0)
Do not go to park 5 until you reach intersection 4;!park_5 U intersection_4;!park_5 U intersection_4;['park_5', 'intersection_4'];Do not go to park_5 until you reach intersection_4;{'park 5': 'park_5', 'intersection 4': 'intersection_4'};{'park_5': 'ap_0', 'intersection_4': 'ap_1'};!ap_0 U ap_1
Go to house 4 and pick up package 2 and take it to warehouse 5;<>(house_4&&<>(p_package_2&&<>(warehouse_5&&pd)));F(house_4 & F(p_package_2 & F(pd & warehouse_5)));['pd', 'house_4', 'p_package_2', 'warehouse_5'];Go to house_4 and pick up p_package_2 and take it to warehouse_5;{'pd': 'pd', 'house 4': 'house_4', 'package 2': 'p_package_2', 'warehouse 5': 'warehouse_5'};{'pd': 'ap_0', 'house_4': 'ap_1', 'p_package_2': 'ap_2', 'warehouse_5': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_0 & ap_3)))
Go to hotel 3 and stay there;<>[]hotel_3;FGhotel_3;['hotel_3'];Go to hotel_3 and stay there;{'hotel 3': 'hotel_3'};{'hotel_3': 'ap_0'};FGap_0
Pick up luggage 2 and take it to room 402;<>(p_luggage_2&&<>(room_402&&pd));F(p_luggage_2 & F(pd & room_402));['pd', 'p_luggage_2', 'room_402'];Pick up p_luggage_2 and take it to room_402;{'pd': 'pd', 'luggage 2': 'p_luggage_2', 'room 402': 'room_402'};{'pd': 'ap_0', 'p_luggage_2': 'ap_1', 'room_402': 'ap_2'};F(ap_1 & F(ap_0 & ap_2))
Keep visiting building 5;[]<>building_5;GFbuilding_5;['building_5'];Keep visiting building_5;{'building 5': 'building_5'};{'building_5': 'ap_0'};GFap_0
Stay in building 4 until you take folder 3 from room 43 to room 12;building_4 U (room_43&&<>(p_folder_3&&<>(room_12&&pd)));building_4 U (room_43 & F(p_folder_3 & F(pd & room_12)));['pd', 'building_4', 'room_43', 'p_folder_3', 'room_12'];Stay in building_4 until you take p_folder_3 from room_43 to room_12;{'pd': 'pd', 'building 4': 'building_4', 'room 43': 'room_43', 'folder 3': 'p_folder_3', 'room 12': 'room_12'};{'pd': 'ap_0', 'building_4': 'ap_1', 'room_43': 'ap_2', 'p_folder_3': 'ap_3', 'room_12': 'ap_4'};ap_1 U (ap_2 & F(ap_3 & F(ap_0 & ap_4)))
Pick up crate 4 and take it to park 1 and stay there;<>(p_crate_4 && <>(park_1 &&pd&&[]park_1));F(p_crate_4 & F(park_1 & pd & Gpark_1));['p_crate_4', 'pd', 'park_1'];Pick up p_crate_4 and take it to park_1 and stay there;{'crate 4': 'p_crate_4', 'pd': 'pd', 'park 1': 'park_1'};{'p_crate_4': 'ap_0', 'pd': 'ap_1', 'park_1': 'ap_2'};F(ap_0 & F(ap_2 & ap_1 & Gap_2))
Do not enter park 6 until you pick up pass 4;!park_6 U p_pass_4;!park_6 U p_pass_4;['park_6', 'p_pass_4'];Do not enter park_6 until you pick up p_pass_4;{'park 6': 'park_6', 'pass 4': 'p_pass_4'};{'park_6': 'ap_0', 'p_pass_4': 'ap_1'};!ap_0 U ap_1
