normalized_LTL_formula,count
!prop <-> (prop <-> prop),14
prop <-> ((prop | prop) -> prop),14
!(prop & Fprop),13
(prop U prop) -> (prop | prop),13
G!prop -> prop,13
prop & Gprop,13
(prop -> prop) U (prop -> prop),13
(prop | prop) <-> (prop U prop),13
(prop | prop) -> Fprop,13
prop & prop & !prop,12
prop | (prop & (prop -> prop)),12
(prop -> prop) U (prop | prop),12
prop <-> (prop | (prop & prop)),12
(prop <-> prop) -> prop,12
prop & (prop <-> prop),12
prop | ((prop <-> prop) U prop),12
prop | !prop | prop,12
prop & GFprop,12
prop & G(prop -> prop),12
prop | G(prop <-> prop),12
(prop -> prop) U (prop <-> prop),12
((prop | prop) U prop) -> prop,12
Fprop -> (prop -> prop),12
(prop <-> prop) & (prop | prop),11
!(prop | prop),11
(prop -> prop) <-> (prop U prop),11
(prop -> prop) & (prop -> prop),11
G(!prop | G!prop),11
G(!prop & G!prop),11
(prop | prop) U (prop <-> prop),11
prop | ((prop & prop) U prop),10
prop & ((prop <-> prop) -> prop),10
(prop <-> prop) <-> Gprop,10
(prop -> prop) -> (prop <-> prop),10
prop & (prop | prop),10
prop | ((prop -> prop) U prop),10
G!prop,10
prop | G(prop -> prop),10
prop & prop & (prop | prop),10
!(prop U prop) -> prop,10
prop & (prop | (prop U prop)),10
(prop | prop) -> (prop | prop),10
Fprop & G!prop,10
(prop & prop) U (prop <-> prop),10
prop | F(prop -> prop),10
prop & !prop,10
prop & ((prop -> prop) U prop),10
prop -> G!prop,10
(prop | prop) U (prop -> prop),10
(prop <-> prop) -> (prop U prop),10
prop & (!prop -> prop),10
prop U G!prop,10
(prop & prop) -> (prop | prop),10
(prop | prop) U (prop & prop),9
prop | prop | !prop,9
G(prop U prop),9
Gprop -> prop,9
!prop -> (prop <-> prop),9
(prop <-> prop) & (prop U prop),9
prop & prop & (prop <-> prop),9
GFprop -> prop,9
F(prop & !Fprop),9
(prop <-> prop) <-> Fprop,9
GFprop -> Fprop,9
(prop <-> prop) U (prop -> prop),9
prop & ((prop | prop) -> prop),8
prop & !(prop U prop),8
!prop & prop & prop,8
(prop -> prop) <-> (prop -> prop),8
!(Fprop & Fprop),8
G((prop & prop) -> !Gprop),8
prop <-> !(prop & prop),8
prop & G(prop <-> prop),8
(prop U prop) -> prop,8
prop & (prop <-> (prop U prop)),8
(prop | (prop <-> prop)) -> prop,8
(prop & prop) -> prop,8
(prop <-> prop) -> (prop -> prop),8
(prop <-> prop) | (prop -> prop),8
prop | (prop & prop & prop),8
prop <-> ((prop -> prop) U prop),8
!(prop & prop) U prop,8
G((prop U prop) -> FGprop),8
prop | G(prop | prop),8
!(prop & prop),8
prop | !(prop -> prop),8
!prop,8
!prop U (prop -> prop),8
prop & G(prop | prop),8
(prop & (prop | prop)) -> prop,8
(prop & (prop -> prop)) -> prop,8
prop | G(prop & prop),8
prop & !prop & prop,8
prop & prop & prop & prop,8
G(Fprop U Fprop),7
(prop & prop) -> (prop U prop),7
(prop | prop) -> (prop -> prop),7
(prop -> prop) <-> (prop <-> prop),7
Fprop -> Gprop,7
!(prop U Fprop),7
prop | !prop,7
Fprop -> GFprop,7
G(Fprop U prop),7
(prop & prop) -> (prop & prop),7
(prop -> prop) & (prop | prop),7
(prop & prop) -> (prop -> prop),7
(prop & prop) | (prop U prop),7
F(prop U Gprop),7
prop & (!prop <-> prop),7
(prop & prop) U (prop & prop),7
prop <-> !(prop U prop),6
(prop <-> (prop -> prop)) -> prop,6
!(prop | (prop U prop)),6
prop & ((prop | prop) U prop),6
F(prop U GFprop),6
G(prop -> prop) -> prop,6
(prop U prop) U prop,6
(prop & prop) -> (prop <-> prop),6
prop & (prop | prop | prop),6
prop | (prop & (prop U prop)),6
(prop & prop) U (prop -> prop),6
prop | (prop & (prop | prop)),6
G(Fprop -> (prop U prop)),6
(prop | prop | prop) -> prop,6
prop <-> (prop | prop | prop),6
prop | !(prop <-> prop),6
(prop | prop) -> (prop <-> prop),6
prop <-> ((prop | prop) U prop),6
prop & ((prop <-> prop) U prop),6
(prop & (prop U prop)) -> prop,6
(prop <-> (prop | prop)) U prop,6
prop & (prop <-> (prop & prop)),6
prop & G(!prop -> prop),6
prop & !(prop & prop),6
prop & F(prop <-> prop),6
prop | F(prop & prop),6
prop | ((prop | prop) -> prop),6
!(Fprop | Fprop),6
!(prop <-> (prop U prop)),6
prop & F(prop | prop),6
prop | (!prop -> prop),6
prop <-> G(prop -> prop),6
(prop | prop | prop) U prop,6
prop & (prop | (prop -> prop)),6
F(prop | !Fprop),6
prop & !(prop | prop),6
prop | (!prop U prop),6
prop | !(prop U prop),6
(prop <-> prop) -> (prop <-> prop),6
prop | !(prop & prop),6
F(prop <-> prop) -> prop,6
((prop -> prop) -> prop) -> prop,6
(prop -> prop) -> (prop | prop),6
prop & ((prop U prop) -> prop),6
G(!prop U prop),6
prop | ((prop <-> prop) -> prop),6
prop <-> !(prop | prop),6
prop & (prop <-> (prop -> prop)),6
!prop | (Gprop -> prop),6
!prop | (prop <-> Fprop),6
!(prop & (prop U prop)),6
(prop <-> (prop & prop)) U prop,6
(prop <-> (prop | prop)) -> prop,6
(prop <-> prop) & (prop <-> prop),6
(prop | prop) -> (prop & prop),5
(prop -> prop) U (prop & prop),5
(!prop -> prop) & Gprop,5
(prop <-> prop) -> (prop & prop),5
((prop & prop) -> (prop U !prop)) & (prop U !prop),5
(prop <-> prop) | (prop <-> prop),5
(prop | prop) U (prop | prop),5
(!prop -> prop) | (prop -> (prop | prop)),5
Fprop & (!prop U prop),5
!prop -> Fprop,5
(!prop -> !prop) & Gprop,5
!prop & prop & (prop -> prop),5
(prop -> !prop) & Gprop,5
(prop & prop) | (prop & prop),5
!(prop | !prop),5
G(prop & G!prop),5
(prop <-> prop) -> (prop | prop),5
(prop <-> prop) <-> (prop U prop),5
(prop -> prop) | (prop <-> prop),5
prop -> Gprop,5
G(prop | Gprop),5
(prop U prop) -> (prop & prop),5
(prop U prop) -> (prop <-> prop),5
F(prop -> Gprop),5
prop U GFprop,5
((prop & prop) -> (prop U prop)) & (prop U !prop),5
(prop <-> !prop) U prop,5
(prop -> prop) -> (prop -> prop),5
!((prop -> prop) U prop),4
(prop | (prop -> prop)) U prop,4
prop <-> F(prop -> prop),4
prop & prop & prop,4
(prop & prop & prop) -> prop,4
prop | G(!prop -> prop),4
G(!prop | Gprop),4
(prop -> prop) -> prop,4
((prop <-> prop) -> prop) -> prop,4
G(!(prop | prop) -> prop),4
!(prop | (prop & prop)),4
G(!prop U G!prop),4
prop <-> F(prop <-> prop),4
prop & ((prop -> prop) -> prop),4
prop | ((prop | prop) U prop),4
prop | prop | prop,4
F((prop | prop) -> prop),4
prop <-> (prop -> prop),4
prop & (prop <-> (prop | prop)),4
prop | ((prop -> prop) -> prop),4
(prop | (prop U prop)) -> prop,4
prop & F(prop -> prop),4
((prop & prop) U prop) -> prop,4
prop & !(prop <-> prop),4
((prop | prop) -> prop) -> prop,4
prop | ((prop & prop) -> prop),4
(prop & !prop) -> Gprop,4
F(prop & (prop -> prop)),4
prop | (prop <-> (prop | prop)),4
G(prop | G!prop),4
((prop <-> prop) -> prop) U prop,4
!(prop -> prop) -> prop,4
(prop <-> prop) <-> (prop | prop),4
G(prop | GFprop),4
prop | ((prop U prop) -> prop),4
prop -> GFprop,4
prop <-> (prop U prop),4
prop <-> (prop | (prop -> prop)),4
prop & !prop & Gprop,4
prop <-> G(prop <-> prop),4
F(prop | prop) -> prop,4
!(prop | prop) U prop,4
Fprop -> !prop,4
(prop & !prop) | Fprop,4
(prop & (prop <-> prop)) U prop,4
F(prop & prop) -> prop,4
(prop & prop & prop) U prop,4
GFprop,4
prop <-> !(prop <-> prop),4
(prop & prop) <-> (prop & prop),4
G(Fprop & G!prop),4
!prop -> prop,4
prop <-> (prop | (prop U prop)),4
(prop | prop) -> (prop U prop),4
(prop & prop) U (prop | prop),4
prop <-> !(prop -> prop),4
(prop & !prop) <-> Gprop,4
(prop <-> (prop & prop)) -> prop,4
((prop U prop) -> prop) -> prop,4
(prop | prop) <-> (prop | prop),4
prop & ((prop & prop) U prop),4
F(prop U !prop),3
prop <-> (!prop & prop),3
prop | !Fprop,3
G(prop & Gprop),3
G(prop & GFprop),3
prop U !prop,3
(prop & !prop) -> Fprop,3
(!prop <-> prop) U prop,3
G(Fprop & Gprop),3
G(prop | !prop),3
prop | (!prop & prop),3
G(Fprop | G!prop),3
!prop | (prop <-> Gprop),3
G(Fprop -> prop),3
(prop & !prop) -> prop,3
(prop | !prop) U prop,3
!prop <-> (prop & Fprop),3
(!prop <-> prop) -> prop,3
(!prop -> prop) & Fprop,3
(!prop | prop) U prop,3
prop & (prop <-> !prop),3
(!prop -> prop) | Fprop,3
prop -> !prop,3
G(!prop & Gprop),3
(!prop & prop) -> prop,3
(!prop <-> prop) | Gprop,3
(Gprop -> prop) -> !prop,3
!prop <-> (prop & Gprop),3
!prop & prop,2
(prop & prop) -> (prop -> (prop & prop & prop)),2
(!prop -> prop) -> Fprop,2
G!prop -> G!prop,2
!prop | (prop & Gprop),2
prop | (prop <-> (prop -> prop)),2
(prop & prop) -> ((prop & prop) U prop),2
Fprop -> (prop & !prop),2
!(prop -> prop) U prop,2
!(prop & Gprop),2
(prop | !prop) -> Fprop,2
(prop -> prop) | (prop -> prop),2
prop | (prop <-> (prop U prop)),2
prop -> (prop -> prop),2
prop & G(prop & prop),2
Gprop -> (!prop -> prop),2
prop <-> G(prop & prop),2
prop | prop | G!prop,2
prop <-> prop,2
prop & G(prop <-> !prop),2
prop | (prop & Gprop),2
prop <-> !F(prop | prop),2
(prop -> prop) & G(prop & prop),2
(Fprop -> prop) -> prop,2
!(prop & prop & prop),2
!(prop | GFprop),2
G((prop & prop) -> !prop),2
(!prop -> prop) <-> Gprop,2
Gprop U Fprop,2
((prop -> prop) -> prop) U prop,2
prop & (prop | G!prop),2
prop U !Fprop,2
prop <-> (prop & prop),2
G(prop & !prop),2
!Fprop -> prop,2
G(!prop | !Fprop),2
(!prop U prop) -> prop,2
!(prop & GFprop),2
G(prop | prop) -> prop,2
G(Fprop U G!prop),2
prop & !Fprop,2
(prop | (prop & prop)) -> prop,2
prop & ((prop & prop) -> prop),2
prop | (prop & prop),2
G(prop U !prop),2
G(prop <-> prop) -> prop,2
prop | (prop <-> (prop & prop)),2
(prop | prop) -> prop,2
prop | (prop <-> !prop),2
(!prop & prop) -> Gprop,2
(!prop -> prop) U prop,2
Fprop -> !Fprop,2
prop <-> ((prop U prop) -> prop),2
prop <-> (prop & (prop U prop)),2
prop | (prop -> prop),2
G!(prop -> prop) -> prop,2
(prop & prop) U prop,2
!(prop <-> (prop & prop)),2
!prop & (prop <-> Fprop),2
!(prop & !prop),2
(prop & (prop | prop)) U prop,2
!(prop <-> prop) U prop,2
prop & (prop | (prop <-> prop)),2
prop <-> (prop & (prop | prop)),2
(prop | (prop & prop)) U prop,2
prop & (!prop U prop),2
G((prop <-> prop) -> prop),2
prop <-> (prop & prop & prop),2
prop <-> F(prop & prop),2
F(prop & !(prop | prop)),2
prop <-> (prop & (prop <-> prop)),2
prop U Gprop,2
(prop <-> (prop U prop)) -> prop,2
prop <-> (!prop | prop),2
(F!prop -> prop) -> prop,2
G((prop & prop) -> !(prop U prop)),2
prop & F(prop & prop),2
F(prop U !Fprop),2
((prop -> prop) U prop) -> prop,2
prop U (prop | prop),2
((prop & prop) -> prop) -> prop,2
F!(prop <-> prop) -> prop,2
prop -> ((prop & prop) U (prop & prop)),2
(!prop & prop) | Gprop,2
G(!prop | GFprop),2
prop <-> (prop | F!prop),2
prop -> (prop & prop & (prop U (prop & prop))),2
prop & G!(prop & prop),2
prop -> ((prop & prop) U prop),2
(!prop | prop) -> prop,2
prop <-> F(prop | prop),2
(!prop | prop) <-> Gprop,2
(prop <-> !prop) | Fprop,2
!((prop & prop) U prop),2
prop & (prop | (prop & prop)),2
prop <-> (!prop -> prop),2
prop | F(prop | prop),2
prop | (prop & (prop <-> prop)),2
(prop <-> prop) U (prop <-> prop),2
prop <-> (!prop <-> prop),2
G(Fprop & GFprop),2
prop | (prop U prop),2
!(prop U prop),2
G(Gprop -> (prop U prop)),2
!(Fprop & GFprop),2
prop | prop | G(prop U prop),2
prop <-> ((prop & prop) -> prop),2
prop | !(prop | prop),2
G((prop U prop) -> (prop U prop)),2
F(prop -> prop) -> prop,2
G(prop & prop) -> prop,2
Fprop -> (!prop -> prop),2
!prop | prop | Fprop,2
(prop -> prop) -> (prop & prop),2
!prop | (Fprop -> prop),2
(prop <-> prop) U (prop | prop),2
(!prop & prop) -> Fprop,1
Gprop -> (!prop & prop),1
prop | (prop & !prop),1
G(!prop & !prop),1
(!prop <-> prop) & Gprop,1
Gprop -> (prop & !prop),1
GFprop -> Gprop,1
Gprop -> GFprop,1
(!prop <-> prop) | Fprop,1
GFprop -> G!prop,1
(!prop & prop) <-> Gprop,1
!(Fprop U Fprop),1
G(prop & !Fprop),1
G(!prop U Gprop),1
G(!prop & GFprop),1
(prop <-> !prop) -> prop,1
!prop & prop & Gprop,1
!(prop | Gprop),1
(prop | !prop) <-> Gprop,1
(!prop & prop) | Fprop,1
(prop <-> !prop) & Gprop,1
!Fprop -> Fprop,1
G(Fprop | GFprop),1
!(prop U GFprop),1
prop | !prop | Gprop,1
G!prop -> GFprop,1
!prop <-> prop,1
(prop & !prop) | Gprop,1
G(!prop | !prop),1
(!prop | prop) & Gprop,1
!(prop | G!prop),1
G(Fprop U Gprop),1
G(Fprop | Gprop),1
G(!prop U !prop),1
!prop | prop | Gprop,1
GFprop -> GFprop,1
(prop | !prop) & Gprop,1
prop <-> (prop & !prop),1
Gprop -> Gprop,1
(prop & !prop) <-> Fprop,1
(prop & Gprop) -> !prop,1
!prop -> (Gprop -> prop),1
!prop -> (prop & Gprop),1
(!prop -> prop) <-> Fprop,1
(!prop <-> prop) -> Fprop,1
(Fprop -> prop) -> !prop,1
(prop <-> Fprop) -> !prop,1
!prop -> (prop | Gprop),1
!prop -> (prop & Fprop),1
!prop & (prop | Gprop),1
!prop -> (prop | Fprop),1
(!prop | prop) <-> Fprop,1
(prop <-> prop) U (prop & prop),1
(prop | Fprop) -> !prop,1
(!prop <-> prop) & Fprop,1
