Index,Requirement,Ground Truth,Response
6094,if the manager handles requests or the table is old then in any case the motorbike has started or the escalator speeds up,G((manager_handles_requests | table_is_old) -> G(escalator_speeds_up | motorbike_has_started)),G((manager_handles_requests | table_is_old) -> (motorbike_has_started | escalator_speeds_up))
6095,"If both ( prop_2 ) and ( prop_3 ) happen, then ( prop_1 ) should always be true.",(prop_2 & prop_3) -> G prop_1,G((prop_2 & prop_3) -> G prop_1)
6097,"Once (prop_3) happens, then (prop_2) should be in the same state as (prop_1) .",F prop_3 -> (prop_1 <-> prop_2),G(prop_3 -> G(prop_2 <-> prop_1))
6100,never ( prop_1 ) and at some time ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1) & F(prop_2)
6102,It is always the case that if ( prop_1 ) then the following condition is true : ( prop_3 ) and right away ( prop_2 ) .,G(prop_1 -> (prop_2 & prop_3)),G(prop_1 -> (prop_3 & X prop_2))
6104,"first, eventually, the engine breaks or the bar is down, and then, eventually, both the table is brown and a house is built",G!(bar_is_down | engine_breaks) | F((bar_is_down | engine_breaks) & F(house_is_built & table_is_brown)),F((engine_breaks | bar_is_down) & F(table_is_brown & house_is_built))
6108,never drop apple or venture_towards house,venture_towards_house | G!drop_apple,G(!drop_apple & !venture_towards_house)
6109,It is always the case that in case that the transition action that ( prop_3 ) does not occur and ( prop_2 ) ( prop_1 ) .,G((prop_2 & prop_3) -> GF prop_1),G(!prop_3 -> (prop_2 & prop_1))
6110,whenever ( prop_1 ) until whenever ( prop_2 ),F(prop_1 U F prop_2),G(prop_1 U prop_2)
6111,do not ( prop_1 ) can infer that ( prop_2 ),!F prop_1 -> prop_2,!prop_1 -> !prop_2
6113,"Make sure that (prop_3) is always true, then (prop_1) and (prop_2) will happen .",G prop_3 -> (prop_1 & prop_2),G(prop_3) -> F(prop_1 & prop_2)
6114,"( prop_1 ) should not happen if ( prop_3 ) does happen , and ( prop_2 ) should also be true all the time . ",(prop_1 -> !prop_3) & G prop_2,G(!prop_3 | !prop_1) & G(prop_2)
6115,"If (prop_2) happens at any time, then do (prop_3) and (prop_1) .",G prop_2 -> (prop_1 & prop_3),G(prop_2 -> (prop_3 & prop_1))
6117,"after the elevator falls and the bar is up, it never happens that both a sensor captures data and the brake is released",G((bar_is_up & elevator_falls) -> G!(brake_is_released & sensor_captures_data)),F(elevator_falls & bar_is_up) -> G(!(sensor_captures_data & brake_is_released))
6119,"On the way to achieve (prop_2), if (prop_4) occurs, then do (prop_3), but don't (prop_1) no matter what happens.",!prop_1 & prop_2 & (prop_4 -> prop_3),G(!prop_1 & (prop_4 -> prop_3)) U prop_2
6121,venture_towards house and secure apple,secure_apple & venture_towards_house,F(venture_towards_house & F secure_apple)
6123,at any time journey_by house and don't pick_up anything,F journey_by_house & !F pick_up_anything,G(journey_by_house & !pick_up_anything)
6124,"Do not let (prop_3) happen, or else, either (prop_2) or (prop_1) should happen.",prop_1 | prop_2 | !prop_3,G(prop_3 -> (prop_1 | prop_2))
6126,( prop_1 ) and at any time ( prop_2 ),prop_1 & F prop_2,prop_1 & G prop_2
6127,repeatedly ( prop_1 ) and at any time ( prop_2 ),G(F prop_1 & F prop_2),GF(prop_1) & G(prop_2)
6130,Keep capturing photos of area_9 while you also periodically taking ordnance_3 from camp_4 to camp_9,GF(area_9 & photo) & GF(camp_4 & F(p_ordnance_3 & F(camp_9 & pd))),G(photo & area_9) & GF(p_ordnance_3 & camp_4 & F(p_ordnance_3 & camp_9))
6131,The scenario that ( prop_1 ) or the scenario that ( prop_4 ) or the scenario that ( prop_3 ) or the scenario that ( prop_2 ) should be detected .,prop_1 | prop_2 | prop_3 | prop_4,F (prop_1 | prop_4 | prop_3 | prop_2)
6132,when possible go_by flag and whenever haul pear,F go_by_flag & F haul_pear,GF(go_by_flag) & G(haul_pear -> go_by_flag)
6136,"Whenever change light_east red and record the vehicle on southwest_4th_avenue are equal, record the vehicle on southwest_4th_avenue and record the collision on west_9th_avenue are equal as well.",G((change_light_east_red <-> record_vehicle_southwest_4th_avenue) -> (record_collision_west_9th_avenue <-> record_vehicle_southwest_4th_avenue)),G((change_light_east_red & record_vehicle_southwest_4th_avenue) -> (record_vehicle_southwest_4th_avenue & record_collision_west_9th_avenue))
6138,go into the room and find the chair then push it back into blue_room,F(red_room & F blue_room),F(blue_room & F(blue_room))
6140,drop pear or whenever go_to transh can,drop_pear | F go_to_transh_can,F(drop_pear | go_to_transh_can)
6145,whenever migrate_to tree and at some time go_to transh can,F migrate_to_tree & F go_to_transh_can,G(migrate_to_tree -> F go_to_transh_can)
6148,( prop_1 ) or whenever ( prop_2 ),prop_1 | F prop_2,prop_1 | G(prop_2 -> prop_1)
6149,"after both the elevator falls and the escalator speeds up, eternally, a sensor captures data or the train has been launched",G((elevator_falls & escalator_speeds_up) -> G(sensor_captures_data | train_has_been_launched)),F(elevator_falls & escalator_speeds_up) -> G(sensor_captures_data | train_has_been_launched)
6150,Pick up brochure 2 from table 8 and subsequently deliver it to table 1,F(table_8 & F(p_brochure_2 & F(pd & table_1))),F(pd & p_brochure_2 & table_8 & F(pd & p_brochure_2 & table_1))
6154,"eternally, both a motorbike falls down and the escalator is blocked after either a motorbike falls down or a house collapses",G((house_collapses | motorbike_falls_down) -> G(escalator_is_blocked & motorbike_falls_down)),G((motorbike_falls_down | house_collapses) -> F(motorbike_falls_down & escalator_is_blocked))
6155,"Globally , during the interval that ( prop_1 ) , and ( prop_2 ) , then in response ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3),G((prop_1 & prop_2) -> F prop_3)
6156,"after the elevator is open or the house is built, eternally, a semaphore is yellow",G((elevator_is_open | house_is_built) -> G semaphore_is_yellow),F((elevator_is_open | house_is_built)) -> G(semaphore_is_yellow)
6157,Pick up letter_4 from office_5 and deliver it to house_2,F(office_5 & F(p_letter_4 & F(house_2 & pd))),F(office_5 & p_letter_4 & pd) & F(house_2 & p_letter_4 & pd)
6158,at some time visit house can infer that pick_up flag,F visit_house -> pick_up_flag,F(visit_house) -> F(pick_up_flag)
6160,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1) | GF(prop_2)
6162,advance_to tree and do not let_go pear,advance_to_tree & !let_go_pear,F(advance_to_tree) & G(!let_go_pear)
6165,whenever ( prop_1 ) until at any time ( prop_2 ),F(prop_1 U F prop_2),G(prop_1 U prop_2)
6167,(prop_2) and then (prop_1).,prop_2 U prop_1,F(prop_2 & F prop_1)
6168,"Either ( prop_3 ) or ( prop_2 ) happens , or else ( prop_1 ) does not happen .",!prop_1 | prop_2 | prop_3,(F prop_3 | F prop_2) | !F prop_1
6170,"If (prop_3), then do (prop_1), but keep doing (prop_2) until (prop_4) .",(prop_3 -> prop_1) & (prop_2 U prop_4),G(prop_3 -> (prop_1 & (prop_2 U prop_4)))
6171,"Everytime when ( prop_4 ) and ( prop_1 ) , then the following condition is true : at once ( prop_2 ) , or at the same time instant the event that ( prop_3 ) never occurs .",G((prop_1 & prop_4) -> (prop_2 | prop_3)),G((prop_4 & prop_1) -> (prop_2 | G(!prop_3)))
6173,"If you observe (prop_1) and do (prop_2), then you should not do (prop_3) .",(prop_1 & prop_2) -> !prop_3,G((prop_1 & prop_2) -> !prop_3)
6175,Do not go to office 4 until you pick pass 6 as you deliver pass 6 from house 5 to office 4,(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd))),(!office_4) U p_pass_6
6176,"Whenever ( prop_2 ) and ( prop_1 ) , then all of the following conditions hold : in the future before the execution ends without interruption ( prop_3 ) .",G((prop_1 & prop_2) -> G prop_3),G((prop_1 & prop_2) -> F prop_3)
6177,"If at some point ( prop_2 ) or ( prop_4 ) is detected and this scenario continues to hold until ( prop_1 ) is detected , and ( prop_3 ) .",prop_3 & ((prop_2 | prop_4) U prop_1),F(((prop_2 | prop_4) & (prop_2 | prop_4) U prop_1) & prop_3)
6178,"It is always the case that while ( prop_1 ) then all of the following conditions hold : there shall ultimately exist a certain time instant in the future before the simulation ends , at which for each time point during the coming 3 to 26 time units continuously ( prop_2 ) .",G(prop_1 -> FG prop_2),G(prop_1 -> F(X(prop_2 & X(prop_2 & X(prop_2)))))
6180,"Make sure that (prop_2) is always true, and either (prop_1) or (prop_3) should also happen.",(prop_1 | prop_3) & G prop_2,G(prop_2) & F(prop_1 | prop_3)
6184,whenever travel_to flag or at some time procure pear,F travel_to_flag | F procure_pear,G(travel_to_flag) | F(procure_pear)
6185,"Ensure you repeatedly transport crate_4 from warehouse_3 to store_9, and also periodically visit charger_3",GF(warehouse_3 & F(p_crate_4 & F(pd & store_9))) & GF charger_3,GF(warehouse_3 & p_crate_4 & store_9) & GF(charger_3)
6186,"after both a motorbike has started and a semaphore is red, it will not happen that either a sensor captures data or the escalator moves",G((motorbike_has_started & semaphore_is_red) -> G!(escalator_moves | sensor_captures_data)),G((motorbike_has_started & semaphore_is_red) -> F(!(sensor_captures_data | escalator_moves)))
6188,"If (prop_3) happens and continues until (prop_1), then (prop_2) should not happen .",(prop_3 U prop_1) -> !prop_2,(prop_3 U prop_1) -> G(!prop_2)
6189,The robot must Please deliver the bed to the shelf and then get_help.,deliver_bed_shelf U get_help,F(deliver_bed_shelf & F get_help)
6196,"Either ( prop_3 ) or ( prop_1 ) should happen at the same time , or else if ( prop_2 ) then ( prop_4 ) .",prop_1 | prop_3 | (prop_2 -> prop_4),(prop_3 & prop_1) | (prop_2 -> prop_4)
6198,"If (prop_2), then (prop_3), and keep doing so until (prop_1) is the same as (prop_4) .",(prop_2 -> prop_3) U (prop_1 <-> prop_4),G(prop_2 -> (prop_3 U (prop_1 <-> prop_4)))
6200,"If at some point (prop_3) happens and implies (prop_1), then (prop_2) should not happen .",(prop_3 -> prop_1) -> !prop_2,F(prop_3 & (prop_3 -> prop_1)) -> G(!prop_2)
6203,whenever ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),G(prop_1 U prop_2)
6204,always stay or grip apple,grip_apple | G stay,G(stay | grip_apple)
6206,"For all time (prop_3) should be true, and the scenario in which (prop_2) is equivalent to the scenario in which (prop_1) .",(prop_1 <-> prop_2) & G prop_3,G(prop_3 & (prop_2 <-> prop_1))
6208,"If (prop_2) and (prop_1), then (prop_3) should not happen .",(prop_1 & prop_2) -> !prop_3,G((prop_1 & prop_2) -> !prop_3)
6209,"For each time instant in the coming time units either ( prop_1 ) or ( prop_3 ) should be detected , as well as ( prop_2 ) .",prop_2 & G(prop_1 | prop_3),G((prop_1 | prop_3) & prop_2)
6210,"If idle holds, then in the next step pickup the bed persists until picking up the sports_ball holds, or else pickup the bed holds forever.",idle -> X((pickup_bed U pickup_sports_ball) | G pickup_bed),G(idle -> (X(pickup_bed U pickup_sports_ball) | G(X pickup_bed)))
6211,"In the case ( prop_1 ) , and ( prop_2 ) then the condition that ( prop_3 ) shall not be true .",G((prop_1 & prop_2) -> !F prop_3),G((prop_1 & prop_2) -> !prop_3)
6212,"For all time, make sure (prop_2) happens, and detect when (prop_1) is equivalent to (prop_3) .",(prop_1 <-> prop_3) & G prop_2,G(prop_2 & (prop_1 <-> prop_3))
6213,always have_in orange or whenever make_to flag,G have_in_orange | F make_to_flag,G(have_in_orange | (make_to_flag -> have_in_orange))
6215,"first, eventually, a semaphore is green or the car starts, and then, sooner or later both an elevator is blocked and a train derails",G!(car_starts | semaphore_is_green) | F((car_starts | semaphore_is_green) & F(elevator_is_blocked & train_derails)),F((semaphore_is_green | car_starts) & F(elevator_is_blocked & train_derails))
